zaman,alis,satis
2024-04-29,7.9387,8.2495
2024-04-30,7.949,8.2584
2024-05-01,7.864159,8.333636
2024-05-02,7.9007,8.223065
2024-05-03,7.9345,8.2484
2024-05-04,7.87891,8.383732
2024-05-05,7.87891,8.383732
2024-05-06,7.9364,8.3083
2024-05-07,7.9837,8.2996
2024-05-08,7.9771,8.2876
2024-05-09,7.9664,8.2812
2024-05-10,7.9651,8.3403
2024-05-11,7.863862,8.461502
2024-05-12,7.863862,8.461502
2024-05-13,8.0397,8.3497
2024-05-14,8.0886,8.3988
2024-05-15,8.1199,8.4325
2024-05-16,8.1111,8.4264
2024-05-17,8.0655,8.4568
2024-05-18,8.042458,8.548665
2024-05-19,8.042458,8.548665
2024-05-20,8.1526,8.463
2024-05-21,8.1488,8.4608
2024-05-22,8.0936,8.4025
2024-05-23,8.0954,8.4113
2024-05-24,8.1269,8.4412
2024-05-25,8.041171,8.540484
2024-05-26,8.041171,8.540484
2024-05-27,8.1432,8.4527
2024-05-28,8.1795,8.4888
2024-05-29,8.1314,8.443
2024-05-30,8.0345,8.3995
2024-05-31,8.1145,8.4346
2024-06-01,8.0647,8.434
2024-06-02,8.0647,8.434
2024-06-03,8.0835,8.3935
2024-06-04,8.1416,8.4525
2024-06-05,8.1098,8.4201
2024-06-06,8.0838,8.4014
2024-06-07,8.1102,8.424
2024-06-08,7.908709,8.453826
2024-06-09,7.908709,8.453826
2024-06-10,7.9918,8.3023
2024-06-11,7.9312,8.2413
2024-06-12,7.9582,8.2662
2024-06-13,7.8994,8.2211
2024-06-14,7.8568,8.2262
2024-06-15,7.80862,8.325051
2024-06-16,7.80862,8.325051
2024-06-17,7.891087,8.37343
2024-06-18,7.841488,8.325556
2024-06-19,7.887028,8.374339
2024-06-20,8.05,8.3748
2024-06-21,8.0163,8.3379
2024-06-22,7.944547,8.461805
2024-06-23,7.944547,8.461805
2024-06-24,8.1351,8.4502
2024-06-25,8.1363,8.4484
2024-06-26,8.0935,8.4106
2024-06-27,8.0882,8.3974
2024-06-28,8.0739,8.3897
2024-06-29,7.94623,8.49261
2024-06-30,7.94623,8.49261
2024-07-01,8.1009,8.4171
2024-07-02,8.0309,8.339
2024-07-03,8.0825,8.3997
2024-07-04,8.1028,8.4176
2024-07-05,8.1577,8.5224
2024-07-06,8.078296,8.595832
2024-07-07,8.078296,8.595832
2024-07-08,8.2204,8.531
2024-07-09,8.2505,8.5597
2024-07-10,8.2982,8.6128
2024-07-11,8.3128,8.6226
2024-07-12,8.354,8.6726
2024-07-13,8.27986,8.797731
2024-07-14,8.27986,8.797731
2024-07-15,8.30857,8.795307
2024-07-16,8.3804,8.6893
2024-07-17,8.3649,8.6728
2024-07-18,8.3403,8.6538
2024-07-19,8.3085,8.6218
2024-07-20,8.2893,8.6432
2024-07-21,8.2893,8.6432
2024-07-22,8.3215,8.6308
2024-07-23,8.2724,8.6329
2024-07-24,8.2412,8.5507
2024-07-25,8.2593,8.5794
2024-07-26,8.2922,8.6145
2024-07-27,8.188087,8.709457
2024-07-28,8.188087,8.709457
2024-07-29,8.2679,8.576
2024-07-30,8.2937,8.6023
2024-07-31,8.3098,8.6192
2024-08-01,8.2264,8.5424
2024-08-02,8.2973,8.6119
2024-08-03,8.270851,8.778137
2024-08-04,8.270851,8.778137
2024-08-05,8.4044,8.7166
2024-08-06,8.3774,8.7479
2024-08-07,8.4189,8.7291
2024-08-08,8.3849,8.7004
2024-08-09,8.383,8.6979
2024-08-10,8.281939,8.806316
2024-08-11,8.281939,8.806316
2024-08-12,8.4287,8.7458
2024-08-13,8.4809,8.7926
2024-08-14,8.5062,8.8681
2024-08-15,8.5671,8.8819
2024-08-16,8.581,8.8958
2024-08-17,8.536567,9.052958
2024-08-18,8.536567,9.052958
2024-08-19,8.6439,8.9545
2024-08-20,8.7133,9.0222
2024-08-21,8.7237,9.0333
2024-08-22,8.744,9.0594
2024-08-23,8.7532,9.0685
2024-08-24,8.737339,9.262331
2024-08-25,8.737339,9.262331
2024-08-26,8.8035,9.1129
2024-08-27,8.8121,9.1215
2024-08-28,8.705304,9.103648
2024-08-29,8.7185,9.0356
2024-08-30,8.643091,9.137394
2024-08-31,8.597452,9.111134
2024-09-01,8.597452,9.111134
2024-09-02,8.7218,9.0301
2024-09-03,8.6991,9.0094
2024-09-04,8.7155,9.0242
2024-09-05,8.7513,9.0658
2024-09-06,8.7355,9.0486
2024-09-07,8.617252,9.137394
2024-09-08,8.617252,9.137394
2024-09-09,8.7112,9.0227
2024-09-10,8.7013,9.0094
2024-09-11,8.6554,9.0182
2024-09-12,8.6217,8.9364
2024-09-13,8.6828,9.0035
2024-09-14,8.586364,9.118911
2024-09-15,8.586364,9.118911
2024-09-16,8.7852,9.0935
2024-09-17,8.8159,9.124
2024-09-18,8.8153,9.1243
2024-09-19,8.8091,9.1237
2024-09-20,8.8118,9.1249
2024-09-21,8.739418,9.259806
2024-09-22,8.739418,9.259806
2024-09-23,8.813,9.1268
2024-09-24,8.8369,9.1453
2024-09-25,8.8492,9.2124
2024-09-26,8.8375,9.1529
2024-09-27,8.832,9.1546
2024-09-28,8.739715,9.261826
2024-09-29,8.739715,9.261826
2024-09-30,8.8376,9.1971
2024-10-01,8.7727,9.0812
2024-10-02,8.7614,9.0711
2024-10-03,8.6767,8.9894
2024-10-04,8.6835,8.998
2024-10-05,8.5333,9.054069
2024-10-06,8.5333,9.054069
2024-10-07,8.6382,8.9475
2024-10-08,8.6661,8.974
2024-10-09,8.6626,8.9724
2024-10-10,8.5986,8.9117
2024-10-11,8.6582,8.9722
2024-10-12,8.547754,9.065381
2024-10-13,8.547754,9.065381
2024-10-14,8.6261,8.9879
2024-10-15,8.5983,8.9602
2024-10-16,8.5731,8.9335
2024-10-17,8.4834,8.8531
2024-10-18,8.5459,8.8591
2024-10-19,8.46301,8.995691
2024-10-20,8.46301,8.995691
2024-10-21,8.535,8.8455
2024-10-22,8.4698,8.8368
2024-10-23,8.4406,8.7568
2024-10-24,8.4275,8.7407
2024-10-25,8.4477,8.7646
2024-10-26,8.348269,8.861058
2024-10-27,8.348269,8.861058
2024-10-28,8.376385,8.856109
2024-10-29,8.358664,8.837323
2024-10-30,8.4876,8.7981
2024-10-31,8.4586,8.7729
2024-11-01,8.4654,8.7803
2024-11-02,8.353417,8.863381
2024-11-03,8.353417,8.863381
2024-11-04,8.5671,8.8763
2024-11-05,8.5097,8.8185
2024-11-06,8.3207,8.6856
2024-11-07,8.3999,8.7158
2024-11-08,8.4942,8.8091
2024-11-09,8.338864,8.857927
2024-11-10,8.338864,8.857927
2024-11-11,8.3671,8.6767
2024-11-12,8.3329,8.6407
2024-11-13,8.3187,8.6278
2024-11-14,8.2386,8.5518
2024-11-15,8.3436,8.6567
2024-11-16,8.234023,8.73602
2024-11-17,8.234023,8.73602
2024-11-18,8.3334,8.642
2024-11-19,8.3566,8.6688
2024-11-20,8.3158,8.6247
2024-11-21,8.2726,8.585
2024-11-22,8.2117,8.5267
2024-11-23,8.124529,8.645625
2024-11-24,8.124529,8.645625
2024-11-25,8.312,8.6213
2024-11-26,8.3803,8.693
2024-11-27,8.3821,8.6898
2024-11-28,8.3818,8.6961
2024-11-29,8.4471,8.7621
2024-11-30,8.350348,8.878531
2024-12-01,8.350348,8.878531
2024-12-02,8.4509,8.7604
2024-12-03,8.4452,8.754
2024-12-04,8.447,8.7555
2024-12-05,8.4694,8.7894
2024-12-06,8.5392,8.8525
2024-12-07,8.424994,8.952968
2024-12-08,8.424994,8.952968
2024-12-09,8.5727,8.886
2024-12-10,8.5302,8.8377
2024-12-11,8.4707,8.8495
2024-12-12,8.4965,8.8061
2024-12-13,8.4433,8.8052
2024-12-14,8.435488,8.946605
2024-12-15,8.435488,8.946605
2024-12-16,8.5374,8.8451
2024-12-17,8.5433,8.8521
2024-12-18,8.5618,8.8705
2024-12-19,8.4909,8.8125
2024-12-20,8.4987,8.8194
2024-12-21,8.423707,8.965088
2024-12-22,8.423707,8.965088
2024-12-23,8.4816,8.7949
2024-12-24,8.4725,8.7922
2024-12-25,8.4603,8.8989
2024-12-26,8.4979,8.8159
2024-12-27,8.5085,8.8227
2024-12-28,8.348566,8.942969
2024-12-29,8.348566,8.942969
2024-12-30,8.5713,8.8824
2024-12-31,8.5351,8.854
2025-01-01,8.388958,8.927617
2025-01-02,8.4472,8.7624
2025-01-03,8.4384,8.7535
2025-01-04,8.369257,8.880955
