zaman,alis,satis
2024-04-29,8.57956,8.89651
2024-04-30,8.567,8.88004
2024-05-01,8.534556,9.025082
2024-05-02,8.57953,8.908059
2024-05-03,8.5452,8.8597
2024-05-04,8.464494,8.950039
2024-05-05,8.462524,8.970906
2024-05-06,8.54507,8.86228
2024-05-07,8.54128,8.85591
2024-05-08,8.5359,8.8506
2024-05-09,8.5197,8.8355
2024-05-10,8.4845,8.8637
2024-05-11,8.405272,9.006326
2024-05-12,8.405272,9.006326
2024-05-13,8.522,8.836
2024-05-14,8.5345,8.8485
2024-05-15,8.57143,8.8877
2024-05-16,8.5071,8.8204
2024-05-17,8.5378,8.853
2024-05-18,8.431992,8.934121
2024-05-19,8.431992,8.934121
2024-05-20,8.5193,8.8333
2024-05-21,8.5169,8.8316
2024-05-22,8.5455,8.86226
2024-05-23,8.467,8.84545
2024-05-24,8.52689,8.841
2024-05-25,8.430824,8.925213
2024-05-26,8.430824,8.925213
2024-05-27,8.5148,8.8315
2024-05-28,8.5145,8.8288
2024-05-29,8.5244,8.8387
2024-05-30,8.5339,8.8486
2024-05-31,8.52396,8.83918
2024-06-01,8.50071,8.85925
2024-06-02,8.50071,8.85925
2024-06-03,8.5194,8.8331
2024-06-04,8.58987,8.90723
2024-06-05,8.5881,8.9011
2024-06-06,8.55728,8.8769
2024-06-07,8.5279,8.8417
2024-06-08,8.4471,8.996974
2024-06-09,8.4471,8.996974
2024-06-10,8.5886,8.9008
2024-06-11,8.5662,8.8802
2024-06-12,8.5655,8.8781
2024-06-13,8.5296,8.84605
2024-06-14,8.622,8.9367
2024-06-15,8.562346,9.07434
2024-06-16,8.562346,9.07434
2024-06-17,8.590422,9.084167
2024-06-18,8.53523,9.025092
2024-06-19,8.507856,8.996398
2024-06-20,8.6568,9.01385
2024-06-21,8.68592,9.00465
2024-06-22,8.595174,9.110366
2024-06-23,8.595174,9.110366
2024-06-24,8.7007,9.0155
2024-06-25,8.7124,9.0282
2024-06-26,8.7116,9.0258
2024-06-27,8.73258,9.05013
2024-06-28,8.6907,9.0074
2024-06-29,8.544981,9.071542
2024-06-30,8.552782,9.102216
2024-07-01,8.65423,8.96946
2024-07-02,8.69366,9.00942
2024-07-03,8.6175,8.9315
2024-07-04,8.6083,8.9237
2024-07-05,8.6486,8.9622
2024-07-06,8.539645,9.049383
2024-07-07,8.539645,9.049383
2024-07-08,8.6576,8.9724
2024-07-09,8.68586,9.00065
2024-07-10,8.75553,9.07197
2024-07-11,8.731,9.04785
2024-07-12,8.72878,9.04467
2024-07-13,8.64012,9.149847
2024-07-14,8.64012,9.149847
2024-07-15,8.652792,9.143808
2024-07-16,8.76491,9.07882
2024-07-17,8.7579,9.0701
2024-07-18,8.78482,9.10175
2024-07-19,8.74562,9.06022
2024-07-20,8.73607,9.06996
2024-07-21,8.73607,9.06996
2024-07-22,8.73601,9.0504
2024-07-23,8.7147,9.0281
2024-07-24,8.6947,9.009
2024-07-25,8.7455,9.0609
2024-07-26,8.72974,9.04542
2024-07-27,8.620884,9.135041
2024-07-28,8.620884,9.135041
2024-07-29,8.7335,9.0463
2024-07-30,8.7529,9.0672
2024-07-31,8.7304,9.0969
2024-08-01,8.7503,9.0647
2024-08-02,8.77315,9.09003
2024-08-03,8.695006,9.199145
2024-08-04,8.695006,9.199145
2024-08-05,8.8151,9.1318
2024-08-06,8.8239,9.1986
2024-08-07,8.90704,9.22269
2024-08-08,8.856,9.1724
2024-08-09,8.8669,9.1828
2024-08-10,8.760415,9.279329
2024-08-11,8.760415,9.279329
2024-08-12,8.865,9.1802
2024-08-13,8.88035,9.19477
2024-08-14,8.90973,9.22615
2024-08-15,8.92712,9.24491
2024-08-16,8.9066,9.2221
2024-08-17,8.818409,9.327022
2024-08-18,8.818409,9.327022
2024-08-19,8.9228,9.2365
2024-08-20,8.9498,9.2641
2024-08-21,8.9759,9.2899
2024-08-22,8.971,9.2864
2024-08-23,9.00213,9.31703
2024-08-24,8.897629,9.409932
2024-08-25,8.897629,9.409932
2024-08-26,8.9996,9.3127
2024-08-27,9.004,9.3166
2024-08-28,8.958481,9.362235
2024-08-29,9.0082,9.32335
2024-08-30,8.912667,9.408327
2024-08-31,8.909252,9.417831
2024-09-01,8.909252,9.417831
2024-09-02,8.9923,9.3056
2024-09-03,8.9505,9.3179
2024-09-04,9.04547,9.36114
2024-09-05,8.9863,9.2996
2024-09-06,8.99286,9.30787
2024-09-07,8.886858,9.408094
2024-09-08,8.886858,9.408094
2024-09-09,9.0052,9.3193
2024-09-10,9.0107,9.3231
2024-09-11,8.9582,9.3263
2024-09-12,9.01416,9.33094
2024-09-13,8.9849,9.29995
2024-09-14,8.869652,9.401893
2024-09-15,8.869652,9.401893
2024-09-16,8.9918,9.3048
2024-09-17,9.0023,9.3152
2024-09-18,8.9767,9.3491
