zaman,alis,satis
2024-04-29,2.93097,3.05069
2024-04-30,2.92583,3.04443
2024-05-01,2.900005,3.079661
2024-05-02,2.93101,3.055568
2024-05-03,2.95001,3.07118
2024-05-04,2.925666,3.117173
2024-05-05,2.925666,3.117173
2024-05-06,2.96024,3.07917
2024-05-07,2.95185,3.07099
2024-05-08,2.9291,3.04803
2024-05-09,2.91687,3.03764
2024-05-10,2.9414,3.06295
2024-05-11,2.892511,3.126374
2024-05-12,2.892511,3.126374
2024-05-13,2.94383,3.06256
2024-05-14,2.94685,3.06558
2024-05-15,2.96605,3.08672
2024-05-16,2.9748,3.09512
2024-05-17,2.96956,3.09073
2024-05-18,2.933715,3.141776
2024-05-19,2.933715,3.141776
2024-05-20,2.98675,3.10579
2024-05-21,2.99322,3.11184
2024-05-22,2.96785,3.08704
2024-05-23,2.97698,3.09959
2024-05-24,2.98014,3.10118
2024-05-25,2.954514,3.142513
2024-05-26,2.954514,3.142513
2024-05-27,3.00218,3.12052
2024-05-28,3.03068,3.14963
2024-05-29,3.00707,3.126
2024-05-30,3.00434,3.12524
2024-05-31,3.02961,3.1504
2024-06-01,3.01751,3.16098
2024-06-02,3.01751,3.16098
2024-06-03,3.03837,3.15687
2024-06-04,3.06938,3.18932
2024-06-05,3.08193,3.20112
2024-06-06,3.07831,3.20095
2024-06-07,3.07535,3.19666
2024-06-08,2.997243,3.205689
2024-06-09,2.997243,3.205689
2024-06-10,3.04839,3.16757
2024-06-11,3.05257,3.17178
2024-06-12,3.07416,3.19298
2024-06-13,3.06137,3.18524
2024-06-14,3.06293,3.18711
2024-06-15,3.035803,3.243473
2024-06-16,3.035803,3.243473
2024-06-17,3.04504,3.231636
2024-06-18,3.035001,3.220526
2024-06-19,3.050366,3.235888
2024-06-20,3.10796,3.23156
2024-06-21,3.0864,3.21089
2024-06-22,3.05887,3.257714
2024-06-23,3.05887,3.257714
2024-06-24,3.11129,3.23031
2024-06-25,3.11761,3.23646
2024-06-26,3.08926,3.20818
2024-06-27,3.08508,3.20471
2024-06-28,3.06356,3.18521
2024-06-29,3.017696,3.226455
2024-06-30,3.017696,3.226455
2024-07-01,3.06585,3.18498
2024-07-02,3.04266,3.16126
2024-07-03,3.05699,3.17584
2024-07-04,3.07656,3.19779
2024-07-05,3.08146,3.20226
2024-07-06,3.045773,3.247887
2024-07-07,3.045773,3.247887
2024-07-08,3.08824,3.20734
2024-07-09,3.07728,3.19599
2024-07-10,3.09662,3.21552
2024-07-11,3.10762,3.22756
2024-07-12,3.09328,3.21678
2024-07-13,3.061484,3.264249
2024-07-14,3.061484,3.264249
2024-07-15,3.060345,3.244675
2024-07-16,3.09139,3.21017
2024-07-17,3.12165,3.24028
2024-07-18,3.10406,3.22547
2024-07-19,3.07089,3.19174
2024-07-20,3.05663,3.19279
2024-07-21,3.05663,3.19279
2024-07-22,3.06692,3.1858
2024-07-23,3.04287,3.16187
2024-07-24,3.02317,3.14193
2024-07-25,3.01924,3.14002
2024-07-26,3.0244,3.14543
2024-07-27,2.976225,3.175399
2024-07-28,2.976225,3.175399
2024-07-29,3.02452,3.14322
2024-07-30,3.04035,3.15938
2024-07-31,3.07076,3.18957
2024-08-01,3.06391,3.18505
2024-08-02,3.06769,3.1887
2024-08-03,3.0708,3.270571
2024-08-04,3.0708,3.270571
2024-08-05,3.12453,3.24719
2024-08-06,3.13671,3.25787
2024-08-07,3.1851,3.30386
2024-08-08,3.15008,3.27143
2024-08-09,3.15126,3.27241
2024-08-10,3.115974,3.314607
2024-08-11,3.115974,3.314607
2024-08-12,3.16185,3.28098
2024-08-13,3.15942,3.27773
2024-08-14,3.19817,3.31717
2024-08-15,3.18399,3.30564
2024-08-16,3.17254,3.29407
2024-08-17,3.159682,3.356704
2024-08-18,3.159682,3.356704
2024-08-19,3.20992,3.3294
2024-08-20,3.26332,3.38254
2024-08-21,3.28413,3.40264
2024-08-22,3.2826,3.40409
2024-08-23,3.27497,3.39518
2024-08-24,3.270245,3.4694
2024-08-25,3.270245,3.4694
2024-08-26,3.30115,3.42039
2024-08-27,3.31056,3.42962
2024-08-28,3.297847,3.450333
2024-08-29,3.30246,3.42409
2024-08-30,3.259108,3.44716
2024-08-31,3.242604,3.443322
2024-09-01,3.242604,3.443322
2024-09-02,3.28582,3.40497
2024-09-03,3.27217,3.39097
2024-09-04,3.26993,3.3894
2024-09-05,3.27724,3.39857
2024-09-06,3.2872,3.41312
2024-09-07,3.22917,3.430515
2024-09-08,3.22917,3.430515
2024-09-09,3.25965,3.37841
2024-09-10,3.2588,3.37764
2024-09-11,3.25847,3.37822
2024-09-12,3.24462,3.36551
2024-09-13,3.27855,3.40003
2024-09-14,3.246525,3.449382
2024-09-15,3.246525,3.449382
2024-09-16,3.31307,3.43199
2024-09-17,3.32189,3.44091
2024-09-18,3.32283,3.44205
2024-09-19,3.32068,3.44195
2024-09-20,3.308,3.42852
2024-09-21,3.286362,3.485873
2024-09-22,3.286362,3.485873
2024-09-23,3.31593,3.43421
2024-09-24,3.33622,3.45486
2024-09-25,3.34838,3.46762
2024-09-26,3.33992,3.46096
2024-09-27,3.34905,3.47004
2024-09-28,3.316181,3.515082
