zaman,alis,satis
2024-04-29,31.8296,33.3424
2024-04-30,31.7864,33.3027
2024-05-01,31.564813,33.740665
2024-05-02,31.811,33.361729
2024-05-03,31.6744,33.2037
2024-05-04,31.311868,33.634716
2024-05-05,31.311868,33.634716
2024-05-06,31.7225,33.2492
2024-05-07,31.7138,33.2259
2024-05-08,31.7142,33.2278
2024-05-09,31.6749,33.1879
2024-05-10,31.3902,32.917
2024-05-11,30.92951,33.516627
2024-05-12,30.92951,33.516627
2024-05-13,31.4632,32.9753
2024-05-14,31.5088,33.0224
2024-05-15,31.5498,33.078
2024-05-16,31.4219,32.9328
2024-05-17,31.4449,32.9712
2024-05-18,30.782297,33.438453
2024-05-19,30.782297,33.438453
2024-05-20,31.4513,32.9652
2024-05-21,31.4443,32.9574
2024-05-22,31.4339,32.9474
2024-05-23,31.4555,32.9742
2024-05-24,31.3656,32.8941
2024-05-25,30.958121,33.25736
2024-05-26,30.958121,33.25736
2024-05-27,31.4395,32.9575
2024-05-28,31.441,32.9478
2024-05-29,31.4768,32.9846
2024-05-30,31.5283,33.0392
2024-05-31,31.3846,32.8934
2024-06-01,31.3052,32.9737
2024-06-02,31.3052,32.9737
2024-06-03,31.4591,32.9654
2024-06-04,31.6871,33.2106
2024-06-05,31.7119,33.2242
2024-06-06,31.4954,33.0052
2024-06-07,31.4229,32.9346
2024-06-08,30.985445,33.592276
2024-06-09,30.985445,33.592276
2024-06-10,31.7052,33.2182
2024-06-11,31.6303,33.1412
2024-06-12,31.6289,33.138
2024-06-13,31.5516,33.0589
2024-06-14,31.6886,33.2031
2024-06-15,31.452824,33.721354
2024-06-16,31.452824,33.721354
2024-06-17,31.566575,33.748321
2024-06-18,31.357487,33.525414
2024-06-19,31.258784,33.416334
2024-06-20,32.0468,33.5632
2024-06-21,31.9876,33.5104
2024-06-22,31.552022,33.974662
2024-06-23,31.552022,33.974662
2024-06-24,32.1476,33.6578
2024-06-25,32.1959,33.7099
2024-06-26,32.1859,33.6979
2024-06-27,32.1374,33.6516
2024-06-28,32.0434,33.5643
2024-06-29,31.353527,34.011123
2024-06-30,31.353527,34.011123
2024-07-01,31.9364,33.45
2024-07-02,31.9521,33.4618
2024-07-03,31.7891,33.299
2024-07-04,31.8176,33.328
2024-07-05,31.8838,33.3919
2024-07-06,31.371743,33.791347
2024-07-07,31.371743,33.791347
2024-07-08,31.9807,33.4916
2024-07-09,32.0528,33.5609
2024-07-10,32.1781,33.693
2024-07-11,32.1168,33.632
2024-07-12,32.1514,33.6768
2024-07-13,31.79972,34.079601
2024-07-14,31.79972,34.079601
2024-07-15,31.861001,34.038393
2024-07-16,32.3489,33.8558
2024-07-17,32.3516,33.8594
2024-07-18,32.3439,33.8548
2024-07-19,32.2151,33.7261
2024-07-20,32.1131,33.799
2024-07-21,32.1131,33.799
2024-07-22,32.2417,33.7503
2024-07-23,32.1871,33.7067
2024-07-24,32.1243,33.6344
2024-07-25,32.33,33.8423
2024-07-26,32.1606,33.6736
2024-07-27,31.69874,34.035363
2024-07-28,31.69874,34.035363
2024-07-29,32.2671,33.7747
2024-07-30,32.3433,33.8534
2024-07-31,32.4014,33.9101
2024-08-01,32.3567,33.8657
2024-08-02,32.3386,33.8503
2024-08-03,31.942973,34.312406
2024-08-04,31.942874,34.312406
2024-08-05,32.5996,34.1154
2024-08-06,32.7835,34.3163
2024-08-07,32.7811,34.2932
2024-08-08,32.7572,34.2707
2024-08-09,32.7254,34.2382
2024-08-10,32.224727,34.647928
2024-08-11,32.224727,34.647928
2024-08-12,32.7814,34.2942
2024-08-13,32.8107,34.3188
2024-08-14,32.8091,34.3187
2024-08-15,32.8833,34.3983
2024-08-16,32.868,34.3816
2024-08-17,32.48282,34.757917
2024-08-18,32.48282,34.757917
2024-08-19,32.9866,34.4972
2024-08-20,33.0875,34.5977
2024-08-21,33.1863,34.6938
2024-08-22,33.187,34.6965
2024-08-23,33.1801,34.6898
2024-08-24,32.76497,35.064048
2024-08-25,32.76497,35.064048
2024-08-26,33.2698,34.7819
2024-08-27,33.2897,34.7972
2024-08-28,33.2881,34.797
2024-08-29,33.1725,34.6883
2024-08-30,32.816351,35.007589
2024-08-31,32.79467,35.066169
2024-09-01,32.79467,35.066169
2024-09-02,33.2466,34.7582
2024-09-03,33.2383,34.7501
2024-09-04,33.2942,34.8039
2024-09-05,33.2556,34.7629
2024-09-06,33.1492,34.6636
2024-09-07,32.740814,35.065967
2024-09-08,32.740814,35.065967
2024-09-09,33.3001,34.8131
2024-09-10,33.3057,34.8164
2024-09-11,33.2683,34.7808
