zaman,alis,satis
2024-04-29,2384.122947,2524.936663
2024-04-30,2341.740945,2482.700301
2024-05-01,2329.253468,2518.49239
2024-05-02,2341.021957,2484.770422
2024-05-03,2338.488215,2479.532769
2024-05-04,2319.139939,2515.781339
2024-05-05,2319.139939,2515.781339
2024-05-06,2356.721237,2498.816774
2024-05-07,2350.67768,2491.585918
2024-05-08,2352.867738,2494.141843
2024-05-09,2346.965849,2488.079203
2024-05-10,2377.58088,2547.077604
2024-05-11,2341.752084,2562.703119
2024-05-12,2341.751338,2562.702359
2024-05-13,2355.471117,2506.752295
2024-05-14,2359.866665,2511.073576
2024-05-15,2371.271878,2543.599731
2024-05-16,2396.32658,2547.362453
2024-05-17,2407.28748,2558.584411
2024-05-18,2402.081761,2615.353627
2024-05-19,2402.081761,2615.353627
2024-05-20,2443.876866,2595.030408
2024-05-21,2434.740479,2585.95382
2024-05-22,2423.733605,2574.672063
2024-05-23,2367.331724,2536.913325
2024-05-24,2355.271352,2506.401746
2024-05-25,2323.405687,2526.493844
2024-05-26,2323.405687,2526.493844
2024-05-27,2356.511491,2507.63224
2024-05-28,2356.589294,2507.709722
2024-05-29,2358.182648,2509.314007
2024-05-30,2346.964756,2513.03622
2024-05-31,2356.961799,2508.233331
2024-06-01,2336.159463,2499.519797
2024-06-02,2336.159713,2499.519797
2024-06-03,2341.797401,2492.989201
2024-06-04,2354.356697,2508.687403
2024-06-05,2362.576939,2516.359036
2024-06-06,2377.390552,2528.835051
2024-06-07,2350.054371,2500.87709
2024-06-08,2285.55837,2502.115613
2024-06-09,2285.55837,2502.115613
2024-06-10,2329.155056,2480.575122
2024-06-11,2330.406977,2481.398483
2024-06-12,2336.939857,2487.817231
2024-06-13,2324.69846,2475.865826
2024-06-14,2368.648531,2535.018025
2024-06-15,2361.435632,2569.031618
2024-06-16,2361.435632,2569.031618
2024-06-17,2355.214551,2556.1285
2024-06-18,2329.63494,2529.475243
2024-06-19,2341.598956,2541.678357
2024-06-20,2396.614001,2548.717633
2024-06-21,2428.36084,2579.482611
2024-06-22,2356.183823,2563.621652
2024-06-23,2356.183823,2563.621652
2024-06-24,2389.682897,2541.109071
2024-06-25,2396.509306,2547.747403
2024-06-26,2376.451243,2527.851375
2024-06-27,2380.169069,2530.941633
2024-06-28,2396.595676,2548.392539
2024-06-29,2344.954826,2567.228834
2024-06-30,2344.954826,2567.228834
2024-07-01,2385.008287,2536.337689
2024-07-02,2372.183973,2523.46708
2024-07-03,2385.972787,2537.32598
2024-07-04,2398.984099,2550.103562
2024-07-05,2407.592905,2573.997442
2024-07-06,2412.800756,2621.075205
2024-07-07,2412.800756,2621.075205
2024-07-08,2427.178477,2578.602079
2024-07-09,2415.876466,2566.963458
2024-07-10,2445.014654,2596.159194
2024-07-11,2446.161766,2597.484739
2024-07-12,2479.087696,2630.472718
2024-07-13,2463.444426,2671.862717
2024-07-14,2463.444426,2671.862717
2024-07-15,2474.270066,2676.964425
2024-07-16,2525.283559,2675.907912
2024-07-17,2559.613329,2710.386537
2024-07-18,2551.762507,2703.299598
2024-07-19,2493.54818,2644.35611
2024-07-20,2477.465747,2636.267813
2024-07-21,2477.465747,2636.267813
2024-07-22,2477.580354,2628.211458
2024-07-23,2478.215959,2629.123554
2024-07-24,2481.200444,2632.48773
2024-07-25,2451.581178,2603.038537
2024-07-26,2448.355247,2599.659894
2024-07-27,2432.313119,2641.439911
2024-07-28,2432.313119,2641.439911
2024-07-29,2467.711268,2618.915286
2024-07-30,2471.225263,2622.424458
2024-07-31,2511.536541,2662.85887
2024-08-01,2523.104318,2674.218959
2024-08-02,2552.949163,2704.177293
2024-08-03,2512.318529,2720.787318
2024-08-04,2512.318529,2720.787318
2024-08-05,2493.1895,2644.628534
2024-08-06,2532.112219,2684.555298
2024-08-07,2513.851019,2664.979163
2024-08-08,2521.703221,2673.247707
2024-08-09,2549.470212,2700.504477
2024-08-10,2520.165748,2731.593732
2024-08-11,2520.165748,2731.593732
2024-08-12,2560.147984,2711.628491
2024-08-13,2588.113661,2739.216406
2024-08-14,2588.033608,2754.78633
2024-08-15,2591.914642,2743.679355
2024-08-16,2601.683419,2753.393478
2024-08-17,2619.719824,2830.053916
2024-08-18,2619.719824,2830.053916
2024-08-19,2629.878762,2781.552812
2024-08-20,2674.73412,2825.808252
2024-08-21,2668.547817,2819.488205
2024-08-22,2657.0544,2808.495041
2024-08-23,2661.810992,2813.172223
2024-08-24,2650.530805,2862.384369
2024-08-25,2650.530805,2862.384369
2024-08-26,2688.589806,2839.947822
2024-08-27,2677.391639,2828.332991
2024-08-28,2665.419131,2819.093496
2024-08-29,2671.042599,2829.734867
2024-08-30,2661.971643,2867.963736
2024-08-31,2642.418819,2852.474019
2024-09-01,2642.418819,2852.474019
2024-09-02,2660.908334,2812.258313
2024-09-03,2656.002887,2807.18022
2024-09-04,2652.71555,2803.774892
2024-09-05,2677.857057,2828.754042
2024-09-06,2671.355475,2826.070813
2024-09-07,2621.556787,2838.70194
2024-09-08,2621.556787,2838.70194
2024-09-09,2659.260221,2812.345605
2024-09-10,2668.554143,2821.133807
2024-09-11,2671.064415,2840.879373
2024-09-12,2670.213186,2825.169327
2024-09-13,2719.064198,2871.856052
2024-09-14,2701.802235,2921.692154
2024-09-15,2701.802235,2921.692154
2024-09-16,2746.101415,2897.825433
2024-09-17,2746.397517,2898.318614
2024-09-18,2737.635356,2908.175804
2024-09-19,2753.344675,2907.723267
2024-09-20,2790.767597,2944.652043
2024-09-21,2770.608576,2990.344692
2024-09-22,2770.608576,2990.344692
2024-09-23,2807.278634,2959.515512
2024-09-24,2809.373528,2961.647057
2024-09-25,2832.960376,3002.303304
2024-09-26,2872.062408,3026.725206
2024-09-27,2850.866338,3007.284474
2024-09-28,2810.761884,3030.761389
2024-09-29,2810.761884,3030.761389
2024-09-30,2813.82539,2983.825921
2024-10-01,2837.102633,2990.368768
2024-10-02,2841.377297,2994.921851
2024-10-03,2829.137709,2986.255126
2024-10-04,2851.086084,3008.808912
2024-10-05,2813.859594,3034.120091
2024-10-06,2813.859594,3034.120091
2024-10-07,2853.102162,3005.863125
2024-10-08,2845.677441,2998.67117
2024-10-09,2796.09121,2969.497939
2024-10-10,2795.718562,2949.717838
2024-10-11,2829.353673,2983.703706
2024-10-12,2814.072376,3033.813337
2024-10-13,2814.072376,3033.813337
2024-10-14,2840.208188,3010.894117
2024-10-15,2832.159757,3003.151754
2024-10-16,2868.866055,3022.114467
2024-10-17,2860.869167,3036.084258
2024-10-18,2907.909118,3064.651783
2024-10-19,2883.070517,3112.481839
2024-10-20,2883.070517,3112.481839
2024-10-21,2937.090098,3091.311155
2024-10-22,2919.977617,3094.41588
2024-10-23,2956.002335,3110.218891
2024-10-24,2934.001415,3091.43209
2024-10-25,2925.366874,3084.306551
2024-10-26,2917.83884,3144.266788
2024-10-27,2917.83884,3144.266788
2024-10-28,2904.503472,3118.940521
2024-10-29,2924.981929,3139.494981
2024-10-30,2988.932937,3143.398656
2024-10-31,2977.729595,3134.733961
2024-11-01,2957.065825,3113.848356
2024-11-02,2910.631264,3133.174303
2024-11-03,2910.631264,3133.174303
2024-11-04,2949.288129,3103.445529
2024-11-05,2952.090966,3106.1741
2024-11-06,2897.176516,3069.006771
2024-11-07,2853.066025,3011.571034
2024-11-08,2878.020871,3059.616772
2024-11-09,2853.072404,3075.287512
2024-11-10,2853.0729,3075.287512
2024-11-11,2867.688214,3022.318219
2024-11-12,2795.308919,2949.068302
2024-11-13,2804.439198,2958.108239
2024-11-14,2737.587099,2894.285718
2024-11-15,2766.937798,2923.804884
2024-11-16,2730.242244,2948.131147
2024-11-17,2730.241251,2948.130134
2024-11-18,2801.493615,2955.362629
2024-11-19,2853.401076,3007.033788
2024-11-20,2832.594239,2986.59121
2024-11-21,2881.727123,3038.948501
2024-11-22,2917.000495,3074.161753
2024-11-23,2906.71188,3132.643598
2024-11-24,2906.71188,3132.643598
2024-11-25,2912.9223,3067.119887
2024-11-26,2849.619255,3004.841666
2024-11-27,2874.657691,3028.48041
2024-11-28,2863.508039,3022.028278
2024-11-29,2892.655309,3049.708222
2024-11-30,2836.927645,3101.635852
2024-12-01,2836.927645,3101.635852
2024-12-02,2869.548413,3023.639906
2024-12-03,2878.603461,3032.53356
2024-12-04,2882.10556,3036.303148
2024-12-05,2877.992257,3034.565813
2024-12-06,2871.404401,3027.986316
2024-12-07,2830.297122,3058.0695
2024-12-08,2830.296378,3058.068993
2024-12-09,2896.675297,3050.320548
2024-12-10,2918.508362,3072.2237
2024-12-11,2930.132195,3108.535839
2024-12-12,2965.964656,3119.763262
2024-12-13,2900.169006,3078.328393
2024-12-14,2866.81038,3089.08587
2024-12-15,2866.810628,3089.086123
2024-12-16,2919.318864,3072.955755
2024-12-17,2893.65384,3047.677496
2024-12-18,2904.775811,3058.499829
2024-12-19,2869.719098,3026.343129
2024-12-20,2863.575554,3020.41692
2024-12-21,2858.475292,3082.753928
2024-12-22,2858.475292,3082.754434
2024-12-23,2880.62277,3037.897518
2024-12-24,2876.631316,3037.922646
2024-12-25,2874.24323,3055.838699
2024-12-26,2894.675214,3052.400704
2024-12-27,2894.800599,3052.324509
2024-12-28,2831.82688,3083.466271
2024-12-29,2831.82688,3083.466271
2024-12-30,2894.634721,3049.896354
2024-12-31,2890.8108,3046.183672
2025-01-01,2875.907698,3099.027562
