zaman,kur,alis,satis
1714401782,XAU,2384.122947,2524.936663
1714488268,XAU,2341.740945,2482.700301
1714574478,XAU,2329.253468,2518.49239
1714660772,XAU,2341.021957,2484.770422
1714747325,XAU,2338.488215,2479.532769
1714833758,XAU,2319.139939,2515.781339
1714920039,XAU,2319.139939,2515.781339
1715006461,XAU,2356.721237,2498.816774
1715092777,XAU,2350.67768,2491.585918
1715179406,XAU,2352.867738,2494.141843
1715265872,XAU,2346.965849,2488.079203
1715352048,XAU,2377.58088,2547.077604
1715438651,XAU,2341.752084,2562.703119
1715524989,XAU,2341.751338,2562.702359
1715611490,XAU,2355.471117,2506.752295
1715697873,XAU,2359.866665,2511.073576
1715784171,XAU,2371.271878,2543.599731
1715870527,XAU,2396.32658,2547.362453
1715957051,XAU,2407.28748,2558.584411
1716043246,XAU,2402.081761,2615.353627
1716129769,XAU,2402.081761,2615.353627
1716216193,XAU,2443.876866,2595.030408
1716302556,XAU,2434.740479,2585.95382
1716388917,XAU,2423.733605,2574.672063
1716475438,XAU,2367.331724,2536.913325
1716561853,XAU,2355.271352,2506.401746
1716648084,XAU,2323.405687,2526.493844
1716734631,XAU,2323.405687,2526.493844
1716821036,XAU,2356.511491,2507.63224
1716907491,XAU,2356.589294,2507.709722
1716993746,XAU,2358.182648,2509.314007
1717079959,XAU,2346.964756,2513.03622
1717166664,XAU,2356.961799,2508.233331
1717252932,XAU,2336.159463,2499.519797
1717339476,XAU,2336.159713,2499.519797
1717425601,XAU,2341.797401,2492.989201
1717512188,XAU,2354.356697,2508.687403
1717598482,XAU,2362.576939,2516.359036
1717684846,XAU,2377.390552,2528.835051
1717771483,XAU,2350.054371,2500.87709
1717857754,XAU,2285.55837,2502.115613
1717944064,XAU,2285.55837,2502.115613
1718030533,XAU,2329.155056,2480.575122
1718117012,XAU,2330.406977,2481.398483
1718203181,XAU,2336.939857,2487.817231
1718289856,XAU,2324.69846,2475.865826
1718376262,XAU,2368.648531,2535.018025
1718462627,XAU,2361.435632,2569.031618
1718548850,XAU,2361.435632,2569.031618
1718635240,XAU,2355.214551,2556.1285
1718721810,XAU,2329.63494,2529.475243
1718808240,XAU,2341.598956,2541.678357
1718894553,XAU,2396.614001,2548.717633
1718980780,XAU,2428.36084,2579.482611
1719067315,XAU,2356.183823,2563.621652
1719153871,XAU,2356.183823,2563.621652
1719240286,XAU,2389.682897,2541.109071
1719326419,XAU,2396.509306,2547.747403
1719413040,XAU,2376.451243,2527.851375
1719499374,XAU,2380.169069,2530.941633
1719585580,XAU,2396.595676,2548.392539
1719672293,XAU,2344.954826,2567.228834
1719758556,XAU,2344.954826,2567.228834
1719844788,XAU,2385.008287,2536.337689
1719931303,XAU,2372.183973,2523.46708
1720017645,XAU,2385.972787,2537.32598
1720104216,XAU,2398.984099,2550.103562
1720190436,XAU,2407.592905,2573.997442
1720276864,XAU,2412.800756,2621.075205
1720363250,XAU,2412.800756,2621.075205
1720449871,XAU,2427.178477,2578.602079
1720536249,XAU,2415.876466,2566.963458
1720622606,XAU,2445.014654,2596.159194
1720709083,XAU,2446.161766,2597.484739
1720795203,XAU,2479.087696,2630.472718
1720881649,XAU,2463.444426,2671.862717
1720968261,XAU,2463.444426,2671.862717
1721054650,XAU,2474.270066,2676.964425
1721141084,XAU,2525.283559,2675.907912
1721227328,XAU,2559.613329,2710.386537
1721313684,XAU,2551.762507,2703.299598
1721400092,XAU,2493.54818,2644.35611
1721486542,XAU,2477.465747,2636.267813
1721572991,XAU,2477.465747,2636.267813
1721659179,XAU,2477.580354,2628.211458
1721745655,XAU,2478.215959,2629.123554
1721832180,XAU,2481.200444,2632.48773
1721918448,XAU,2451.581178,2603.038537
1722005046,XAU,2448.355247,2599.659894
1722091388,XAU,2432.313119,2641.439911
1722177781,XAU,2432.313119,2641.439911
