zaman,alis,satis
2024-04-16,20.4558,21.3618
2024-04-17,20.5341,21.4484
2024-04-18,20.5575,21.4722
2024-04-19,20.5359,21.4528
2024-04-20,20.3279,21.77
2024-04-21,20.3279,21.77
2024-04-22,20.5584,21.4717
2024-04-23,20.5999,21.9737
2024-04-24,20.7592,21.6777
2024-04-25,20.7869,21.7078
2024-04-26,20.7932,21.724
2024-04-27,20.6667,22.1205
2024-04-28,20.6667,22.1205
2024-04-29,20.8556,21.7825
2024-04-30,20.6568,21.5727
2024-05-01,20.574,21.9514
2024-05-02,20.7808,21.7062
2024-05-03,20.9561,21.8873
2024-05-04,20.8351,22.2772
2024-05-05,20.8351,22.2772
2024-05-06,21.0377,21.9852
2024-05-07,20.9941,21.9263
2024-05-08,20.8523,21.7779
2024-05-09,20.9473,21.8739
2024-05-10,20.8648,21.7969
2024-05-11,20.7532,22.2434
2024-05-12,20.7532,22.2434
2024-05-13,20.7635,21.6874
2024-05-14,20.8771,21.8107
2024-05-15,20.9572,21.8893
2024-05-16,20.9925,21.9243
2024-05-17,20.9895,21.9347
2024-05-18,21.0432,22.4879
2024-05-19,21.0432,22.4879
2024-05-20,21.0065,21.9408
2024-05-21,21.0082,21.9405
2024-05-22,20.8914,21.8187
2024-05-23,20.8565,21.7852
2024-05-24,20.8795,21.8085
2024-05-25,20.8397,22.2535
2024-05-26,20.8397,22.2535
2024-05-27,20.9322,21.8659
2024-05-28,20.9305,21.8615
2024-05-29,20.8442,21.5101
2024-05-30,20.9046,21.5738
2024-05-31,20.948,21.6016
2024-06-01,20.8939,22.3319
2024-06-02,20.8939,22.3319
2024-06-03,21.0422,21.7008
2024-06-04,21.0445,21.7081
2024-06-05,20.9922,21.6649
2024-06-06,20.9304,21.5964
2024-06-07,20.8395,21.4926
2024-06-08,20.7069,22.244
2024-06-09,20.7069,22.244
2024-06-10,20.7709,21.5461
2024-06-11,20.864,21.5215
2024-06-12,21.1392,21.8009
2024-06-13,20.9356,21.5905
2024-06-14,20.9391,21.7398
2024-06-15,21.1531,22.6054
2024-06-16,21.1531,22.6054
2024-06-17,21.15,22.5608
2024-06-18,21.1476,22.5669
2024-06-19,21.1484,22.5809
2024-06-20,21.4035,22.0803
2024-06-21,21.251,21.9196
2024-06-22,21.2539,22.7488
2024-06-23,21.2539,22.7488
2024-06-24,21.4226,22.093
2024-06-25,21.3798,22.0469
2024-06-26,21.3571,22.0267
2024-06-27,21.3753,22.0485
2024-06-28,21.3027,21.9853
2024-06-29,21.1848,22.82
2024-06-30,21.1848,22.82
2024-07-01,21.2594,21.9164
2024-07-02,21.2198,21.8756
2024-07-03,21.3774,22.036
2024-07-04,21.4494,22.1052
2024-07-05,21.4283,22.1018
2024-07-06,21.4846,22.9535
2024-07-07,21.4846,22.9535
2024-07-08,21.5962,22.2626
2024-07-09,21.6575,22.3296
2024-07-10,21.6899,22.3604
2024-07-11,21.7255,22.3908
2024-07-12,21.8273,22.5091
2024-07-13,21.8574,23.3596
2024-07-14,21.8574,23.3596
2024-07-15,21.8323,23.3139
2024-07-16,21.7389,22.4101
2024-07-17,21.752,22.424
2024-07-18,21.7549,22.4238
2024-07-19,21.5619,22.2308
2024-07-20,21.5227,23.0111
2024-07-21,21.5227,23.0111
2024-07-22,21.3587,22.0205
2024-07-23,21.2185,21.879
2024-07-24,21.1749,21.8305
2024-07-25,21.1284,21.78
2024-07-26,21.0761,21.7328
2024-07-27,21.0369,22.4987
2024-07-28,21.0369,22.4987
2024-07-29,21.0637,21.7104
2024-07-30,21.1216,21.7746
2024-07-31,21.1551,21.8101
2024-08-01,21.1271,21.7819
2024-08-02,21.0953,21.7492
2024-08-03,21.1333,22.5766
2024-08-04,21.1333,22.5766
2024-08-05,21.1642,21.8209
2024-08-06,21.3997,22.0546
2024-08-07,21.4444,22.107
2024-08-08,21.5076,22.168
2024-08-09,21.4945,22.1669
2024-08-10,21.4601,22.9679
2024-08-11,21.4601,22.9679
2024-08-12,21.6276,22.2997
2024-08-13,21.6594,22.3253
2024-08-14,21.6951,22.366
2024-08-15,21.7621,22.4362
2024-08-16,21.7675,22.4411
2024-08-17,21.9171,23.4038
2024-08-18,21.9171,23.4038
2024-08-19,22.143,22.8274
2024-08-20,22.3312,23.0212
2024-08-21,22.329,23.0155
2024-08-22,22.2409,22.965
2024-08-23,22.4575,23.1943
2024-08-24,22.4753,24.0565
2024-08-25,22.4753,24.0565
2024-08-26,22.5512,23.284
2024-08-27,22.5552,23.2894
2024-08-28,22.9617,23.4387
2024-08-29,22.8575,23.3447
2024-08-30,22.5808,24.0861
2024-08-31,22.5017,24.0119
2024-09-01,22.5017,24.0119
2024-09-02,22.8333,23.313
2024-09-03,22.6943,23.172
2024-09-04,22.8257,23.3017
2024-09-05,22.7155,23.1918
2024-09-06,22.6716,23.1557
2024-09-07,22.0954,23.6097
2024-09-08,22.0954,23.6097
2024-09-09,22.4958,22.9634
2024-09-10,22.4446,22.9135
2024-09-11,22.3445,22.8176
2024-09-12,22.4938,22.9678
2024-09-13,22.5741,23.0533
2024-09-14,22.2153,23.7223
2024-09-15,22.2153,23.7223
2024-09-16,22.7333,23.2131
2024-09-17,22.8702,23.3514
2024-09-18,22.904,23.3852
2024-09-19,23.0044,23.4831
2024-09-20,22.9504,23.433
2024-09-21,22.6545,24.1857
2024-09-22,22.6545,24.1857
2024-09-23,23.1917,23.6775
2024-09-24,23.262,23.7496
2024-09-25,23.2712,23.7577
2024-09-26,23.3183,23.8092
2024-09-27,23.4329,23.934
2024-09-28,23.0216,24.5823
2024-09-29,23.0216,24.5823
2024-09-30,23.3886,24.0174
2024-10-01,23.4232,23.9157
2024-10-02,23.3857,23.8758
2024-10-03,23.0204,23.5902
2024-10-04,22.92,23.4864
2024-10-05,22.6539,23.9215
2024-10-06,22.6688,23.9176
2024-10-07,22.858,23.4391
2024-10-08,22.737,23.3026
2024-10-09,22.6791,23.2393
2024-10-10,22.7,23.262
2024-10-11,22.8447,23.4199
2024-10-12,22.5321,23.7992
2024-10-13,22.5321,23.7992
2024-10-14,22.7276,23.277
2024-10-15,22.6446,23.2085
2024-10-16,22.4757,23.0331
2024-10-17,22.5047,23.0667
2024-10-18,22.6013,23.1717
2024-10-19,22.3056,23.6259
2024-10-20,22.3056,23.6259
2024-10-21,22.5771,23.1338
2024-10-22,22.5749,23.1317
2024-10-23,22.4328,22.9891
2024-10-24,22.4172,22.9732
2024-10-25,22.4799,23.0322
2024-10-26,22.0272,23.2758
2024-10-27,22.0272,23.2758
2024-10-28,22.0249,23.2435
2024-10-29,21.9241,23.1342
2024-10-30,22.261,22.8124
2024-10-31,22.1497,22.6982
2024-11-01,22.2057,22.7637
2024-11-02,21.9104,23.1375
2024-11-03,21.9104,23.1375
2024-11-04,22.3627,22.9167
2024-11-05,22.4784,23.044
2024-11-06,22.1642,22.7158
2024-11-07,22.5332,23.092
2024-11-08,22.3174,22.8811
2024-11-09,22.0162,23.2437
2024-11-10,22.0162,23.2437
2024-11-11,22.2639,22.8256
2024-11-12,22.186,22.7473
2024-11-13,22.0526,22.5967
2024-11-14,21.9682,22.5132
2024-11-15,21.8318,22.3757
2024-11-16,21.6188,22.8269
2024-11-17,21.6188,22.8269
2024-11-18,22.0301,22.5799
2024-11-19,22.2004,22.7632
2024-11-20,22.0719,22.6347
2024-11-21,22.1789,22.7293
2024-11-22,22.1222,22.6868
2024-11-23,21.8464,23.0647
2024-11-24,21.8464,23.0647
2024-11-25,22.2243,22.7807
2024-11-26,22.1402,22.6929
2024-11-27,22.1835,22.7301
2024-11-28,22.1835,22.7473
2024-11-29,22.1984,22.7621
2024-11-30,22.0274,23.2671
2024-12-01,22.0274,23.2671
2024-12-02,22.146,22.706
2024-12-03,22.2287,22.7866
2024-12-04,21.9669,22.5209
2024-12-05,22.082,22.626
2024-12-06,21.9631,22.51
2024-12-07,21.6162,22.8335
