zaman,alis,satis
2024-04-16,23.1005,24.1236
2024-04-17,23.1746,24.2064
2024-04-18,23.2236,24.2569
2024-04-19,23.264,24.3028
2024-04-20,23.0351,24.6692
2024-04-21,23.0351,24.6692
2024-04-22,23.2776,24.3118
2024-04-23,23.2515,24.8022
2024-04-24,23.3134,24.3449
2024-04-25,23.3133,24.3461
2024-04-26,23.2817,24.3238
2024-04-27,23.1484,24.7767
2024-04-28,23.1484,24.7767
2024-04-29,23.287,24.3221
2024-04-30,23.1335,24.1592
2024-05-01,23.0308,24.5727
2024-05-02,23.2101,24.2437
2024-05-03,23.1925,24.2231
2024-05-04,23.0277,24.6215
2024-05-05,23.0277,24.6215
2024-05-06,23.2339,24.2803
2024-05-07,23.1721,24.2011
2024-05-08,23.1056,24.1312
2024-05-09,23.1502,24.1743
2024-05-10,23.1257,24.1589
2024-05-11,22.9816,24.6318
2024-05-12,22.9816,24.6318
2024-05-13,22.9461,23.9672
2024-05-14,23.0916,24.1243
2024-05-15,23.0838,24.1104
2024-05-16,23.0941,24.1193
2024-05-17,23.0679,24.1067
2024-05-18,23.0925,24.6779
2024-05-19,23.0925,24.6779
2024-05-20,23.1331,24.162
2024-05-21,23.062,24.0854
2024-05-22,23.0108,24.0322
2024-05-23,22.9889,24.0126
2024-05-24,23.0467,24.0722
2024-05-25,23.009,24.5699
2024-05-26,23.009,24.5699
2024-05-27,23.0559,24.0843
2024-05-28,23.0408,24.0656
2024-05-29,22.9842,23.7184
2024-05-30,23.0309,23.7681
2024-05-31,23.081,23.8012
2024-06-01,23.0498,24.6362
2024-06-02,23.0498,24.6362
2024-06-03,23.102,23.8251
2024-06-04,23.1525,23.8826
2024-06-05,23.049,23.7876
2024-06-06,22.9791,23.7104
2024-06-07,23.0021,23.723
2024-06-08,22.8585,24.5553
2024-06-09,22.8585,24.5553
2024-06-10,22.8462,23.6988
2024-06-11,22.9502,23.6736
2024-06-12,23.0724,23.7946
2024-06-13,22.938,23.6554
2024-06-14,23.0488,23.9302
2024-06-15,23.2817,24.88
2024-06-16,23.2817,24.88
2024-06-17,23.3168,24.8722
2024-06-18,23.1818,24.7377
2024-06-19,23.1505,24.7186
2024-06-20,23.4312,24.1722
2024-06-21,23.3591,24.0941
2024-06-22,23.3622,25.0054
2024-06-23,23.3622,25.0054
2024-06-24,23.5301,24.2664
2024-06-25,23.5593,24.2944
2024-06-26,23.4489,24.1841
2024-06-27,23.451,24.1896
2024-06-28,23.3094,24.0564
2024-06-29,23.2158,25.0078
2024-06-30,23.2158,25.0078
2024-07-01,23.2666,23.9856
2024-07-02,23.2618,23.9807
2024-07-03,23.3237,24.0422
2024-07-04,23.409,24.1247
2024-07-05,23.3379,24.0714
2024-07-06,23.3316,24.9268
2024-07-07,23.3316,24.9268
2024-07-08,23.4736,24.1979
2024-07-09,23.5752,24.3067
2024-07-10,23.6013,24.331
2024-07-11,23.5545,24.2759
2024-07-12,23.6092,24.3467
2024-07-13,23.6227,25.2462
2024-07-14,23.6227,25.2462
2024-07-15,23.5838,25.1842
2024-07-16,23.6195,24.3488
2024-07-17,23.63,24.3601
2024-07-18,23.588,24.3132
2024-07-19,23.4756,24.2039
2024-07-20,23.4508,25.0726
2024-07-21,23.4508,25.0726
2024-07-22,23.379,24.1035
2024-07-23,23.2895,24.0144
2024-07-24,23.2556,23.9755
2024-07-25,23.3532,24.0734
2024-07-26,23.2313,23.9552
2024-07-27,23.2161,24.8293
2024-07-28,23.2161,24.8293
2024-07-29,23.2735,23.9881
2024-07-30,23.3312,24.0525
2024-07-31,23.4546,24.1808
2024-08-01,23.3706,24.095
2024-08-02,23.3567,24.0806
2024-08-03,23.3833,24.9802
2024-08-04,23.3833,24.9802
2024-08-05,23.579,24.3106
2024-08-06,23.8085,24.5371
2024-08-07,23.8293,24.5656
2024-08-08,23.797,24.5277
2024-08-09,23.7919,24.5361
2024-08-10,23.7738,25.4443
2024-08-11,23.7738,25.4443
2024-08-12,23.8509,24.5921
2024-08-13,23.8782,24.6123
2024-08-14,23.9515,24.6922
2024-08-15,23.9612,24.7033
2024-08-16,23.9337,24.6743
2024-08-17,24.0112,25.6399
2024-08-18,24.0112,25.6399
2024-08-19,24.1614,24.9082
2024-08-20,24.2922,25.0427
2024-08-21,24.365,25.1141
2024-08-22,24.3594,25.1525
2024-08-23,24.5211,25.3256
2024-08-24,24.4774,26.1994
2024-08-25,24.4774,26.1994
2024-08-26,24.6893,25.4916
2024-08-27,24.7084,25.5127
2024-08-28,25.1222,25.6441
2024-08-29,24.9581,25.4902
2024-08-30,24.6962,26.3425
2024-08-31,24.6403,26.2941
2024-09-01,24.6403,26.2941
2024-09-02,24.9536,25.4778
2024-09-03,24.9087,25.4329
2024-09-04,25.0451,25.5673
2024-09-05,24.9723,25.496
2024-09-06,24.9743,25.5076
2024-09-07,24.4135,26.0867
2024-09-08,24.4135,26.0867
2024-09-09,24.91,25.4278
2024-09-10,24.8251,25.3437
2024-09-11,24.7745,25.299
2024-09-12,24.7524,25.274
