zaman,alis,satis
2024-04-16,34.9909,36.5407
2024-04-17,35.0413,36.6015
2024-04-18,35.0404,36.5995
2024-04-19,35.166,36.7363
2024-04-20,34.7867,37.2545
2024-04-21,34.7867,37.2545
2024-04-22,35.034,36.5904
2024-04-23,34.9117,37.24
2024-04-24,35.0045,36.5533
2024-04-25,34.9635,36.5124
2024-04-26,34.8333,36.3926
2024-04-27,34.5897,37.0229
2024-04-28,34.5897,37.0229
2024-04-29,34.8999,36.4511
2024-04-30,34.7989,36.3418
2024-05-01,34.4849,36.7935
2024-05-02,34.8583,36.4107
2024-05-03,35.0243,36.5807
2024-05-04,34.8227,37.2329
2024-05-05,34.8227,37.2329
2024-05-06,35.0292,36.6069
2024-05-07,34.9869,36.5405
2024-05-08,34.9216,36.4718
2024-05-09,34.9628,36.5095
2024-05-10,34.8122,36.3674
2024-05-11,34.6651,37.1542
2024-05-12,34.6651,37.1542
2024-05-13,34.6103,36.1504
2024-05-14,34.7839,36.3394
2024-05-15,34.8068,36.3549
2024-05-16,34.7919,36.3363
2024-05-17,34.5917,36.1495
2024-05-18,34.5892,36.964
2024-05-19,34.5892,36.964
2024-05-20,34.6386,36.1792
2024-05-21,34.5702,36.1044
2024-05-22,34.4055,35.9327
2024-05-23,34.4318,35.965
2024-05-24,34.468,36.0017
2024-05-25,34.3688,36.7004
2024-05-26,34.3688,36.7004
2024-05-27,34.3996,35.9341
2024-05-28,34.4993,36.0337
2024-05-29,34.4738,35.5751
2024-05-30,34.8226,35.9373
2024-05-31,34.895,35.9838
2024-06-01,34.8071,37.2028
2024-06-02,34.8071,37.2028
2024-06-03,35.0636,36.1611
2024-06-04,35.5467,36.6677
2024-06-05,35.3564,36.4894
2024-06-06,35.2917,36.4148
2024-06-07,35.2124,36.316
2024-06-08,35.0933,37.6984
2024-06-09,35.0933,37.6984
2024-06-10,35.0702,36.3791
2024-06-11,35.1686,36.277
2024-06-12,35.4452,36.5547
2024-06-13,35.2368,36.3389
2024-06-14,35.6127,36.9745
2024-06-15,35.9163,38.3821
2024-06-16,35.9163,38.3821
2024-06-17,35.9299,38.3266
2024-06-18,35.9819,38.3969
2024-06-19,35.874,38.3039
2024-06-20,36.0134,37.1523
2024-06-21,35.8098,36.9365
2024-06-22,35.7814,38.298
2024-06-23,35.7814,38.298
2024-06-24,35.9866,37.1127
2024-06-25,35.9961,37.1192
2024-06-26,35.785,36.9069
2024-06-27,35.7884,36.9155
2024-06-28,35.4883,36.6255
2024-06-29,35.3599,38.0892
2024-06-30,35.3599,38.0892
2024-07-01,35.3766,36.4698
2024-07-02,35.2465,36.3358
2024-07-03,35.3173,36.4053
2024-07-04,35.4297,36.5129
2024-07-05,35.4289,36.5424
2024-07-06,35.517,37.9453
2024-07-07,35.517,37.9453
2024-07-08,35.6999,36.8015
2024-07-09,35.8025,36.9135
2024-07-10,35.7326,36.8373
2024-07-11,35.9027,37.0022
2024-07-12,35.9548,37.0779
2024-07-13,36.0097,38.4845
2024-07-14,36.0097,38.4845
2024-07-15,36.0067,38.4502
2024-07-16,36.083,37.1971
2024-07-17,36.5,37.6277
2024-07-18,36.5123,37.6349
2024-07-19,36.238,37.3623
2024-07-20,36.2331,38.7388
2024-07-21,36.2331,38.7388
2024-07-22,36.1872,37.3085
2024-07-23,35.9695,37.0892
2024-07-24,36.3111,37.4352
2024-07-25,36.7101,37.8422
2024-07-26,36.4308,37.5659
2024-07-27,36.3469,38.8726
2024-07-28,36.3469,38.8726
2024-07-29,36.3677,37.4842
2024-07-30,36.4835,37.6114
2024-07-31,36.7989,37.9384
2024-08-01,37.0124,38.1596
2024-08-02,37.5988,38.7641
2024-08-03,37.8036,40.3854
2024-08-04,37.8036,40.3854
2024-08-05,38.4627,39.6562
2024-08-06,38.5272,39.7062
2024-08-07,37.9914,39.1652
2024-08-08,37.8265,38.988
2024-08-09,37.8289,39.0123
2024-08-10,37.7604,40.4135
2024-08-11,37.7604,40.4135
2024-08-12,37.728,38.9004
2024-08-13,37.8669,39.031
2024-08-14,38.0517,39.2285
2024-08-15,37.7035,38.8714
2024-08-16,37.797,38.9666
2024-08-17,37.935,40.5081
2024-08-18,37.935,40.5081
2024-08-19,38.1793,39.3594
2024-08-20,38.6052,39.7979
2024-08-21,38.7997,39.9926
2024-08-22,38.8841,40.1501
2024-08-23,39.0315,40.3122
2024-08-24,39.0303,41.7762
2024-08-25,39.0303,41.7762
2024-08-26,39.2788,40.5553
2024-08-27,39.4642,40.7488
2024-08-28,40.127,40.9606
2024-08-29,39.6659,40.5114
2024-08-30,39.2273,41.8423
2024-08-31,39.1465,41.774
2024-09-01,39.1465,41.774
2024-09-02,39.5346,40.365
2024-09-03,39.7588,40.5956
2024-09-04,39.895,40.7269
2024-09-05,39.7673,40.6012
2024-09-06,40.1101,40.9666
2024-09-07,39.2845,41.9769
2024-09-08,39.2845,41.9769
2024-09-09,39.8525,40.6809
2024-09-10,39.8771,40.7102
