zaman,alis,satis
2024-04-16,4.5525,4.7541
2024-04-17,4.5573,4.7602
2024-04-18,4.5649,4.7681
2024-04-19,4.5695,4.7736
2024-04-20,4.5235,4.8444
2024-04-21,4.5235,4.8444
2024-04-22,4.553,4.7553
2024-04-23,4.5574,4.8613
2024-04-24,4.5837,4.7865
2024-04-25,4.5913,4.7946
2024-04-26,4.5627,4.767
2024-04-27,4.536,4.855
2024-04-28,4.536,4.855
2024-04-29,4.5705,4.7736
2024-04-30,4.5636,4.766
2024-05-01,4.5413,4.8453
2024-05-02,4.5597,4.7627
2024-05-03,4.5767,4.7801
2024-05-04,4.5475,4.8623
2024-05-05,4.5475,4.8623
2024-05-06,4.5843,4.7908
2024-05-07,4.5827,4.7862
2024-05-08,4.5711,4.774
2024-05-09,4.5788,4.7813
2024-05-10,4.5603,4.764
2024-05-11,4.5364,4.8621
2024-05-12,4.5364,4.8621
2024-05-13,4.5428,4.7449
2024-05-14,4.5716,4.776
2024-05-15,4.5798,4.7835
2024-05-16,4.5816,4.785
2024-05-17,4.5726,4.7785
2024-05-18,4.5789,4.8933
2024-05-19,4.5789,4.8933
2024-05-20,4.5826,4.7864
2024-05-21,4.5788,4.782
2024-05-22,4.5683,4.7711
2024-05-23,4.5688,4.7723
2024-05-24,4.5825,4.7864
2024-05-25,4.5709,4.881
2024-05-26,4.5709,4.881
2024-05-27,4.5738,4.7778
2024-05-28,4.579,4.7827
2024-05-29,4.564,4.7098
2024-05-30,4.5762,4.7227
2024-05-31,4.5854,4.7285
2024-06-01,4.5684,4.8828
2024-06-02,4.5684,4.8828
2024-06-03,4.5895,4.7331
2024-06-04,4.6213,4.767
2024-06-05,4.6072,4.7549
2024-06-06,4.5912,4.7373
2024-06-07,4.5804,4.7239
2024-06-08,4.5557,4.8939
2024-06-09,4.5557,4.8939
2024-06-10,4.5319,4.701
2024-06-11,4.5452,4.6884
2024-06-12,4.5911,4.7348
2024-06-13,4.5555,4.698
2024-06-14,4.5417,4.7154
2024-06-15,4.5885,4.9035
2024-06-16,4.5885,4.9035
2024-06-17,4.6074,4.9147
2024-06-18,4.5823,4.8898
2024-06-19,4.5699,4.8795
2024-06-20,4.6151,4.761
2024-06-21,4.5876,4.732
2024-06-22,4.5871,4.9097
2024-06-23,4.5871,4.9097
2024-06-24,4.6258,4.7706
2024-06-25,4.6187,4.7628
2024-06-26,4.6025,4.7468
2024-06-27,4.6113,4.7565
2024-06-28,4.583,4.7299
2024-06-29,4.5629,4.9151
2024-06-30,4.5629,4.9151
2024-07-01,4.6001,4.7423
2024-07-02,4.5847,4.7264
2024-07-03,4.6062,4.7481
2024-07-04,4.6178,4.759
2024-07-05,4.6194,4.7646
2024-07-06,4.6246,4.9408
2024-07-07,4.6246,4.9408
2024-07-08,4.6511,4.7946
2024-07-09,4.6614,4.806
2024-07-10,4.6628,4.807
2024-07-11,4.6767,4.8199
2024-07-12,4.7004,4.8472
2024-07-13,4.7082,5.0317
2024-07-14,4.7082,5.0317
2024-07-15,4.7131,5.0329
2024-07-16,4.7138,4.8594
2024-07-17,4.7392,4.8857
2024-07-18,4.7236,4.8688
2024-07-19,4.7,4.8458
2024-07-20,4.6962,5.021
2024-07-21,4.6962,5.021
2024-07-22,4.6929,4.8383
2024-07-23,4.6634,4.8085
2024-07-24,4.6699,4.8145
2024-07-25,4.6933,4.838
2024-07-26,4.6763,4.822
2024-07-27,4.6719,4.9965
2024-07-28,4.6719,4.9965
2024-07-29,4.6709,4.8143
2024-07-30,4.6787,4.8233
2024-07-31,4.6995,4.845
2024-08-01,4.6772,4.8222
2024-08-02,4.7286,4.8752
2024-08-03,4.7411,5.0649
2024-08-04,4.7411,5.0649
2024-08-05,4.7963,4.9452
2024-08-06,4.8069,4.9541
2024-08-07,4.7929,4.941
2024-08-08,4.7775,4.9242
2024-08-09,4.7813,4.9309
2024-08-10,4.7755,5.111
2024-08-11,4.7755,5.111
2024-08-12,4.7971,4.9462
2024-08-13,4.8129,4.9608
2024-08-14,4.8551,5.0053
2024-08-15,4.8307,4.9803
2024-08-16,4.8363,4.9859
2024-08-17,4.855,5.1843
2024-08-18,4.855,5.1843
2024-08-19,4.8908,5.0419
2024-08-20,4.9295,5.0818
