zaman,alis,satis
2024-04-16,39.7548,41.5156
2024-04-17,39.8312,41.6046
2024-04-18,39.7828,41.5529
2024-04-19,39.7644,41.54
2024-04-20,39.1862,41.9661
2024-04-21,39.1862,41.9661
2024-04-22,39.345,41.093
2024-04-23,39.5536,42.1914
2024-04-24,39.7629,41.5223
2024-04-25,39.931,41.7
2024-04-26,39.727,41.5054
2024-04-27,39.5268,42.3073
2024-04-28,39.5268,42.3073
2024-04-29,39.9029,41.6764
2024-04-30,39.8063,41.5712
2024-05-01,39.5971,42.248
2024-05-02,39.7256,41.4948
2024-05-03,39.7871,41.5551
2024-05-04,39.5401,42.2767
2024-05-05,39.5401,42.2767
2024-05-06,39.9063,41.7036
2024-05-07,39.831,41.5996
2024-05-08,39.6143,41.3727
2024-05-09,39.6509,41.4049
2024-05-10,39.5493,41.3162
2024-05-11,39.3667,42.1934
2024-05-12,39.3667,42.1934
2024-05-13,39.4154,41.1694
2024-05-14,39.6573,41.4308
2024-05-15,39.8018,41.572
2024-05-16,39.8395,41.6079
2024-05-17,39.8383,41.6323
2024-05-18,39.9239,42.6649
2024-05-19,39.9239,42.6649
2024-05-20,39.9898,41.7684
2024-05-21,40.0157,41.7915
2024-05-22,40.0497,41.8275
2024-05-23,40.0106,41.7922
2024-05-24,40.1388,41.9248
2024-05-25,40.0446,42.7613
2024-05-26,40.0446,42.7613
2024-05-27,40.1574,41.9487
2024-05-28,40.1756,41.9624
2024-05-29,40.0269,41.3056
2024-05-30,40.0862,41.3695
2024-05-31,40.1472,41.3998
2024-06-01,40.0288,42.7839
2024-06-02,40.0288,42.7839
2024-06-03,40.206,41.4645
2024-06-04,40.4979,41.775
2024-06-05,40.3764,41.6702
2024-06-06,40.2204,41.5004
2024-06-07,40.2171,41.4774
2024-06-08,40.0294,43.0008
2024-06-09,40.0294,43.0008
2024-06-10,40.0159,41.5093
2024-06-11,40.1984,41.4653
2024-06-12,40.5702,41.8401
2024-06-13,40.287,41.5471
2024-06-14,40.202,41.7393
2024-06-15,40.5574,43.3418
2024-06-16,40.5574,43.3418
2024-06-17,40.6642,43.3768
2024-06-18,40.4189,43.1316
2024-06-19,40.362,43.096
2024-06-20,40.699,41.9861
2024-06-21,40.4379,41.7103
2024-06-22,40.4759,43.3227
2024-06-23,40.4759,43.3227
2024-06-24,40.8136,42.0907
2024-06-25,40.8342,42.1082
2024-06-26,40.5984,41.8713
2024-06-27,40.6291,41.9087
2024-06-28,40.3363,41.6289
2024-06-29,40.1679,43.2683
2024-06-30,40.1679,43.2683
2024-07-01,40.436,41.6856
2024-07-02,40.3843,41.6323
2024-07-03,40.597,41.8477
2024-07-04,40.6802,41.924
2024-07-05,40.7392,42.0196
2024-07-06,40.7801,43.5682
2024-07-07,40.7801,43.5682
2024-07-08,41.1022,42.3705
2024-07-09,41.1322,42.4086
2024-07-10,41.2522,42.5275
2024-07-11,41.4497,42.719
2024-07-12,41.7761,43.081
2024-07-13,41.8335,44.7085
2024-07-14,41.8335,44.7085
2024-07-15,41.8469,44.6868
2024-07-16,41.871,43.1639
2024-07-17,42.0942,43.3946
2024-07-18,41.9333,43.2226
2024-07-19,41.6193,42.9105
2024-07-20,41.5771,44.4524
2024-07-21,41.5771,44.4524
2024-07-22,41.5588,42.8467
2024-07-23,41.4297,42.7193
2024-07-24,41.461,42.7445
2024-07-25,41.5855,42.868
2024-07-26,41.3261,42.6137
2024-07-27,41.3416,44.2143
