zaman,alis,satis
2024-04-16,0.20665,0.2158
2024-04-17,0.20666,0.21586
2024-04-18,0.20671,0.21591
2024-04-19,0.20676,0.216
2024-04-20,0.2048,0.21933
2024-04-21,0.2048,0.21933
2024-04-22,0.20629,0.21546
2024-04-23,0.2054,0.2191
2024-04-24,0.20619,0.21531
2024-04-25,0.20542,0.21452
2024-04-26,0.20262,0.21169
2024-04-27,0.19989,0.21395
2024-04-28,0.19989,0.21395
2024-04-29,0.20304,0.21206
2024-04-30,0.20216,0.21113
2024-05-01,0.20121,0.21468
2024-05-02,0.20605,0.21522
2024-05-03,0.20739,0.2166
2024-05-04,0.20608,0.22034
2024-05-05,0.20608,0.22034
2024-05-06,0.20622,0.21551
2024-05-07,0.20545,0.21457
2024-05-08,0.2039,0.21296
2024-05-09,0.2038,0.21282
2024-05-10,0.20283,0.21189
2024-05-11,0.20171,0.2162
2024-05-12,0.20171,0.2162
2024-05-13,0.20123,0.21018
2024-05-14,0.2016,0.21062
2024-05-15,0.20257,0.21158
2024-05-16,0.20261,0.21161
2024-05-17,0.20185,0.21094
2024-05-18,0.20187,0.21573
2024-05-19,0.20187,0.21573
2024-05-20,0.20158,0.21055
2024-05-21,0.20154,0.21048
2024-05-22,0.20099,0.20991
2024-05-23,0.20035,0.20927
2024-05-24,0.20078,0.20971
2024-05-25,0.20032,0.21391
2024-05-26,0.20032,0.21391
2024-05-27,0.20046,0.2094
2024-05-28,0.20036,0.20928
2024-05-29,0.19994,0.20633
2024-05-30,0.20103,0.20747
2024-05-31,0.20087,0.20714
2024-06-01,0.19971,0.21345
2024-06-02,0.19971,0.21345
2024-06-03,0.20148,0.20779
2024-06-04,0.20454,0.21099
2024-06-05,0.20227,0.20875
2024-06-06,0.20159,0.20801
2024-06-07,0.2013,0.20761
2024-06-08,0.20073,0.21563
2024-06-09,0.20073,0.21563
2024-06-10,0.20054,0.20802
2024-06-11,0.20098,0.20732
2024-06-12,0.20259,0.20893
2024-06-13,0.2008,0.20708
2024-06-14,0.20181,0.20952
2024-06-15,0.20309,0.21703
2024-06-16,0.20309,0.21703
2024-06-17,0.20315,0.2167
2024-06-18,0.20134,0.21485
2024-06-19,0.20086,0.21446
2024-06-20,0.20216,0.20856
2024-06-21,0.20071,0.20702
2024-06-22,0.20041,0.21451
2024-06-23,0.20041,0.21451
2024-06-24,0.20143,0.20773
2024-06-25,0.20169,0.20798
2024-06-26,0.19993,0.2062
2024-06-27,0.19984,0.20613
2024-06-28,0.19907,0.20545
2024-06-29,0.19741,0.21265
2024-06-30,0.19741,0.21265
2024-07-01,0.19774,0.20385
2024-07-02,0.19735,0.20345
2024-07-03,0.19722,0.2033
2024-07-04,0.19797,0.20402
2024-07-05,0.19776,0.20397
2024-07-06,0.1979,0.21143
2024-07-07,0.1979,0.21143
2024-07-08,0.19926,0.20541
2024-07-09,0.19934,0.20553
2024-07-10,0.19885,0.205
2024-07-11,0.2023,0.2085
2024-07-12,0.20381,0.21018
2024-07-13,0.20403,0.21805
2024-07-14,0.20403,0.21805
2024-07-15,0.20409,0.21794
2024-07-16,0.2038,0.2101
2024-07-17,0.2066,0.21299
2024-07-18,0.20626,0.2126
2024-07-19,0.20468,0.21103
2024-07-20,0.20447,0.21861
2024-07-21,0.20447,0.21861
2024-07-22,0.2051,0.21146
2024-07-23,0.20552,0.21191
2024-07-24,0.20921,0.21569
2024-07-25,0.21017,0.21665
2024-07-26,0.20947,0.21599
2024-07-27,0.20883,0.22334
2024-07-28,0.20883,0.22334
2024-07-29,0.20929,0.21572
2024-07-30,0.20918,0.21564
2024-07-31,0.21555,0.22222
2024-08-01,0.21547,0.22215
2024-08-02,0.22013,0.22695
2024-08-03,0.2213,0.23641
2024-08-04,0.2213,0.23641
2024-08-05,0.22767,0.23474
2024-08-06,0.22671,0.23365
2024-08-07,0.2231,0.22999
2024-08-08,0.22208,0.2289
2024-08-09,0.22304,0.23001
2024-08-10,0.2226,0.23824
2024-08-11,0.2226,0.23824
2024-08-12,0.22162,0.22851
2024-08-13,0.22281,0.22966
2024-08-14,0.22359,0.2305
2024-08-15,0.22052,0.22735
2024-08-16,0.22172,0.22858
2024-08-17,0.2226,0.2377
2024-08-18,0.2226,0.2377
2024-08-19,0.22532,0.23229
2024-08-20,0.2273,0.23433
2024-08-21,0.22695,0.23393
2024-08-22,0.2265,0.23388
2024-08-23,0.22813,0.23561
2024-08-24,0.22911,0.24523
2024-08-25,0.22911,0.24523
2024-08-26,0.23056,0.23806
2024-08-27,0.23032,0.23782
2024-08-28,0.23377,0.23863
2024-08-29,0.23142,0.23636
2024-08-30,0.2286,0.24384
2024-08-31,0.22751,0.24278
2024-09-01,0.22751,0.24278
2024-09-02,0.22924,0.23406
2024-09-03,0.23226,0.23715
2024-09-04,0.23477,0.23966
2024-09-05,0.23413,0.23904
2024-09-06,0.23747,0.24254
2024-09-07,0.23284,0.2488
2024-09-08,0.23284,0.2488
2024-09-09,0.23658,0.2415
2024-09-10,0.2368,0.24175
2024-09-11,0.23847,0.24351
2024-09-12,0.23606,0.24103
2024-09-13,0.23855,0.24362
2024-09-14,0.23509,0.25104
2024-09-15,0.23509,0.25104
2024-09-16,0.24013,0.2452
2024-09-17,0.23858,0.2436
2024-09-18,0.23849,0.2435
2024-09-19,0.23608,0.24099
2024-09-20,0.23424,0.23916
2024-09-21,0.23115,0.24678
2024-09-22,0.23115,0.24678
2024-09-23,0.23565,0.24058
2024-09-24,0.236,0.24094
2024-09-25,0.23485,0.23976
2024-09-26,0.23375,0.23867
2024-09-27,0.2366,0.24165
2024-09-28,0.23451,0.25041
2024-09-29,0.23451,0.25041
2024-09-30,0.23592,0.24227
2024-10-01,0.23643,0.2414
2024-10-02,0.23267,0.23755
2024-10-03,0.22941,0.23509
2024-10-04,0.22693,0.23254
2024-10-05,0.22411,0.23665
2024-10-06,0.22425,0.2366
2024-10-07,0.22813,0.23376
2024-10-08,0.22804,0.23367
2024-10-09,0.22658,0.23216
2024-10-10,0.22702,0.23255
2024-10-11,0.22695,0.23254
2024-10-12,0.22371,0.23627
2024-10-13,0.22371,0.23627
2024-10-14,0.22553,0.23088
2024-10-15,0.22665,0.23226
2024-10-16,0.22522,0.23076
2024-10-17,0.22424,0.2298
2024-10-18,0.22498,0.23065
2024-10-19,0.22252,0.23564
2024-10-20,0.22252,0.23564
2024-10-21,0.22496,0.23051
2024-10-22,0.22369,0.22917
2024-10-23,0.22098,0.22643
2024-10-24,0.22204,0.22754
2024-10-25,0.22284,0.22829
2024-10-26,0.21912,0.23143
2024-10-27,0.21912,0.23143
2024-10-28,0.21819,0.23026
2024-10-29,0.21779,0.22983
2024-10-30,0.22059,0.22606
2024-10-31,0.22131,0.22679
2024-11-01,0.22086,0.22644
2024-11-02,0.21837,0.23058
2024-11-03,0.21837,0.23058
2024-11-04,0.22296,0.22845
2024-11-05,0.22317,0.22865
2024-11-06,0.21864,0.22405
2024-11-07,0.22025,0.22571
2024-11-08,0.22118,0.22676
2024-11-09,0.21919,0.23139
2024-11-10,0.21919,0.23139
2024-11-11,0.22036,0.22578
2024-11-12,0.21964,0.22502
2024-11-13,0.21894,0.22432
2024-11-14,0.21783,0.22322
2024-11-15,0.2175,0.22294
2024-11-16,0.21708,0.22918
2024-11-17,0.21708,0.22918
2024-11-18,0.2199,0.22532
2024-11-19,0.22126,0.22679
2024-11-20,0.21843,0.22391
2024-11-21,0.22066,0.22619
2024-11-22,0.21978,0.22534
2024-11-23,0.21709,0.22924
2024-11-24,0.21709,0.22924
2024-11-25,0.22172,0.22716
2024-11-26,0.2226,0.22806
2024-11-27,0.22575,0.23131
2024-11-28,0.22518,0.23075
2024-11-29,0.22744,0.23309
2024-11-30,0.22577,0.23834
2024-12-01,0.22577,0.23834
2024-12-02,0.22834,0.23397
2024-12-03,0.23059,0.23626
2024-12-04,0.2271,0.23271
2024-12-05,0.22745,0.23311
2024-12-06,0.22867,0.23439
2024-12-07,0.22554,0.23825
2024-12-08,0.22554,0.23825
2024-12-09,0.22781,0.23342
2024-12-10,0.22657,0.23214
2024-12-11,0.22633,0.2319
2024-12-12,0.2259,0.23152
2024-12-13,0.2238,0.22934
2024-12-14,0.22133,0.23364
2024-12-15,0.22133,0.23364
2024-12-16,0.22372,0.22921
2024-12-17,0.22465,0.23014
2024-12-18,0.22457,0.23011
2024-12-19,0.22011,0.22554
2024-12-20,0.22122,0.22669
2024-12-21,0.21932,0.23165
2024-12-22,0.21932,0.23165
2024-12-23,0.22145,0.22684
2024-12-24,0.22094,0.22636
2024-12-25,0.21783,0.23077
2024-12-26,0.21973,0.22512
2024-12-27,0.22056,0.22598
2024-12-28,0.21658,0.22925
2024-12-29,0.21658,0.22925
2024-12-30,0.22136,0.22683
2024-12-31,0.22191,0.22741
2025-01-01,0.21956,0.23165
2025-01-02,0.22192,0.22743
2025-01-03,0.22134,0.22681
2025-01-04,0.21862,0.23128
2025-01-05,0.21862,0.23128
2025-01-06,0.22138,0.2268
2025-01-07,0.22121,0.22665
2025-01-08,0.22063,0.22601
2025-01-09,0.22074,0.22622
2025-01-10,0.22054,0.22603
2025-01-11,0.21829,0.23071
2025-01-12,0.21829,0.23071
2025-01-13,0.22265,0.22813
2025-01-14,0.22197,0.22741
2025-01-15,0.22389,0.22937
2025-01-16,0.22415,0.2297
2025-01-17,0.22385,0.22937
2025-01-18,0.22168,0.23399
2025-01-19,0.22168,0.23399
2025-01-20,0.22568,0.23119
2025-01-21,0.22602,0.23161
2025-01-22,0.22532,0.23083
2025-01-23,0.22473,0.23031
2025-01-24,0.22535,0.23086
2025-01-25,0.22271,0.23511
2025-01-26,0.22271,0.23511
2025-01-27,0.22855,0.23416
2025-01-28,0.22719,0.23276
2025-01-29,0.22716,0.23273
2025-01-30,0.22893,0.23458
2025-01-31,0.22793,0.23352
2025-02-01,0.22483,0.23743
2025-02-02,0.22483,0.23743
2025-02-03,0.22982,0.23542
2025-02-04,0.22866,0.23428
2025-02-05,0.23166,0.23736
2025-02-06,0.23304,0.23879
2025-02-07,0.2335,0.23928
2025-02-08,0.23116,0.24426
2025-02-09,0.23116,0.24426
2025-02-10,0.23446,0.24018
2025-02-11,0.23349,0.23922
2025-02-12,0.2309,0.23656
2025-02-13,0.23192,0.23763
2025-02-14,0.23389,0.23966
2025-02-15,0.23148,0.24432
2025-02-16,0.23148,0.24432
2025-02-17,0.23607,0.24186
2025-02-18,0.2358,0.24155
2025-02-19,0.23606,0.24181
2025-02-20,0.23882,0.2447
2025-02-21,0.23859,0.24448
2025-02-22,0.23793,0.25115
2025-02-23,0.23793,0.25115
2025-02-24,0.24025,0.24614
2025-02-25,0.24081,0.24668
2025-02-26,0.2408,0.2467
2025-02-27,0.24006,0.24598
2025-02-28,0.2387,0.24457
2025-03-01,0.23617,0.24928
2025-03-02,0.23617,0.24928
2025-03-03,0.23834,0.24416
2025-03-04,0.24239,0.24831
2025-03-05,0.2418,0.24772
2025-03-06,0.2436,0.24962
2025-03-07,0.24336,0.24939
2025-03-08,0.23981,0.25313
2025-03-09,0.23981,0.25313
2025-03-10,0.24577,0.25182
2025-03-11,0.24446,0.25046
2025-03-12,0.24303,0.24907
2025-03-13,0.24407,0.25006
2025-03-14,0.24275,0.24876
2025-03-15,0.24013,0.25346
2025-03-16,0.24013,0.25346
2025-03-17,0.24305,0.24905
2025-03-18,0.24175,0.24766
2025-03-19,0.24901,0.25692
2025-03-20,0.25031,0.25893
2025-03-21,0.251,0.25972
2025-03-22,0.24196,0.26387
2025-03-23,0.24196,0.26387
2025-03-24,0.24927,0.25724
2025-03-25,0.25003,0.25894
2025-03-26,0.24922,0.25734
2025-03-27,0.24838,0.2565
2025-03-28,0.24887,0.25752
2025-03-29,0.24668,0.263
2025-03-30,0.24668,0.263
2025-03-31,0.24631,0.26204
2025-04-01,0.24735,0.26315
2025-04-02,0.24996,0.25729
2025-04-03,0.25688,0.26533
2025-04-04,0.25735,0.26583
2025-04-05,0.25129,0.26782
2025-04-06,0.25129,0.26782
2025-04-07,0.25475,0.26323
2025-04-08,0.25418,0.26248
2025-04-09,0.25897,0.26745
2025-04-10,0.2583,0.26675
2025-04-11,0.2624,0.27099
2025-04-12,0.25782,0.27451
2025-04-13,0.25782,0.27451
2025-04-14,0.26178,0.27036
2025-04-15,0.2632,0.27179
2025-04-16,0.26379,0.27025
2025-04-17,0.2643,0.2709
2025-04-18,0.26382,0.27052
2025-04-19,0.26007,0.27613
2025-04-20,0.26007,0.27613
2025-04-21,0.26801,0.27452
2025-04-22,0.26787,0.27447
2025-04-23,0.26126,0.27575
2025-04-24,0.26533,0.27193
2025-04-25,0.26284,0.26938
2025-04-26,0.26018,0.27464
2025-04-27,0.26015,0.27492
2025-04-28,0.26576,0.27233
2025-04-29,0.26695,0.27357
2025-04-30,0.26514,0.27169
2025-05-01,0.25763,0.27192
2025-05-02,0.2633,0.2699
2025-05-03,0.25893,0.27326
2025-05-04,0.25893,0.27326
2025-05-05,0.26464,0.27115
2025-05-06,0.26692,0.27348
2025-05-07,0.26594,0.27244
2025-05-08,0.26305,0.26953
2025-05-09,0.26309,0.26962
2025-05-10,0.25955,0.27392
2025-05-11,0.25955,0.27392
2025-05-12,0.25806,0.26441
2025-05-13,0.25843,0.26479
2025-05-14,0.2613,0.26772
2025-05-15,0.26152,0.26797
2025-05-16,0.2616,0.26814
2025-05-17,0.25899,0.27371
2025-05-18,0.25899,0.27371
2025-05-19,0.26068,0.27511
2025-05-20,0.26476,0.27127
2025-05-21,0.26638,0.27292
2025-05-22,0.267,0.27356
2025-05-23,0.2685,0.2752
2025-05-24,0.26502,0.2815
2025-05-25,0.26502,0.2815
2025-05-26,0.26888,0.27548
2025-05-27,0.26653,0.27312
2025-05-28,0.26656,0.27311
2025-05-29,0.2671,0.27367
2025-05-30,0.26799,0.27467
2025-05-31,0.2652,0.28004
2025-06-01,0.2652,0.28004
2025-06-02,0.27088,0.27755
2025-06-03,0.26861,0.27526
2025-06-04,0.26948,0.27611
2025-06-05,0.26714,0.28196
2025-06-06,0.26363,0.27827
2025-06-07,0.26346,0.27829
2025-06-08,0.26346,0.27829
2025-06-09,0.26395,0.27857
2025-06-10,0.26736,0.27389
2025-06-11,0.26675,0.27332
2025-06-12,0.27052,0.27712
2025-06-13,0.2693,0.27594
2025-06-14,0.26557,0.28121
2025-06-15,0.26557,0.28121
2025-06-16,0.26995,0.27655
2025-06-17,0.26772,0.27431
2025-06-18,0.26879,0.27538
2025-06-19,0.26801,0.2746
2025-06-20,0.26885,0.2754
2025-06-21,0.2644,0.27907
2025-06-22,0.2644,0.27907
2025-06-23,0.26713,0.27369
2025-06-24,0.27012,0.27673
