zaman,alis,satis
2024-04-16,103.6153,108.2473
2024-04-17,103.6396,108.2966
2024-04-18,103.5466,108.1965
2024-04-19,103.5986,108.2672
2024-04-20,102.6686,109.952
2024-04-21,102.6686,109.952
2024-04-22,103.4707,108.1102
2024-04-23,103.1488,110.0279
2024-04-24,103.7455,108.3786
2024-04-25,103.7595,108.3989
2024-04-26,103.2948,107.9612
2024-04-27,102.658,109.8794
2024-04-28,102.658,109.8794
2024-04-29,103.2884,107.9218
2024-04-30,103.2372,107.857
2024-05-01,102.9063,109.7956
2024-05-02,103.3337,107.9782
2024-05-03,103.1745,107.8017
2024-05-04,102.5416,109.6388
2024-05-05,102.5416,109.6388
2024-05-06,103.0876,107.773
2024-05-07,103.1225,107.7439
2024-05-08,103.1116,107.7312
2024-05-09,102.9837,107.5819
2024-05-10,102.6871,107.3169
2024-05-11,102.1471,109.4818
2024-05-12,102.1471,109.4818
2024-05-13,102.0299,106.5703
2024-05-14,102.5419,107.1275
2024-05-15,102.4276,106.9832
2024-05-16,102.3718,106.9159
2024-05-17,102.1428,106.7427
2024-05-18,102.2818,109.3041
2024-05-19,102.2818,109.3041
2024-05-20,102.5275,107.0876
2024-05-21,102.5052,107.0543
2024-05-22,102.4877,107.037
2024-05-23,102.4992,107.0633
2024-05-24,102.6408,107.2078
2024-05-25,102.3678,109.3126
2024-05-26,102.3678,109.3126
2024-05-27,102.4255,106.9944
2024-05-28,102.5306,107.0908
2024-05-29,102.5005,106.5835
2024-05-30,102.6965,106.7942
2024-05-31,102.6726,106.6855
2024-06-01,102.4125,109.4613
2024-06-02,102.4125,109.4613
2024-06-03,102.6176,106.6387
2024-06-04,103.4382,107.5158
2024-06-05,103.0699,107.1859
2024-06-06,102.7201,106.7992
2024-06-07,102.9507,106.9887
2024-06-08,102.5911,110.2067
2024-06-09,102.5911,110.2067
2024-06-10,102.5807,107.2225
2024-06-11,102.9732,107.0306
2024-06-12,103.0839,107.1232
2024-06-13,102.9627,106.9949
2024-06-14,103.5055,107.6012
2024-06-15,104.2475,111.4045
2024-06-16,104.2475,111.4045
2024-06-17,104.5457,111.5195
2024-06-18,103.6533,110.6102
2024-06-19,103.4449,110.4518
2024-06-20,104.6116,108.7447
2024-06-21,104.2673,108.3701
2024-06-22,104.2661,111.5996
2024-06-23,104.2661,111.5996
2024-06-24,104.8151,108.9214
2024-06-25,104.9839,109.0868
2024-06-26,104.6148,108.7195
2024-06-27,104.6463,108.7672
2024-06-28,104.1968,108.3579
2024-06-29,103.5894,111.5851
2024-06-30,103.5894,111.5851
2024-07-01,104.1573,108.1968
2024-07-02,103.9347,107.9657
2024-07-03,103.7157,107.7281
2024-07-04,104.1021,108.1051
2024-07-05,103.9842,108.0722
2024-07-06,103.9179,111.0227
2024-07-07,103.9179,111.0227
2024-07-08,104.6031,108.6552
2024-07-09,105.0215,109.1083
2024-07-10,104.9915,109.0648
2024-07-11,104.9471,108.9879
2024-07-12,105.2182,109.3341
2024-07-13,105.3788,112.621
2024-07-14,105.3788,112.621
2024-07-15,105.4634,112.6204
2024-07-16,105.7584,109.8572
2024-07-17,105.844,109.9481
2024-07-18,105.7136,109.7968
2024-07-19,105.3141,109.4114
2024-07-20,105.2643,112.5439
2024-07-21,105.2643,112.5439
2024-07-22,105.2362,109.3266
2024-07-23,104.9092,109.0017
2024-07-24,104.9659,109.0426
2024-07-25,105.5325,109.6186
2024-07-26,105.1108,109.2143
2024-07-27,104.9771,112.2717
2024-07-28,104.9771,112.2717
2024-07-29,105.4651,109.534
2024-07-30,105.6925,109.7927
2024-07-31,105.9641,110.0802
2024-08-01,105.7565,109.8679
2024-08-02,105.9468,110.0655
2024-08-03,106.2863,113.545
2024-08-04,106.2863,113.545
2024-08-05,106.8619,111.0201
2024-08-06,107.4148,111.5483
2024-08-07,106.9594,111.1069
2024-08-08,106.8108,110.9321
2024-08-09,106.6671,110.8448
2024-08-10,106.6096,114.1003
2024-08-11,106.6096,114.1003
2024-08-12,106.9165,111.0815
2024-08-13,107.0464,111.1806
2024-08-14,107.179,111.3383
2024-08-15,107.2618,111.4295
2024-08-16,107.2911,111.4566
2024-08-17,107.4184,114.7046
2024-08-18,107.4184,114.7046
2024-08-19,107.904,112.0895
2024-08-20,108.3371,112.538
2024-08-21,108.4032,112.5902
2024-08-22,108.3744,112.5683
2024-08-23,108.4351,112.659
2024-08-24,108.2727,115.8898
2024-08-25,108.2727,115.8898
2024-08-26,108.8108,113.0148
2024-08-27,108.9176,113.1318
2024-08-28,109.6068,113.1642
2024-08-29,109.0574,112.6569
2024-08-30,108.8378,116.0933
2024-08-31,108.7575,116.0571
2024-09-01,108.7575,116.0571
