zaman,alis,satis
2024-04-16,8.5161,8.8968
2024-04-17,8.5181,8.9008
2024-04-18,8.513,8.8952
2024-04-19,8.517,8.9008
2024-04-20,8.4433,9.0423
2024-04-21,8.4433,9.0423
2024-04-22,8.5074,8.8888
2024-04-23,8.4729,9.038
2024-04-24,8.5221,8.9027
2024-04-25,8.518,8.8989
2024-04-26,8.4853,8.8687
2024-04-27,8.4358,9.0292
2024-04-28,8.4358,9.0292
2024-04-29,8.4848,8.8654
2024-04-30,8.4751,8.8544
2024-05-01,8.4564,9.0225
2024-05-02,8.4803,8.8614
2024-05-03,8.4535,8.8326
2024-05-04,8.4016,8.9831
2024-05-05,8.4016,8.9831
2024-05-06,8.4518,8.836
2024-05-07,8.4549,8.8338
2024-05-08,8.454,8.8328
2024-05-09,8.4463,8.8234
2024-05-10,8.422,8.8017
2024-05-11,8.3777,8.9792
2024-05-12,8.3777,8.9792
2024-05-13,8.3653,8.7376
2024-05-14,8.4075,8.7835
2024-05-15,8.3954,8.7688
2024-05-16,8.3881,8.7605
2024-05-17,8.3694,8.7463
2024-05-18,8.3808,8.9562
2024-05-19,8.3808,8.9562
2024-05-20,8.39,8.7631
2024-05-21,8.3881,8.7604
2024-05-22,8.3865,8.7587
2024-05-23,8.3899,8.7635
2024-05-24,8.4042,8.7782
2024-05-25,8.3819,8.9505
2024-05-26,8.3819,8.9505
2024-05-27,8.3814,8.7553
2024-05-28,8.3845,8.7574
2024-05-29,8.39,8.7242
2024-05-30,8.3976,8.7327
2024-05-31,8.4012,8.7295
2024-06-01,8.3744,8.9508
2024-06-02,8.3744,8.9508
2024-06-03,8.3885,8.7172
2024-06-04,8.4502,8.7834
2024-06-05,8.4231,8.7595
2024-06-06,8.3945,8.7279
2024-06-07,8.4189,8.7491
2024-06-08,8.3895,9.0122
2024-06-09,8.3895,9.0122
2024-06-10,8.3893,8.7689
2024-06-11,8.4264,8.7585
2024-06-12,8.4181,8.748
2024-06-13,8.411,8.7404
2024-06-14,8.4611,8.7959
2024-06-15,8.5215,9.1065
2024-06-16,8.5215,9.1065
2024-06-17,8.5482,9.1184
2024-06-18,8.4757,9.0446
2024-06-19,8.454,9.0267
2024-06-20,8.5524,8.8903
2024-06-21,8.5296,8.8652
2024-06-22,8.5295,9.1294
2024-06-23,8.5295,9.1294
2024-06-24,8.5691,8.9048
2024-06-25,8.5819,8.9173
2024-06-26,8.558,8.8938
2024-06-27,8.5546,8.8914
2024-06-28,8.5183,8.8585
2024-06-29,8.4686,9.1223
2024-06-30,8.4686,9.1223
2024-07-01,8.5148,8.845
2024-07-02,8.4941,8.8235
2024-07-03,8.4711,8.7988
2024-07-04,8.4973,8.8241
2024-07-05,8.4879,8.8216
2024-07-06,8.4825,9.0625
2024-07-07,8.4825,9.0625
2024-07-08,8.5331,8.8637
2024-07-09,8.5707,8.9042
2024-07-10,8.5685,8.9009
2024-07-11,8.5509,8.8801
2024-07-12,8.5758,8.9113
2024-07-13,8.5889,9.1791
2024-07-14,8.5889,9.1791
2024-07-15,8.593,9.1761
2024-07-16,8.6198,8.9539
2024-07-17,8.6209,8.9552
2024-07-18,8.6131,8.9458
2024-07-19,8.5888,8.9229
2024-07-20,8.5847,9.1784
2024-07-21,8.5847,9.1784
2024-07-22,8.5796,8.9131
2024-07-23,8.5523,8.8859
2024-07-24,8.5536,8.8858
2024-07-25,8.6024,8.9355
2024-07-26,8.5678,8.9023
2024-07-27,8.5597,9.1545
2024-07-28,8.5597,9.1545
2024-07-29,8.5997,8.9315
2024-07-30,8.6152,8.9494
2024-07-31,8.6282,8.9633
2024-08-01,8.6129,8.9478
2024-08-02,8.6174,8.9524
