zaman,alis,satis
2024-04-16,2.9185,3.0478
2024-04-17,2.9095,3.039
2024-04-18,2.9204,3.0504
2024-04-19,2.9296,3.0604
2024-04-20,2.8993,3.105
2024-04-21,2.8993,3.105
2024-04-22,2.9277,3.0578
2024-04-23,2.9309,3.1264
2024-04-24,2.9356,3.0655
2024-04-25,2.9275,3.0571
2024-04-26,2.9062,3.0363
2024-04-27,2.8894,3.0927
2024-04-28,2.8894,3.0927
2024-04-29,2.9114,3.0408
2024-04-30,2.899,3.0275
2024-05-01,2.8861,3.0794
2024-05-02,2.9132,3.0429
2024-05-03,2.9319,3.0621
2024-05-04,2.9135,3.1152
2024-05-05,2.9135,3.1152
2024-05-06,2.9399,3.0723
2024-05-07,2.9312,3.0613
2024-05-08,2.9106,3.0398
2024-05-09,2.9211,3.0503
2024-05-10,2.9131,3.0432
2024-05-11,2.898,3.1061
2024-05-12,2.898,3.1061
2024-05-13,2.8979,3.0268
2024-05-14,2.9114,3.0416
2024-05-15,2.9338,3.0643
2024-05-16,2.9388,3.0693
2024-05-17,2.9295,3.0614
2024-05-18,2.9342,3.1356
2024-05-19,2.9342,3.1356
2024-05-20,2.9437,3.0747
2024-05-21,2.945,3.0757
2024-05-22,2.9317,3.0618
2024-05-23,2.9344,3.065
2024-05-24,2.9568,3.0884
2024-05-25,2.9479,3.1479
2024-05-26,2.9479,3.1479
2024-05-27,2.961,3.0931
2024-05-28,2.9795,3.112
2024-05-29,2.9575,3.0519
2024-05-30,2.967,3.062
2024-05-31,2.9906,3.0839
2024-06-01,2.9834,3.1887
2024-06-02,2.9834,3.1887
2024-06-03,3.0202,3.1147
2024-06-04,3.0302,3.1257
2024-06-05,3.0377,3.135
2024-06-06,3.0193,3.1154
2024-06-07,3.0012,3.0953
2024-06-08,2.9856,3.2073
2024-06-09,2.9856,3.2073
2024-06-10,2.9895,3.1011
2024-06-11,3.0086,3.1034
2024-06-12,3.0678,3.1638
2024-06-13,3.0162,3.1106
2024-06-14,3.0008,3.1156
2024-06-15,3.041,3.2498
2024-06-16,3.041,3.2498
2024-06-17,3.0446,3.2477
2024-06-18,3.044,3.2483
2024-06-19,3.0412,3.2472
2024-06-20,3.0748,3.172
2024-06-21,3.0409,3.1366
2024-06-22,3.045,3.2592
2024-06-23,3.045,3.2592
2024-06-24,3.074,3.1702
