zaman,alis,satis
2024-04-16,31.9572,33.3726
2024-04-17,31.9647,33.3878
2024-04-18,31.9464,33.3678
2024-04-19,31.9624,33.3896
2024-04-20,31.6733,33.9202
2024-04-21,31.6733,33.9202
2024-04-22,31.9229,33.3412
2024-04-23,31.7801,33.8996
2024-04-24,31.9766,33.3914
2024-04-25,31.9602,33.376
2024-04-26,31.8377,33.2628
2024-04-27,31.6392,33.8648
2024-04-28,31.6392,33.8648
2024-04-29,31.8357,33.2507
2024-04-30,31.7993,33.2092
2024-05-01,31.7157,33.839
2024-05-02,31.8187,33.2357
2024-05-03,31.718,33.1275
2024-05-04,31.511,33.692
2024-05-05,31.511,33.692
2024-05-06,31.7119,33.1402
2024-05-07,31.7227,33.1313
2024-05-08,31.7193,33.1273
2024-05-09,31.6903,33.0922
2024-05-10,31.599,33.0107
2024-05-11,31.4205,33.6766
2024-05-12,31.4205,33.6766
2024-05-13,31.3742,32.7704
2024-05-14,31.5316,32.9417
2024-05-15,31.4862,32.8866
2024-05-16,31.4588,32.8553
2024-05-17,31.3885,32.802
2024-05-18,31.4312,33.5892
2024-05-19,31.4312,33.5892
2024-05-20,31.4657,32.8652
2024-05-21,31.4588,32.855
2024-05-22,31.4535,32.8496
2024-05-23,31.4673,32.8684
2024-05-24,31.521,32.9235
2024-05-25,31.4372,33.5699
2024-05-26,31.4372,33.5699
2024-05-27,31.4344,32.8366
2024-05-28,31.4461,32.8447
2024-05-29,31.4677,32.4729
2024-05-30,31.497,32.5053
2024-05-31,31.5102,32.4934
2024-06-01,31.4099,33.5718
2024-06-02,31.4099,33.5718
2024-06-03,31.4626,32.4474
2024-06-04,31.6935,32.6929
2024-06-05,31.5909,32.6033
2024-06-06,31.4837,32.4856
2024-06-07,31.575,32.5645
2024-06-08,31.4647,33.8004
2024-06-09,31.4647,33.8004
2024-06-10,31.4615,32.6357
2024-06-11,31.6025,32.5985
2024-06-12,31.5746,32.5629
2024-06-13,31.5581,32.5451
2024-06-14,31.7451,32.959
2024-06-15,31.9727,34.1678
2024-06-16,31.9727,34.1678
2024-06-17,32.0746,34.2142
2024-06-18,31.8008,33.9352
2024-06-19,31.7162,33.8645
2024-06-20,32.0844,33.099
2024-06-21,31.9996,33.0065
2024-06-22,31.9993,34.2499
2024-06-23,31.9993,34.2499
2024-06-24,32.1468,33.1528
2024-06-25,32.1986,33.2031
2024-06-26,32.1063,33.1129
2024-06-27,32.095,33.1058
2024-06-28,31.9572,32.9813
2024-06-29,31.7709,34.2231
2024-06-30,31.7709,34.2231
2024-07-01,31.945,32.9322
2024-07-02,31.8664,32.8512
2024-07-03,31.7785,32.7575
2024-07-04,31.8761,32.8507
2024-07-05,31.84,32.8407
2024-07-06,31.8197,33.9952
2024-07-07,31.8197,33.9952
2024-07-08,32.0085,32.9963
2024-07-09,32.1471,33.1447
2024-07-10,32.1379,33.1315
2024-07-11,32.0718,33.054
2024-07-12,32.1652,33.1699
2024-07-13,32.2143,34.4282
2024-07-14,32.2143,34.4282
2024-07-15,32.2296,34.4168
2024-07-16,32.3304,33.3286
2024-07-17,32.3353,33.3343
