zaman,alis,satis
2024-04-16,2413.73,2540.03
2024-04-17,2438.77,2563.81
2024-04-18,2417.6,2541.56
2024-04-19,2435.91,2560.8
2024-04-20,2418.04,2595.98
2024-04-21,2418.04,2595.98
2024-04-22,2383.54,2505.75
2024-04-23,2355.8,2529.16
2024-04-24,2369.99,2491.57
2024-04-25,2378.97,2501.08
2024-04-26,2365.48,2486.89
2024-04-27,2358.2,2531.88
2024-04-28,2358.2,2531.88
2024-04-29,2366.33,2487.86
2024-04-30,2323.79,2443.14
2024-05-01,2321.34,2492.36
2024-05-02,2327.56,2442.2
2024-05-03,2312.69,2426.48
2024-05-04,2313.19,2483.49
2024-05-05,2313.19,2483.49
2024-05-06,2350.92,2466.65
2024-05-07,2340.84,2456.14
2024-05-08,2337.88,2448.2
2024-05-09,2349.44,2460.3
2024-05-10,2375.13,2487.26
2024-05-11,2363.25,2537.49
2024-05-12,2363.25,2537.49
2024-05-13,2336.08,2446.37
2024-05-14,2359.39,2470.78
2024-05-15,2371.97,2483.96
2024-05-16,2376.31,2488.51
2024-05-17,2403.81,2517.3
2024-05-18,2412.99,2590.9
2024-05-19,2412.99,2590.9
2024-05-20,2420.58,2534.87
2024-05-21,2428.06,2542.7
2024-05-22,2388.84,2501.63
2024-05-23,2337.64,2457.95
2024-05-24,2335.99,2456.15
2024-05-25,2327.33,2498.99
2024-05-26,2327.33,2498.99
2024-05-27,2337.78,2458.29
2024-05-28,2337.83,2458.35
2024-05-29,2322.53,2442.06
2024-05-30,2325.44,2445.18
2024-05-31,2312.02,2431.07
2024-06-01,2315.5,2486.43
2024-06-02,2315.5,2486.43
2024-06-03,2316.97,2436.28
2024-06-04,2313.02,2432.06
2024-06-05,2335.08,2455.25
2024-06-06,2340.67,2461.14
2024-06-07,2318.71,2427.99
2024-06-08,2302.52,2472.1
2024-06-09,2302.52,2472.1
2024-06-10,2303.35,2411.98
2024-06-11,2314.73,2423.89
2024-06-12,2329.87,2429.88
2024-06-13,2316.71,2416.15
2024-06-14,2356.88,2458.04
2024-06-15,2377.5,2552.53
2024-06-16,2377.5,2552.53
2024-06-17,2376.69,2551.66
2024-06-18,2352.45,2525.64
2024-06-19,2352.05,2525.2
2024-06-20,2405.31,2508.56
2024-06-21,2377.46,2479.51
2024-06-22,2371.1,2545.65
2024-06-23,2371.1,2545.65
2024-06-24,2391.18,2486.22
2024-06-25,2386.87,2481.74
2024-06-26,2351.04,2444.48
2024-06-27,2384.4,2479.11
2024-06-28,2372.18,2466.4
2024-06-29,2372.53,2546.99
2024-06-30,2372.53,2546.99
2024-07-01,2367.23,2461.25
2024-07-02,2365.97,2459.95
2024-07-03,2397.27,2492.48
2024-07-04,2401.59,2496.98
2024-07-05,2420.01,2516.13
2024-07-06,2431.82,2610.64
2024-07-07,2431.82,2610.64
2024-07-08,2429.17,2525.59
2024-07-09,2431.02,2522.39
2024-07-10,2442.6,2539.48
2024-07-11,2469.81,2567.78
2024-07-12,2479.1,2577.43
2024-07-13,2490.37,2673.36
2024-07-14,2490.37,2673.36
2024-07-15,2502.63,2686.53
2024-07-16,2530.49,2625.68
2024-07-17,2554.73,2650.82
2024-07-18,2544.82,2640.54
2024-07-19,2466.46,2564.49
2024-07-20,2469.02,2650.65
2024-07-21,2469.02,2650.65
2024-07-22,2456.41,2548.81
2024-07-23,2473.43,2566.34
2024-07-24,2493.19,2586.9
2024-07-25,2444.05,2535.85
2024-07-26,2461.2,2553.57
2024-07-27,2462.61,2643.42
2024-07-28,2462.61,2643.42
2024-07-29,2463.99,2556.6
2024-07-30,2478.46,2571.55
2024-07-31,2514.86,2609.32
2024-08-01,2536.47,2631.81
2024-08-02,2526.76,2621.73
2024-08-03,2533.07,2719.27
2024-08-04,2533.07,2719.27
2024-08-05,2501.93,2596.04
2024-08-06,2509.47,2603.86
2024-08-07,2515.46,2610.07
2024-08-08,2530.5,2625.69
2024-08-09,2545.43,2641.1
2024-08-10,2544.2,2731.14
2024-08-11,2544.2,2731.14
2024-08-12,2569.55,2666.13
2024-08-13,2590.17,2687.52
2024-08-14,2576.03,2672.85
2024-08-15,2580.84,2677.84
2024-08-16,2612.76,2710.97
2024-08-17,2637.74,2831.64
2024-08-18,2637.74,2831.64
2024-08-19,2639.76,2739.05
2024-08-20,2673.78,2774.35
2024-08-21,2653.57,2745.13
2024-08-22,2633.58,2724.45
2024-08-23,2672.28,2764.49
2024-08-24,2679.57,2847.91
2024-08-25,2679.57,2847.91
2024-08-26,2681.67,2790.79
2024-08-27,2686.8,2779.5
2024-08-28,2705.49,2798.83
2024-08-29,2709.44,2802.93
2024-08-30,2689.8,2858.78
2024-08-31,2680.93,2849.35
2024-09-01,2680.93,2849.35
2024-09-02,2690.36,2783.19
2024-09-03,2670.74,2762.98
2024-09-04,2690.44,2783.4
2024-09-05,2699.65,2792.95
2024-09-06,2699.01,2792.36
2024-09-07,2648.64,2826.54
2024-09-08,2648.64,2826.54
2024-09-09,2680.79,2773.51
2024-09-10,2686.99,2779.98
2024-09-11,2681.96,2774.83
2024-09-12,2725.28,2819.59
2024-09-13,2749.85,2845.02
2024-09-14,2733.45,2917.11
2024-09-15,2733.45,2917.11
2024-09-16,2769.11,2864.83
2024-09-17,2770.49,2866.2
2024-09-18,2761.54,2857.1
2024-09-19,2772.23,2868.17
2024-09-20,2803.83,2900.86
2024-09-21,2788.43,2975.78
2024-09-22,2788.43,2975.78
2024-09-23,2827.76,2925.68
2024-09-24,2836.07,2934.28
2024-09-25,2859.66,2958.68
2024-09-26,2869.33,2968.69
2024-09-27,2854.66,2953.51
2024-09-28,2825.69,3015.6
2024-09-29,2825.69,3015.6
2024-09-30,2824.1,2921.89
2024-10-01,2867.0,2966.27
2024-10-02,2859.01,2958.01
2024-10-03,2836.04,2934.25
2024-10-04,2838.03,2936.3
2024-10-05,2805.2,2993.74
2024-10-06,2818.34,2998.65
2024-10-07,2844.25,2942.71
2024-10-08,2822.77,2920.49
2024-10-09,2801.37,2898.35
2024-10-10,2820.26,2917.89
2024-10-11,2858.59,2957.55
2024-10-12,2819.42,3008.82
2024-10-13,2819.42,3008.82
2024-10-14,2848.32,2964.36
2024-10-15,2855.94,2948.98
2024-10-16,2870.1,2963.6
2024-10-17,2883.79,2977.73
