zaman,kur,alis,satis
1713278514,SAR,8.5161,8.8968
1713364895,SAR,8.5181,8.9008
1713451469,SAR,8.513,8.8952
1713537588,SAR,8.517,8.9008
1713624221,SAR,8.4433,9.0423
1713710413,SAR,8.4433,9.0423
1713796943,SAR,8.5074,8.8888
1713882568,SAR,8.4729,9.038
1713969844,SAR,8.5221,8.9027
1714056181,SAR,8.518,8.8989
1714142674,SAR,8.4853,8.8687
1714228982,SAR,8.4358,9.0292
1714315199,SAR,8.4358,9.0292
1714401800,SAR,8.4848,8.8654
1714488044,SAR,8.4751,8.8544
1714574550,SAR,8.4564,9.0225
1714660622,SAR,8.4803,8.8614
1714747338,SAR,8.4535,8.8326
1714833776,SAR,8.4016,8.9831
1714920061,SAR,8.4016,8.9831
1715006479,SAR,8.4518,8.836
1715092791,SAR,8.4549,8.8338
1715179420,SAR,8.454,8.8328
1715265886,SAR,8.4463,8.8234
1715352064,SAR,8.422,8.8017
1715438669,SAR,8.3777,8.9792
1715525007,SAR,8.3777,8.9792
1715611174,SAR,8.3653,8.7376
1715697893,SAR,8.4075,8.7835
1715784191,SAR,8.3954,8.7688
1715870545,SAR,8.3881,8.7605
1715957067,SAR,8.3694,8.7463
1716043265,SAR,8.3808,8.9562
1716129783,SAR,8.3808,8.9562
1716216213,SAR,8.39,8.7631
1716302573,SAR,8.3881,8.7604
1716388935,SAR,8.3865,8.7587
1716475453,SAR,8.3899,8.7635
1716561872,SAR,8.4042,8.7782
1716648102,SAR,8.3819,8.9505
1716734647,SAR,8.3819,8.9505
1716821055,SAR,8.3814,8.7553
1716907180,SAR,8.3845,8.7574
1716993769,SAR,8.39,8.7242
1717079974,SAR,8.3976,8.7327
1717166685,SAR,8.4012,8.7295
1717252950,SAR,8.3744,8.9508
1717339491,SAR,8.3744,8.9508
1717425616,SAR,8.3885,8.7172
1717512202,SAR,8.4502,8.7834
1717598496,SAR,8.4231,8.7595
1717684864,SAR,8.3945,8.7279
1717771499,SAR,8.4189,8.7491
1717857774,SAR,8.3895,9.0122
1717944082,SAR,8.3895,9.0122
1718030546,SAR,8.3893,8.7689
1718117031,SAR,8.4264,8.7585
1718203204,SAR,8.4181,8.748
1718289870,SAR,8.411,8.7404
1718376274,SAR,8.4611,8.7959
1718462640,SAR,8.5215,9.1065
1718548868,SAR,8.5215,9.1065
1718635260,SAR,8.5482,9.1184
1718721825,SAR,8.4757,9.0446
1718808262,SAR,8.454,9.0267
1718894566,SAR,8.5524,8.8903
1718980793,SAR,8.5296,8.8652
1719067333,SAR,8.5295,9.1294
1719153886,SAR,8.5295,9.1294
1719240300,SAR,8.5691,8.9048
1719326439,SAR,8.5819,8.9173
1719413057,SAR,8.558,8.8938
1719499392,SAR,8.5546,8.8914
1719585604,SAR,8.5183,8.8585
1719671976,SAR,8.4686,9.1223
1719758573,SAR,8.4686,9.1223
1719844802,SAR,8.5148,8.845
1719931322,SAR,8.4941,8.8235
1720017665,SAR,8.4711,8.7988
1720104230,SAR,8.4973,8.8241
1720190455,SAR,8.4879,8.8216
1720276877,SAR,8.4825,9.0625
1720363264,SAR,8.4825,9.0625
1720449885,SAR,8.5331,8.8637
1720536263,SAR,8.5707,8.9042
1720622621,SAR,8.5685,8.9009
1720708784,SAR,8.5509,8.8801
1720795221,SAR,8.5758,8.9113
1720881671,SAR,8.5889,9.1791
1720968274,SAR,8.5889,9.1791
1721054664,SAR,8.593,9.1761
1721140745,SAR,8.6198,8.9539
1721227346,SAR,8.6209,8.9552
1721313697,SAR,8.6131,8.9458
1721400109,SAR,8.5888,8.9229
1721486555,SAR,8.5847,9.1784
1721573005,SAR,8.5847,9.1784
1721659192,SAR,8.5796,8.9131
1721745673,SAR,8.5523,8.8859
1721832214,SAR,8.5536,8.8858
1721918466,SAR,8.6024,8.9355
1722005063,SAR,8.5678,8.9023
1722091407,SAR,8.5597,9.1545
1722177801,SAR,8.5597,9.1545
1722264140,SAR,8.5997,8.9315
1722350508,SAR,8.6152,8.9494
1722436912,SAR,8.6282,8.9633
1722523306,SAR,8.6129,8.9478
1722609546,SAR,8.6174,8.9524
1722696069,SAR,8.641,9.2311
1722782503,SAR,8.641,9.2311
1722868932,SAR,8.6943,9.0326
1722955326,SAR,8.7455,9.082
1723041582,SAR,8.7179,9.0559
1723128187,SAR,8.7178,9.0542
1723214399,SAR,8.7018,9.0427
1723300934,SAR,8.6971,9.3082
1723387305,SAR,8.6971,9.3082
1723473563,SAR,8.7274,9.0674
1723560201,SAR,8.7307,9.0679
1723646578,SAR,8.7386,9.0777
1723732805,SAR,8.7522,9.0923
1723819333,SAR,8.7515,9.0913
1723905600,SAR,8.7562,9.3501
1723992076,SAR,8.7562,9.3501
1724078404,SAR,8.7881,9.1289
1724164941,SAR,8.8236,9.1657
1724251313,SAR,8.8318,9.173
1724337600,SAR,8.8324,9.1742
1724424271,SAR,8.8316,9.1756
1724510578,SAR,8.8126,9.4325
1724596832,SAR,8.8126,9.4325
1724683412,SAR,8.8593,9.2015
1724769682,SAR,8.8619,9.2048
1724856202,SAR,8.9202,9.2097
1724942434,SAR,8.8786,9.1717
