zaman,alis,satis
2024-05-02,8.746,9.0286
2024-05-03,8.7207,9.0024
2024-05-04,8.2986,9.029
2024-05-05,8.2985,9.0293
2024-05-06,8.7151,9.0015
2024-05-07,8.5729,9.0037
2024-05-08,8.5711,9.0014
2024-05-09,8.5599,8.99
2024-05-10,8.5387,8.9678
2024-05-11,8.1503,9.0057
2024-05-12,8.1502,9.0061
2024-05-13,8.6184,8.9082
2024-05-14,8.6299,8.92
2024-05-15,8.6266,8.917
2024-05-16,8.6168,8.9069
2024-05-17,8.6065,8.8962
2024-05-18,8.2398,8.9048
2024-05-19,8.2397,8.9048
2024-05-20,8.6592,8.9054
2024-05-21,8.6586,8.9045
2024-05-22,8.6549,8.9007
2024-05-23,8.6612,8.9084
2024-05-24,8.6371,8.883
2024-05-25,8.2366,8.907
2024-05-26,8.2362,8.9073
2024-05-27,8.607,8.8988
2024-05-28,8.6109,8.9009
2024-05-29,8.623,8.913
2024-05-30,8.6297,8.92
2024-05-31,8.5982,8.8877
2024-06-01,8.2536,8.9255
2024-06-02,8.2536,8.9255
2024-06-03,8.6159,8.9058
2024-06-04,8.6765,8.9682
2024-06-05,8.6528,8.9479
2024-06-06,8.6248,8.9155
2024-06-07,8.6133,8.9033
2024-06-08,8.2514,8.982
2024-06-09,8.2513,8.982
2024-06-10,8.6708,8.9638
2024-06-11,8.6601,8.9514
2024-06-12,8.6424,8.933
2024-06-13,8.6419,8.9337
2024-06-14,8.6956,8.9886
2024-06-15,8.3525,9.0493
2024-06-16,8.3525,9.0493
2024-06-17,8.3868,9.0582
2024-06-18,8.3137,8.9816
2024-06-19,8.3058,8.9741
2024-06-20,8.7794,9.075
2024-06-21,8.7611,9.0562
2024-06-22,8.3999,9.0991
2024-06-23,8.4003,9.0988
2024-06-24,8.8049,9.1013
2024-06-25,8.8141,9.1104
2024-06-26,8.811,9.1218
