zaman,alis,satis
2024-05-02,20.9638,21.6411
2024-05-03,21.2415,21.9283
2024-05-04,20.1456,21.9194
2024-05-05,20.1457,21.9195
2024-05-06,21.2287,21.9272
2024-05-07,20.8342,21.5399
2024-05-08,20.675,21.3743
2024-05-09,20.7593,21.4622
2024-05-10,20.7614,21.4645
2024-05-11,19.7645,21.8395
2024-05-12,19.7643,21.8393
2024-05-13,20.9577,21.6621
2024-05-14,20.9979,21.7041
2024-05-15,21.0061,21.7134
2024-05-16,21.0771,21.7877
2024-05-17,21.0968,21.8074
2024-05-18,20.2555,21.8938
2024-05-19,20.2555,21.8938
2024-05-20,21.2376,21.8415
2024-05-21,21.225,21.8282
2024-05-22,21.1527,21.7536
2024-05-23,21.0873,21.6892
2024-05-24,20.9882,21.5861
2024-05-25,20.0461,21.6923
2024-05-26,20.0449,21.691
2024-05-27,21.048,21.7618
2024-05-28,21.0828,21.7924
2024-05-29,20.9945,21.7007
2024-05-30,21.0412,21.7498
2024-05-31,21.0542,21.7633
2024-06-01,20.1654,21.8125
2024-06-02,20.1669,21.8112
2024-06-03,21.09,21.7997
2024-06-04,21.1631,21.8743
2024-06-05,21.1307,21.8516
2024-06-06,21.0686,21.7789
2024-06-07,20.858,21.5615
2024-06-08,19.9391,21.7141
2024-06-09,19.9422,21.7213
2024-06-10,21.0041,21.7136
2024-06-11,20.9718,21.677
2024-06-12,21.2304,21.9443
2024-06-13,21.0962,21.8085
2024-06-14,21.0654,21.7755
2024-06-15,20.2873,21.9983
2024-06-16,20.2879,21.999
2024-06-17,20.3277,21.9549
2024-06-18,20.2946,21.9189
2024-06-19,20.3551,21.9878
2024-06-20,21.5015,22.2252
2024-06-21,21.3758,22.0962
2024-06-22,20.484,22.2045
2024-06-23,20.484,22.2048
2024-06-24,21.5327,22.2578
2024-06-25,21.4971,22.2194
2024-06-26,21.5115,22.2679
