zaman,alis,satis
2024-05-02,85.1787,87.9528
2024-05-03,84.9328,87.6994
2024-05-04,80.8285,87.9482
2024-05-05,80.8306,87.9448
2024-05-06,84.8801,87.6968
2024-05-07,83.4975,87.7213
2024-05-08,83.4829,87.7003
2024-05-09,83.3725,87.5785
2024-05-10,83.167,87.3696
2024-05-11,79.3905,87.7312
2024-05-12,79.3907,87.7314
2024-05-13,83.9515,86.7889
2024-05-14,84.0532,86.9098
2024-05-15,84.0384,86.8816
2024-05-16,83.9447,86.7797
2024-05-17,83.8503,86.6799
2024-05-18,80.2797,86.7636
2024-05-19,80.2806,86.7654
2024-05-20,84.363,86.7671
2024-05-21,84.3572,86.7584
2024-05-22,84.3197,86.7205
2024-05-23,84.3153,86.8621
2024-05-24,84.1474,86.5612
2024-05-25,80.2511,86.7894
2024-05-26,80.2519,86.7885
2024-05-27,83.8569,86.7085
2024-05-28,83.8889,86.7206
2024-05-29,84.0079,86.8426
2024-05-30,84.0663,86.9047
2024-05-31,83.7585,86.5882
2024-06-01,80.4073,86.955
2024-06-02,80.4099,86.9578
2024-06-03,83.93,86.7726
2024-06-04,84.535,87.3863
2024-06-05,84.3062,87.1936
2024-06-06,84.0408,86.8833
2024-06-07,83.9165,86.7633
2024-06-08,80.3988,87.5307
2024-06-09,80.3997,87.5316
2024-06-10,84.4789,87.3542
2024-06-11,84.3744,87.2267
2024-06-12,84.2073,87.048
2024-06-13,84.2115,87.065
2024-06-14,84.7272,87.5965
2024-06-15,81.3839,88.1856
2024-06-16,81.3813,88.1856
2024-06-17,81.7104,88.2836
2024-06-18,81.0109,87.5283
2024-06-19,80.9336,87.456
2024-06-20,85.5378,88.4376
2024-06-21,85.3577,88.255
2024-06-22,81.8496,88.6654
2024-06-23,81.8496,88.6654
2024-06-24,85.7841,88.6852
2024-06-25,85.8744,88.775
2024-06-26,54.4728,120.4047
