zaman,alis,satis
2024-05-02,23.4187,24.1755
2024-05-03,23.4826,24.2413
2024-05-04,22.2692,24.2333
2024-05-05,22.2687,24.2327
2024-05-06,23.4406,24.2116
2024-05-07,23.0056,23.785
2024-05-08,22.9138,23.6884
2024-05-09,22.9534,23.7302
2024-05-10,22.9957,23.7736
2024-05-11,21.8951,24.191
2024-05-12,21.8944,24.1902
2024-05-13,23.1674,23.9464
2024-05-14,23.2424,24.0239
2024-05-15,23.2044,23.9857
2024-05-16,23.2051,23.9862
2024-05-17,23.2013,23.9825
2024-05-18,22.2323,24.0339
2024-05-19,22.2339,24.0357
2024-05-20,23.364,24.0282
2024-05-21,23.2783,23.9393
2024-05-22,23.2617,23.9223
2024-05-23,23.2497,23.9135
2024-05-24,23.1656,23.8252
2024-05-25,22.1412,23.9424
2024-05-26,22.1421,23.9433
2024-05-27,23.186,23.9721
2024-05-28,23.2012,23.9819
2024-05-29,23.1371,23.9154
2024-05-30,23.1678,23.9475
2024-05-31,23.1601,23.9401
2024-06-01,22.2421,24.0589
2024-06-02,22.2421,24.0589
2024-06-03,23.2162,23.9974
2024-06-04,23.2903,24.073
2024-06-05,23.1875,23.9787
2024-06-06,23.147,23.927
2024-06-07,23.0404,23.8162
2024-06-08,22.017,23.9725
2024-06-09,22.0169,23.9724
2024-06-10,23.1204,23.9018
2024-06-11,23.0732,23.8494
2024-06-12,23.1827,23.9621
2024-06-13,23.0979,23.8772
2024-06-14,23.1829,23.9638
2024-06-15,22.3353,24.2059
2024-06-16,22.3358,24.2065
2024-06-17,22.4088,24.2022
2024-06-18,22.2661,24.0484
2024-06-19,22.2645,24.0496
2024-06-20,23.5485,24.3407
2024-06-21,23.4749,24.2662
2024-06-22,22.5288,24.4083
2024-06-23,22.527,24.4063
2024-06-24,23.6699,24.4662
2024-06-25,23.7047,24.5013
2024-06-26,23.6922,24.5249
