zaman,alis,satis
2024-05-02,35.1961,36.3339
2024-05-03,35.4072,36.551
2024-05-04,33.6712,36.6478
2024-05-05,33.6713,36.6479
2024-05-06,35.3819,36.546
2024-05-07,34.724,35.9007
2024-05-08,34.6553,35.8269
2024-05-09,34.6629,35.8362
2024-05-10,34.6102,35.7822
2024-05-11,33.0215,36.5002
2024-05-12,33.0216,36.5003
2024-05-13,34.9516,36.1269
2024-05-14,34.9883,36.1648
2024-05-15,34.9668,36.1443
2024-05-16,34.95,36.126
2024-05-17,34.7924,35.9631
2024-05-18,33.2863,35.9903
2024-05-19,33.2867,35.9907
2024-05-20,35.0017,35.9971
2024-05-21,34.9324,35.9247
2024-05-22,34.8007,35.7895
2024-05-23,34.7904,35.7839
2024-05-24,34.6745,35.6618
2024-05-25,33.0776,35.784
2024-05-26,33.0766,35.7828
2024-05-27,34.5989,35.7723
2024-05-28,34.7463,35.9165
2024-05-29,34.7257,35.8939
2024-05-30,35.0206,36.1995
2024-05-31,35.01,36.1888
2024-06-01,33.5778,36.3274
2024-06-02,33.5801,36.3299
2024-06-03,35.1356,36.3186
2024-06-04,35.75,36.9522
2024-06-05,35.6286,36.8438
2024-06-06,35.5283,36.7259
2024-06-07,35.2866,36.4748
2024-06-08,33.7973,36.8063
2024-06-09,33.795,36.8038
2024-06-10,35.5147,36.715
2024-06-11,35.4305,36.6227
2024-06-12,35.6103,36.8076
2024-06-13,35.4362,36.6328
2024-06-14,35.8188,37.0266
2024-06-15,34.4546,37.3476
2024-06-16,34.4519,37.3447
2024-06-17,34.5049,37.2675
2024-06-18,34.5863,37.3557
2024-06-19,34.5213,37.2897
2024-06-20,36.1323,37.3482
2024-06-21,36.0014,37.2152
2024-06-22,34.4921,37.3769
2024-06-23,34.4995,37.3849
2024-06-24,36.2137,37.4323
2024-06-25,36.1991,37.4169
2024-06-26,36.1573,37.4288
