zaman,alis,satis
2024-05-02,4.4414,4.5849
2024-05-03,4.4583,4.6023
2024-05-04,4.2383,4.611
2024-05-05,4.2384,4.6112
2024-05-06,4.441,4.587
2024-05-07,4.3595,4.5787
2024-05-08,4.3538,4.5724
2024-05-09,4.3504,4.569
2024-05-10,4.3378,4.5557
2024-05-11,4.1378,4.5727
2024-05-12,4.1379,4.5728
2024-05-13,4.3733,4.5203
2024-05-14,4.3799,4.5272
2024-05-15,4.383,4.5306
2024-05-16,4.3797,4.5271
2024-05-17,4.3706,4.5177
2024-05-18,4.1843,4.5227
2024-05-19,4.1843,4.5228
2024-05-20,4.3918,4.5166
2024-05-21,4.3898,4.5144
2024-05-22,4.3837,4.5083
2024-05-23,4.3843,4.5095
2024-05-24,4.3695,4.4938
2024-05-25,4.166,4.5049
2024-05-26,4.1662,4.5059
2024-05-27,4.3562,4.5038
2024-05-28,4.3541,4.5007
2024-05-29,4.3543,4.5006
2024-05-30,4.368,4.5149
2024-05-31,4.3504,4.4968
2024-06-01,4.1737,4.5143
2024-06-02,4.1737,4.5145
2024-06-03,4.3598,4.5065
2024-06-04,4.3961,4.5439
2024-06-05,4.382,4.5314
2024-06-06,4.3638,4.5108
2024-06-07,4.355,4.5017
2024-06-08,4.1726,4.5428
2024-06-09,4.1726,4.543
2024-06-10,4.3827,4.5308
2024-06-11,4.3739,4.521
2024-06-12,4.3751,4.5221
2024-06-13,4.3687,4.5161
2024-06-14,4.3913,4.5392
2024-06-15,4.1296,4.8304
2024-06-16,4.1296,4.8306
2024-06-17,4.1463,4.8335
2024-06-18,4.1109,4.7922
2024-06-19,4.1024,4.783
2024-06-20,4.4248,4.5737
2024-06-21,4.4137,4.5625
2024-06-22,4.2319,4.585
2024-06-23,4.2319,4.5851
2024-06-24,4.4439,4.5935
2024-06-25,4.4411,4.5904
2024-06-26,2.8174,6.2272
