zaman,alis,satis
2024-05-02,4.436,4.5799
2024-05-03,4.4212,4.5645
2024-05-04,4.2075,4.5775
2024-05-05,4.2075,4.5775
2024-05-06,4.4425,4.5904
2024-05-07,4.362,4.5825
2024-05-08,4.3554,4.5742
2024-05-09,4.352,4.5712
2024-05-10,4.3404,4.5589
2024-05-11,4.1427,4.5775
2024-05-12,4.1425,4.5773
2024-05-13,4.376,4.5237
2024-05-14,4.3817,4.5296
2024-05-15,4.3862,4.5347
2024-05-16,4.3818,4.5311
2024-05-17,4.3751,4.523
2024-05-18,4.1889,4.5279
2024-05-19,4.1889,4.5279
2024-05-20,4.3964,4.5219
2024-05-21,4.3952,4.5205
2024-05-22,4.3903,4.5151
2024-05-23,4.3929,4.5193
2024-05-24,4.3797,4.5061
2024-05-25,4.1767,4.5169
2024-05-26,4.1765,4.5167
2024-05-27,4.3641,4.5122
2024-05-28,4.3652,4.5123
2024-05-29,4.3689,4.5158
2024-05-30,4.3792,4.5266
2024-05-31,4.3619,4.5089
2024-06-01,4.1861,4.527
2024-06-02,4.1862,4.5269
2024-06-03,4.3675,4.5144
2024-06-04,4.4016,4.5504
2024-06-05,4.3854,4.535
2024-06-06,4.3723,4.5207
2024-06-07,4.3657,4.5128
2024-06-08,4.1818,4.5518
2024-06-09,4.1818,4.5518
2024-06-10,4.3941,4.5428
2024-06-11,4.3848,4.5323
2024-06-12,4.3824,4.531
2024-06-13,4.3777,4.5255
2024-06-14,4.402,4.5503
2024-06-15,4.2284,4.5809
2024-06-16,4.2283,4.5809
2024-06-17,4.2454,4.5852
2024-06-18,4.209,4.546
2024-06-19,4.2044,4.5415
2024-06-20,4.4415,4.591
2024-06-21,4.4319,4.5813
2024-06-22,4.2496,4.6025
2024-06-23,4.2495,4.6025
2024-06-24,4.4556,4.6059
2024-06-25,4.4574,4.6073
2024-06-26,4.3204,4.7491
