zaman,alis,satis
2024-05-02,4.6033,4.7522
2024-05-03,4.6291,4.7788
2024-05-04,4.398,4.7855
2024-05-05,4.3979,4.7854
2024-05-06,4.6289,4.7813
2024-05-07,4.5515,4.7059
2024-05-08,4.5374,4.6908
2024-05-09,4.5371,4.6908
2024-05-10,4.535,4.6885
2024-05-11,4.3221,4.7761
2024-05-12,4.322,4.776
2024-05-13,4.5839,4.7382
2024-05-14,4.5946,4.7492
2024-05-15,4.5999,4.7548
2024-05-16,4.6058,4.7608
2024-05-17,4.5992,4.7542
2024-05-18,4.4086,4.7655
2024-05-19,4.4085,4.7654
2024-05-20,4.6317,4.7634
2024-05-21,4.6251,4.7566
2024-05-22,4.6169,4.7482
2024-05-23,4.6194,4.7513
2024-05-24,4.6113,4.7426
2024-05-25,4.3975,4.7561
2024-05-26,4.3972,4.7558
2024-05-27,4.5995,4.7555
2024-05-28,4.6069,4.7622
2024-05-29,4.6023,4.7572
2024-05-30,4.6022,4.7573
2024-05-31,4.6023,4.7574
2024-06-01,4.4086,4.7684
2024-06-02,4.4088,4.7686
2024-06-03,4.604,4.7591
2024-06-04,4.6444,4.8007
2024-06-05,4.6375,4.7959
2024-06-06,4.6228,4.7788
2024-06-07,4.5879,4.7425
2024-06-08,4.3876,4.7769
2024-06-09,4.3878,4.7771
2024-06-10,4.5859,4.7409
2024-06-11,4.5731,4.727
2024-06-12,4.6103,4.7654
2024-06-13,4.5909,4.7459
2024-06-14,4.5675,4.7215
2024-06-15,4.4006,4.7688
2024-06-16,4.4006,4.7688
2024-06-17,4.4244,4.7786
2024-06-18,4.4008,4.7531
2024-06-19,4.395,4.7475
2024-06-20,4.6374,4.7936
2024-06-21,4.6088,4.7642
2024-06-22,4.4225,4.7911
2024-06-23,4.4226,4.7911
2024-06-24,4.6571,4.8139
2024-06-25,4.645,4.8012
2024-06-26,4.6471,4.8106
