zaman,alis,satis
2024-05-02,34.3339,35.443
2024-05-03,34.5259,35.6408
2024-05-04,32.7949,35.691
2024-05-05,32.793,35.6888
2024-05-06,34.5276,35.6623
2024-05-07,33.9523,35.1029
2024-05-08,33.8437,34.9871
2024-05-09,33.8446,34.9897
2024-05-10,33.8345,34.979
2024-05-11,32.241,35.6327
2024-05-12,32.241,35.6327
2024-05-13,34.1991,35.3483
2024-05-14,34.2803,35.4325
2024-05-15,34.2453,35.4
2024-05-16,34.2044,35.36
2024-05-17,34.3162,35.4708
2024-05-18,32.896,35.5651
2024-05-19,32.8973,35.5664
2024-05-20,34.5582,35.5401
2024-05-21,34.5122,35.4917
2024-05-22,34.4514,35.4295
2024-05-23,34.4694,35.4525
2024-05-24,34.4058,35.3849
2024-05-25,32.8157,35.491
2024-05-26,32.8148,35.49
2024-05-27,34.3212,35.4845
2024-05-28,34.375,35.5319
2024-05-29,34.3284,35.4837
2024-05-30,34.3271,35.4821
2024-05-31,34.3255,35.4821
2024-06-01,32.8768,35.5657
2024-06-02,32.8756,35.5643
2024-06-03,34.3404,35.4957
2024-06-04,34.6427,35.8071
2024-06-05,34.5916,35.7713
2024-06-06,34.4895,35.6529
2024-06-07,34.2301,35.3822
2024-06-08,32.7308,35.6414
2024-06-09,32.7308,35.6414
2024-06-10,34.2069,35.3635
2024-06-11,34.108,35.2548
2024-06-12,34.3885,35.5455
2024-06-13,34.2472,35.4036
2024-06-14,34.0744,35.2225
2024-06-15,32.8353,35.589
2024-06-16,32.8378,35.5917
2024-06-17,33.007,35.6488
2024-06-18,32.8274,35.4546
2024-06-19,32.7814,35.4095
2024-06-20,34.587,35.7507
2024-06-21,34.3713,35.5302
2024-06-22,32.9906,35.7466
2024-06-23,32.9913,35.7473
2024-06-24,34.7393,35.9082
2024-06-25,34.6483,35.8127
2024-06-26,34.664,35.882
2025-01-15,35.9663,37.25425
2025-01-16,35.70868,36.98723
2025-01-17,35.74065,37.03052
2025-01-18,34.04423,37.12291
2025-01-19,34.0439,37.12255
2025-01-20,36.2359,37.5341
2025-01-21,36.23573,37.53444
2025-01-22,36.45737,37.76307
2025-01-23,36.37729,37.67997
2025-01-24,36.54556,37.86151
2025-01-25,35.10759,38.04117
2025-01-26,35.10659,38.04008
2025-01-27,36.85106,38.17118
2025-01-28,36.54629,37.85682
2025-01-29,36.43439,37.73924
2025-01-30,36.58085,37.88936
2025-01-31,36.41193,37.72067
2025-02-01,34.62342,37.73681
2025-02-02,34.62409,37.73535
2025-02-03,36.20349,37.50017
2025-02-04,36.42491,37.72877
2025-02-05,36.65625,37.96766
2025-02-06,36.44901,37.75484
2025-02-07,36.44674,37.75197
2025-02-08,34.79589,37.82605
2025-02-09,34.7969,37.82715
2025-02-10,36.43353,37.7373
2025-02-11,36.65231,37.6835
2025-02-12,36.74547,37.77831
2025-02-13,36.96634,38.00502
2025-02-14,37.30782,38.35716
2025-02-15,35.64804,38.63986
2025-02-16,35.65109,38.64318
2025-02-17,37.38074,38.43185
2025-02-18,37.3244,38.37227
2025-02-19,37.31226,38.3584
2025-02-20,37.37036,38.42086
2025-02-21,37.48749,38.54248
2025-02-22,35.72771,38.73863
2025-02-23,35.72839,38.73937
2025-02-24,37.55568,38.6117
2025-02-25,37.72605,38.78573
2025-02-26,37.64838,38.70475
2025-02-27,37.49039,38.54329
2025-02-28,37.37738,38.4284
2025-03-01,35.29879,38.59341
2025-03-02,35.29879,38.59341
2025-03-03,37.60111,38.6562
2025-03-04,37.8441,38.90808
2025-03-05,38.47838,39.55979
2025-03-06,38.89839,39.85348
2025-03-07,38.96208,39.9171
2025-03-08,36.92484,40.18406
2025-03-09,36.92348,40.18258
2025-03-10,39.08915,40.04396
2025-03-11,39.43962,40.39261
2025-03-12,39.29586,40.24875
2025-03-13,39.21809,40.17282
2025-03-14,39.32285,40.28039
2025-03-15,37.37021,40.38186
2025-03-16,37.37167,40.38333
2025-03-17,39.44063,40.393
2025-03-18,39.45384,40.40628
2025-03-19,40.60395,42.09895
2025-03-20,40.68138,41.7528
2025-03-21,40.59916,41.67943
2025-03-22,38.37294,43.05721
2025-03-23,38.3733,43.05284
2025-03-24,40.56938,41.64837
2025-03-25,40.54509,41.58683
2025-03-26,40.43764,41.4698
2025-03-27,40.56191,41.6326
2025-03-28,40.17749,41.25655
2025-03-29,38.32202,41.82353
2025-03-30,38.32343,41.82044
2025-03-31,38.3531,41.63966
2025-04-01,38.28342,41.56087
2025-04-02,40.46384,41.53836
2025-04-03,41.4686,42.56786
2025-04-04,41.09247,42.19022
2025-04-05,38.86026,42.34692
2025-04-06,38.85352,42.33958
2025-04-07,40.91685,42.00328
2025-04-08,40.81934,41.90766
2025-04-09,41.1878,42.28111
2025-04-10,41.52377,42.62761
2025-04-11,42.35234,43.47931
2025-04-12,40.19778,43.73803
2025-04-13,40.20132,43.73495
2025-04-14,42.50206,43.62756
2025-04-15,42.49034,43.61365
2025-04-16,42.70102,43.83174
2025-04-17,42.6582,43.78813
2025-04-18,42.70874,43.86158
2025-04-19,40.70968,44.38521
2025-04-20,40.71147,44.38716
