zaman,alis,satis
2024-05-02,40.1418,41.4391
2024-05-03,40.2863,41.5878
2024-05-04,38.2388,41.6128
2024-05-05,38.239,41.613
2024-05-06,40.2846,41.6095
2024-05-07,39.5398,40.8792
2024-05-08,39.2732,40.6006
2024-05-09,39.2973,40.6265
2024-05-10,39.3108,40.6411
2024-05-11,37.4907,41.4339
2024-05-12,37.4923,41.4357
2024-05-13,39.7717,41.1081
2024-05-14,39.8692,41.2092
2024-05-15,39.9739,41.319
2024-05-16,40.0318,41.3786
2024-05-17,40.0621,41.4099
2024-05-18,38.4335,41.5485
2024-05-19,38.4317,41.5465
2024-05-20,40.4069,41.556
2024-05-21,40.4362,41.5841
2024-05-22,40.5013,41.652
2024-05-23,40.4509,41.6049
2024-05-24,40.3557,41.5043
2024-05-25,38.5391,41.6757
2024-05-26,38.5421,41.6783
2024-05-27,40.367,41.7358
2024-05-28,40.439,41.7999
2024-05-29,40.3418,41.6982
2024-05-30,40.3572,41.7156
2024-05-31,40.2966,41.6534
2024-06-01,38.6249,41.7764
2024-06-02,38.6249,41.7764
2024-06-03,40.3232,41.6803
2024-06-04,40.7027,42.0713
2024-06-05,40.6444,42.0311
2024-06-06,40.4968,41.8619
2024-06-07,40.2445,41.5994
2024-06-08,38.5462,41.971
2024-06-09,38.545,41.9697
2024-06-10,40.4798,41.8471
2024-06-11,40.4377,41.7976
2024-06-12,40.7396,42.109
2024-06-13,40.538,41.9052
2024-06-14,40.433,41.7952
2024-06-15,38.9133,42.1736
2024-06-16,38.9121,42.1716
2024-06-17,39.0409,42.1661
2024-06-18,38.8291,41.9365
2024-06-19,38.8161,41.9286
2024-06-20,40.8834,42.2595
2024-06-21,40.6403,42.0099
2024-06-22,39.016,42.2722
2024-06-23,39.0178,42.2742
2024-06-24,41.0354,42.4166
2024-06-25,41.0659,42.4469
2024-06-26,41.0516,42.4956
