zaman,alis,satis
2024-05-02,0.2081,0.2148
2024-05-03,0.21,0.2168
2024-05-04,0.1992,0.2168
2024-05-05,0.1992,0.2167
2024-05-06,0.2082,0.215
2024-05-07,0.2039,0.2108
2024-05-08,0.2023,0.2091
2024-05-09,0.2021,0.2089
2024-05-10,0.2015,0.2084
2024-05-11,0.1922,0.2123
2024-05-12,0.1922,0.2123
2024-05-13,0.2031,0.2099
2024-05-14,0.2027,0.2095
2024-05-15,0.2034,0.2102
2024-05-16,0.2036,0.2104
2024-05-17,0.203,0.2098
2024-05-18,0.1944,0.2101
2024-05-19,0.1944,0.2101
2024-05-20,0.2038,0.2096
2024-05-21,0.2039,0.2097
2024-05-22,0.2032,0.209
2024-05-23,0.2025,0.2083
2024-05-24,0.202,0.2077
2024-05-25,0.1927,0.2084
2024-05-26,0.1927,0.2084
2024-05-27,0.2016,0.2085
2024-05-28,0.2018,0.2086
2024-05-29,0.2013,0.2081
2024-05-30,0.2023,0.2091
2024-05-31,0.2016,0.2083
2024-06-01,0.1927,0.2084
2024-06-02,0.1927,0.2084
2024-06-03,0.202,0.2088
2024-06-04,0.2058,0.2127
2024-06-05,0.2041,0.211
2024-06-06,0.2029,0.2098
2024-06-07,0.2016,0.2083
2024-06-08,0.1933,0.2105
2024-06-09,0.1933,0.2105
2024-06-10,0.203,0.2099
2024-06-11,0.2024,0.2092
2024-06-12,0.2036,0.2104
2024-06-13,0.2019,0.2087
2024-06-14,0.2032,0.21
2024-06-15,0.1949,0.2112
2024-06-16,0.1949,0.2112
2024-06-17,0.1951,0.2107
2024-06-18,0.1936,0.2091
2024-06-19,0.1933,0.2088
2024-06-20,0.2032,0.21
2024-06-21,0.2022,0.209
2024-06-22,0.1931,0.2091
2024-06-23,0.1931,0.2091
2024-06-24,0.2029,0.2097
2024-06-25,0.2028,0.2097
2024-06-26,0.2027,0.2099
