zaman,alis,satis
2024-05-02,104.3172,107.7841
2024-05-03,104.2056,107.6736
2024-05-04,99.0902,107.9941
2024-05-05,99.0952,107.9994
2024-05-06,104.1043,107.6122
2024-05-07,102.4058,105.9748
2024-05-08,102.328,105.8874
2024-05-09,102.1795,105.7377
2024-05-10,101.954,105.5011
2024-05-11,97.2738,107.6089
2024-05-12,97.2741,107.6091
2024-05-13,102.8804,106.4369
2024-05-14,103.0405,106.5859
2024-05-15,103.1071,106.6589
2024-05-16,103.0464,106.6027
2024-05-17,102.8681,106.4147
2024-05-18,98.4092,106.5527
2024-05-19,98.4085,106.552
2024-05-20,103.5949,106.6416
2024-05-21,103.5945,106.61
2024-05-22,103.5383,106.5739
2024-05-23,103.6052,106.6426
2024-05-24,103.2965,106.3207
2024-05-25,98.4929,106.5973
2024-05-26,98.4942,106.5987
2024-05-27,103.0109,106.5692
2024-05-28,103.0121,106.6482
2024-05-29,103.1514,106.7223
2024-05-30,103.2616,106.8384
2024-05-31,102.8366,106.3904
2024-06-01,98.7637,107.0012
2024-06-02,98.7753,107.0137
2024-06-03,103.1709,106.7163
2024-06-04,104.0066,107.6761
2024-06-05,103.7094,107.3915
2024-06-06,103.3444,106.9721
2024-06-07,103.1042,106.7059
2024-06-08,98.7865,107.6057
2024-06-09,98.8116,107.5839
2024-06-10,103.7885,107.3976
2024-06-11,103.6669,107.2599
2024-06-12,103.625,107.2746
2024-06-13,103.5651,107.2252
2024-06-14,103.9971,107.6533
2024-06-15,99.9771,108.3815
2024-06-16,99.9927,108.3632
2024-06-17,100.3049,108.4863
2024-06-18,99.4792,107.6009
2024-06-19,99.4717,107.5506
2024-06-20,105.086,108.726
2024-06-21,104.8238,108.5016
2024-06-22,100.4895,109.0463
2024-06-23,100.5288,108.9113
2024-06-24,105.4024,109.0711
2024-06-25,105.5305,109.203
2024-06-26,102.2563,112.5826
