zaman,alis,satis
2024-05-02,6.7529,6.9783
2024-05-03,6.7547,6.9786
2024-05-04,6.4282,6.9985
2024-05-05,6.4282,6.9985
2024-05-06,6.7517,6.9795
2024-05-07,6.643,6.9827
2024-05-08,6.6348,6.9751
2024-05-09,6.6288,6.9684
2024-05-10,6.6153,6.9534
2024-05-11,6.3149,6.9822
2024-05-12,6.3149,6.9822
2024-05-13,6.6826,6.9217
2024-05-14,6.7127,6.9456
2024-05-15,6.7288,6.9611
2024-05-16,6.7555,6.9887
2024-05-17,6.7404,6.9745
2024-05-18,6.4533,6.9811
2024-05-19,6.4533,6.9811
2024-05-20,6.7865,6.9847
2024-05-21,6.7739,6.9735
2024-05-22,6.7709,6.9705
2024-05-23,6.7587,6.9588
2024-05-24,6.7313,6.9271
2024-05-25,6.4196,6.9454
2024-05-26,6.4196,6.9454
2024-05-27,6.727,6.9604
2024-05-28,6.7358,6.9676
2024-05-29,6.7317,6.9624
2024-05-30,6.7355,6.9679
2024-05-31,6.7051,6.9396
2024-06-01,6.4368,6.9689
2024-06-02,6.4368,6.9689
2024-06-03,6.719,6.9538
2024-06-04,6.775,7.0086
2024-06-05,6.7621,6.9985
2024-06-06,6.746,6.9792
2024-06-07,6.7398,6.9755
2024-06-08,6.457,7.0369
2024-06-09,6.457,7.0369
2024-06-10,6.7433,6.9769
2024-06-11,6.7364,6.9702
2024-06-12,6.7255,6.9589
2024-06-13,6.7394,6.9741
2024-06-14,6.764,6.9992
2024-06-15,6.3597,7.4444
2024-06-16,6.3597,7.4444
2024-06-17,6.3858,7.4519
2024-06-18,6.339,7.3958
2024-06-19,6.3437,7.4007
2024-06-20,6.8423,7.0799
2024-06-21,6.8236,7.0623
2024-06-22,6.5429,7.0952
2024-06-23,6.5429,7.0952
2024-06-24,6.8605,7.0988
2024-06-25,6.8794,7.115
2024-06-26,4.3638,9.65
