zaman,alis,satis
2024-05-02,2.8996,2.9937
2024-05-03,2.9576,3.0536
2024-05-04,2.7994,3.05
2024-05-05,2.7993,3.0498
2024-05-06,2.9616,3.0592
2024-05-07,2.8961,2.9945
2024-05-08,2.8829,2.9804
2024-05-09,2.8898,2.9879
2024-05-10,2.901,2.9994
2024-05-11,2.7571,3.0538
2024-05-12,2.7573,3.054
2024-05-13,2.9267,3.0251
2024-05-14,2.929,3.0277
2024-05-15,2.9371,3.0361
2024-05-16,2.9499,3.0493
2024-05-17,2.9519,3.0516
2024-05-18,2.8288,3.0633
2024-05-19,2.8303,3.0654
2024-05-20,2.9796,3.0646
2024-05-21,2.9828,3.0677
2024-05-22,2.9786,3.0635
2024-05-23,2.9918,3.0773
2024-05-24,2.9978,3.0834
2024-05-25,2.8546,3.0942
2024-05-26,2.8549,3.0943
2024-05-27,3.0101,3.1121
2024-05-28,3.0159,3.1178
2024-05-29,3.001,3.1022
2024-05-30,3.0061,3.1074
2024-05-31,3.0155,3.1171
2024-06-01,2.8865,3.1262
2024-06-02,2.8864,3.1261
2024-06-03,3.0107,3.1122
2024-06-04,3.0118,3.1131
2024-06-05,3.0085,3.1114
2024-06-06,2.9903,3.0914
2024-06-07,2.9653,3.0652
2024-06-08,2.8274,3.0814
2024-06-09,2.8274,3.0814
2024-06-10,2.973,3.0736
2024-06-11,2.9673,3.0674
2024-06-12,3.0217,3.1236
2024-06-13,2.9935,3.0949
2024-06-14,2.9835,3.0842
2024-06-15,2.8714,3.1166
2024-06-16,2.8715,3.1167
2024-06-17,2.8728,3.1031
2024-06-18,2.8802,3.111
2024-06-19,2.8847,3.1164
2024-06-20,3.0654,3.1689
2024-06-21,3.0464,3.1493
2024-06-22,2.9188,3.1659
2024-06-23,2.919,3.1661
2024-06-24,3.0678,3.1711
2024-06-25,3.051,3.1539
2024-06-26,3.0474,3.1561
