zaman,alis,satis
2024-05-02,950.4037,988.4398
2024-05-03,969.4054,1008.0062
2024-05-04,926.3305,1016.0027
2024-05-05,926.974,1016.6999
2024-05-06,1008.1145,1048.5518
2024-05-07,988.4063,1046.3982
2024-05-08,960.6572,1016.1849
2024-05-09,970.3877,1024.7773
2024-05-10,1005.9374,1062.4447
2024-05-11,941.1582,1045.7403
2024-05-12,941.0729,1045.6461
2024-05-13,995.8478,1036.5495
2024-05-14,983.5237,1022.5225
2024-05-15,1003.9752,1044.9938
2024-05-16,1007.1323,1048.2492
2024-05-17,1004.857,1045.8838
2024-05-18,981.0319,1066.0832
2024-05-19,981.4309,1066.5143
2024-05-20,1031.2874,1066.522
2024-05-21,1050.9405,1087.9949
2024-05-22,1024.324,1060.6248
2024-05-23,1006.669,1042.6129
2024-05-24,984.9793,1020.2177
2024-05-25,938.8909,1021.0963
2024-05-26,938.4288,1020.5967
2024-05-27,1007.6615,1049.0214
2024-05-28,993.9472,1034.6267
2024-05-29,972.5873,1011.22
2024-05-30,975.1357,1015.1725
2024-05-31,955.5003,994.8722
2024-06-01,889.7618,970.334
2024-06-02,889.7671,970.342
2024-06-03,944.8156,984.8048
2024-06-04,930.694,969.247
2024-06-05,948.0418,987.6309
2024-06-06,954.5954,993.6129
2024-06-07,927.6934,966.1519
2024-06-08,888.9202,975.8228
2024-06-09,888.8122,975.7048
2024-06-10,922.4049,960.8346
2024-06-11,907.8206,945.6145
2024-06-12,927.4977,965.9188
2024-06-13,915.5273,953.6616
2024-06-14,912.3194,950.3501
2024-06-15,879.1658,960.8138
2024-06-16,879.1434,960.7912
2024-06-17,877.091,954.633
2024-06-18,866.1576,942.7651
2024-06-19,891.7802,971.5489
2024-06-20,942.8677,981.9549
2024-06-21,1013.2467,1054.7222
2024-06-22,941.1687,1025.3855
2024-06-23,941.1549,1025.3705
2024-06-24,1044.0275,1091.9229
2024-06-25,977.6182,1019.6466
2024-06-26,620.9286,1380.4663
