zaman,alis,satis
2024-05-02,976.0614,1009.9706
2024-05-03,983.9539,1018.4292
2024-05-04,936.4163,1024.7636
2024-05-05,936.3316,1024.6719
2024-05-06,991.6018,1025.5955
2024-05-07,990.4971,1042.0578
2024-05-08,977.075,1027.6604
2024-05-09,989.1567,1040.1953
2024-05-10,1005.3418,1056.5666
2024-05-11,956.9783,1064.1383
2024-05-12,956.9516,1064.1007
2024-05-13,1030.8795,1065.932
2024-05-14,1040.0958,1075.6656
2024-05-15,1064.7089,1101.8629
2024-05-16,1067.1916,1105.7695
2024-05-17,1081.912,1120.9823
2024-05-18,1051.7898,1146.0697
2024-05-19,1051.7451,1146.0213
2024-05-20,1080.0863,1113.447
2024-05-21,1080.8195,1112.5255
2024-05-22,1077.0485,1108.4452
2024-05-23,1062.5076,1093.5066
2024-05-24,1049.7068,1086.444
2024-05-25,997.5455,1084.8505
2024-05-26,997.6223,1084.8937
2024-05-27,1068.3842,1104.6843
2024-05-28,1072.9267,1109.3832
2024-05-29,1063.2262,1100.1371
2024-05-30,1058.7511,1094.7856
2024-05-31,1053.3817,1089.487
2024-06-01,1009.8726,1097.8922
2024-06-02,1009.8664,1097.9031
2024-06-03,1043.7546,1079.9832
2024-06-04,1030.9055,1066.0336
2024-06-05,1013.6326,1048.9422
2024-06-06,1017.4605,1052.5445
2024-06-07,994.2821,1028.6337
2024-06-08,938.9304,1029.378
2024-06-09,939.0107,1029.4604
2024-06-10,997.3311,1031.7652
2024-06-11,978.1907,1011.7901
2024-06-12,980.43,1020.2544
2024-06-13,971.4118,1004.927
2024-06-14,979.2035,1012.9626
2024-06-15,944.7375,1030.9745
2024-06-16,944.7382,1030.9782
2024-06-17,954.6203,1031.0475
2024-06-18,958.3046,1035.9327
2024-06-19,963.8245,1041.6147
2024-06-20,1014.3526,1048.8158
2024-06-21,1020.0084,1055.281
2024-06-22,984.5937,1073.1987
2024-06-23,984.5717,1073.1752
2024-06-24,1044.1832,1079.8008
2024-06-25,1028.0451,1063.1326
2024-06-26,1025.1213,1062.7911
2025-01-15,1054.47784,1095.03235
2025-01-16,1053.41911,1091.34702
2025-01-17,1053.3823,1094.46709
2025-01-18,1003.74704,1099.67597
2025-01-19,1003.74704,1099.67597
2025-01-20,1053.32944,1096.41013
2025-01-21,1066.32456,1105.4515
2025-01-22,1066.91624,1107.43275
2025-01-23,1066.09403,1106.18035
2025-01-24,1066.00581,1105.95456
2025-01-25,1016.85327,1115.71051
2025-01-26,1016.85327,1115.71051
2025-01-27,1067.66715,1106.73203
2025-01-28,1058.73362,1097.33103
2025-01-29,1067.56399,1107.76168
2025-01-30,1088.40474,1129.41762
2025-01-31,1101.95493,1142.37147
2025-02-01,1044.61864,1162.95735
2025-02-02,1044.61864,1162.95735
2025-02-03,1089.39478,1136.15949
2025-02-04,1098.72327,1141.49161
2025-02-05,1109.42462,1151.22787
2025-02-06,1120.73312,1162.23307
2025-02-07,1120.76656,1161.98278
2025-02-08,1055.92478,1156.58842
2025-02-09,1055.92478,1156.58842
2025-02-10,1123.08756,1167.64979
2025-02-11,1119.26239,1162.59105
2025-02-12,1127.818,1172.39601
2025-02-13,1134.22209,1176.90648
2025-02-14,1135.35088,1177.4595
2025-02-15,1068.52418,1171.79058
2025-02-16,1068.52418,1171.79058
2025-02-17,1121.53516,1169.78033
2025-02-18,1120.23132,1161.35664
2025-02-19,1116.0891,1158.16308
2025-02-20,1121.19856,1162.166
2025-02-21,1118.29985,1160.50337
2025-02-22,1063.02633,1163.9626
2025-02-23,1063.02633,1163.9626
2025-02-24,1112.67259,1155.11927
2025-02-25,1110.92175,1153.21203
2025-02-26,1116.63072,1157.81754
2025-02-27,1101.75513,1142.3083
2025-02-28,1084.05376,1126.90237
2025-03-01,1033.00377,1140.66008
2025-03-02,1033.00377,1140.66008
2025-03-03,1102.83148,1145.94156
