zaman,alis,satis
2024-05-02,8.8087,9.0951
2024-05-03,8.7864,9.0712
2024-05-04,8.3452,9.1149
2024-05-05,8.3583,9.0971
2024-05-06,8.7784,9.0699
2024-05-07,8.6374,9.0727
2024-05-08,8.633,9.0695
2024-05-09,8.6226,9.0589
2024-05-10,8.5997,9.0344
2024-05-11,8.1869,9.086
2024-05-12,8.2092,9.074
2024-05-13,8.6809,8.9758
2024-05-14,8.6917,8.9871
2024-05-15,8.6893,8.9842
2024-05-16,8.6793,8.9738
2024-05-17,8.6704,8.9642
2024-05-18,8.2775,8.9861
2024-05-19,8.2989,8.9755
2024-05-20,8.7238,8.9737
2024-05-21,8.7211,8.9718
2024-05-22,8.7181,8.9678
2024-05-23,8.7255,8.9752
2024-05-24,8.7012,8.9506
2024-05-25,8.2983,8.9767
2024-05-26,8.2983,8.9772
2024-05-27,8.6709,8.9661
2024-05-28,8.6756,8.9709
2024-05-29,8.687,8.9807
2024-05-30,8.6937,8.9905
2024-05-31,8.6619,8.9538
2024-06-01,8.2898,9.0072
2024-06-02,8.3152,8.9955
2024-06-03,8.6798,8.9722
2024-06-04,8.7385,9.0354
2024-06-05,8.7145,9.0148
2024-06-06,8.6869,8.9827
2024-06-07,8.6752,8.9703
2024-06-08,8.2999,9.0707
2024-06-09,8.309,9.0545
2024-06-10,8.7337,9.0321
2024-06-11,8.7234,9.0195
2024-06-12,8.7086,9.0017
2024-06-13,8.7065,9.0022
2024-06-14,8.7609,9.0577
2024-06-15,8.4112,9.1186
2024-06-16,8.4112,9.1186
2024-06-17,8.4502,9.1329
2024-06-18,8.3777,9.0494
2024-06-19,8.3665,9.0419
2024-06-20,8.8421,9.1446
2024-06-21,8.8249,9.1267
2024-06-22,8.4619,9.1695
2024-06-23,8.4619,9.1695
2024-06-24,8.8696,9.1707
2024-06-25,8.879,9.1798
2024-06-26,8.8757,9.1914
