zaman,alis,satis
2024-05-02,0.3482,0.3607
2024-05-03,0.3464,0.3622
2024-05-04,0.3295,0.3666
2024-05-05,0.3295,0.3666
2024-05-06,0.3504,0.3641
2024-05-07,0.3431,0.3622
2024-05-08,0.3414,0.3597
2024-05-09,0.3379,0.3573
2024-05-10,0.3387,0.3567
2024-05-11,0.319,0.3586
2024-05-12,0.319,0.3586
2024-05-13,0.3453,0.3581
2024-05-14,0.3459,0.3599
2024-05-15,0.3466,0.36
2024-05-16,0.3479,0.3608
2024-05-17,0.3471,0.3599
2024-05-18,0.3321,0.36
2024-05-19,0.3321,0.36
2024-05-20,0.3495,0.3609
2024-05-21,0.3514,0.3632
2024-05-22,0.3522,0.3637
2024-05-23,0.3497,0.362
2024-05-24,0.3532,0.3662
2024-05-25,0.3337,0.3669
2024-05-26,0.3337,0.3669
2024-05-27,0.3537,0.3688
2024-05-28,0.3563,0.3702
2024-05-29,0.3531,0.3662
2024-05-30,0.3508,0.3639
2024-05-31,0.3491,0.3625
2024-06-01,0.3342,0.365
2024-06-02,0.3342,0.365
2024-06-03,0.3545,0.3691
2024-06-04,0.357,0.3716
2024-06-05,0.356,0.3708
2024-06-06,0.354,0.3682
2024-06-07,0.355,0.3694
2024-06-08,0.3387,0.3723
2024-06-09,0.3387,0.3723
2024-06-10,0.3563,0.3696
2024-06-11,0.3555,0.3693
2024-06-12,0.3554,0.3698
2024-06-13,0.3537,0.3706
2024-06-14,0.356,0.3693
2024-06-15,0.341,0.3731
2024-06-16,0.341,0.3731
2024-06-17,0.3464,0.3767
2024-06-18,0.3507,0.3813
2024-06-19,0.3608,0.3939
2024-06-20,0.3679,0.383
2024-06-21,0.3585,0.3768
2024-06-22,0.3418,0.3797
2024-06-23,0.3418,0.3797
2024-06-24,0.3646,0.382
2024-06-25,0.3661,0.3841
2024-06-26,0.3507,0.3963
