zaman,alis,satis
2024-05-02,8.5646,8.8416
2024-05-03,8.5396,8.8158
2024-05-04,8.1272,8.8412
2024-05-05,8.1272,8.8412
2024-05-06,8.5343,8.8153
2024-05-07,8.3956,8.6801
2024-05-08,8.394,8.6779
2024-05-09,8.3831,8.667
2024-05-10,8.3622,8.6454
2024-05-11,7.9824,8.819
2024-05-12,7.9825,8.819
2024-05-13,8.44,8.7239
2024-05-14,8.4515,8.736
2024-05-15,8.4484,8.7332
2024-05-16,8.4387,8.7231
2024-05-17,8.4288,8.7129
2024-05-18,8.0698,8.7211
2024-05-19,8.0698,8.7211
2024-05-20,8.4804,8.7216
2024-05-21,8.4795,8.7205
2024-05-22,8.4757,8.7166
2024-05-23,8.4819,8.7242
2024-05-24,8.458,8.6992
2024-05-25,8.0661,8.7222
2024-05-26,8.0666,8.7223
2024-05-27,8.4287,8.7146
2024-05-28,8.4322,8.7162
2024-05-29,8.4443,8.7285
2024-05-30,8.4508,8.7353
2024-05-31,8.4197,8.7036
2024-06-01,8.0828,8.7403
2024-06-02,8.0828,8.7403
2024-06-03,8.4374,8.7215
2024-06-04,8.4972,8.783
2024-06-05,8.4737,8.7629
2024-06-06,8.4461,8.7312
2024-06-07,8.435,8.7193
2024-06-08,8.0811,8.7962
2024-06-09,8.0806,8.7962
2024-06-10,8.4924,8.7794
2024-06-11,8.4811,8.7666
2024-06-12,8.4618,8.7472
2024-06-13,8.4603,8.7465
2024-06-14,8.5122,8.8001
2024-06-15,8.1761,8.8593
2024-06-16,8.1763,8.859
2024-06-17,8.2102,8.8681
2024-06-18,8.1398,8.7923
2024-06-19,8.1324,8.7855
2024-06-20,8.595,8.8851
2024-06-21,8.5776,8.8672
2024-06-22,8.2246,8.9085
2024-06-23,8.2246,8.9088
2024-06-24,8.6198,8.9105
2024-06-25,8.6281,8.9192
2024-06-26,8.6256,8.93
