zaman,alis,satis
2024-05-02,2.9414,3.0367
2024-05-03,2.968,3.0642
2024-05-04,2.8152,3.0655
2024-05-05,2.8152,3.0655
2024-05-06,2.9713,3.0693
2024-05-07,2.9093,3.0081
2024-05-08,2.889,2.9868
2024-05-09,2.8928,2.991
2024-05-10,2.8994,2.9977
2024-05-11,2.7529,3.0609
2024-05-12,2.7527,3.0607
2024-05-13,2.9224,3.0209
2024-05-14,2.9252,3.0237
2024-05-15,2.9401,3.0391
2024-05-16,2.951,3.0505
2024-05-17,2.9448,3.0442
2024-05-18,2.8215,3.0557
2024-05-19,2.822,3.055
2024-05-20,2.9751,3.0599
2024-05-21,2.9781,3.0629
2024-05-22,2.9669,3.0514
2024-05-23,2.9702,3.0553
2024-05-24,2.97,3.0548
2024-05-25,2.8344,3.0675
2024-05-26,2.8344,3.0675
2024-05-27,2.977,3.0785
2024-05-28,2.9994,3.1008
2024-05-29,2.9797,3.0803
2024-05-30,2.983,3.0838
2024-05-31,3.0015,3.1029
2024-06-01,2.8758,3.1169
2024-06-02,2.8758,3.117
2024-06-03,3.0179,3.1198
2024-06-04,3.0464,3.1489
2024-06-05,3.059,3.1634
2024-06-06,3.0449,3.1479
2024-06-07,3.0061,3.1076
2024-06-08,2.8661,3.1403
2024-06-09,2.8659,3.1401
2024-06-10,3.0202,3.1224
2024-06-11,3.0281,3.1302
2024-06-12,3.0825,3.1864
2024-06-13,3.0425,3.1455
2024-06-14,3.0173,3.1193
2024-06-15,2.9119,3.1657
2024-06-16,2.9121,3.166
2024-06-17,2.9221,3.1563
2024-06-18,2.9243,3.1586
2024-06-19,2.9258,3.1608
2024-06-20,3.0882,3.1923
2024-06-21,3.0546,3.1579
2024-06-22,2.933,3.1849
2024-06-23,2.933,3.185
2024-06-24,3.0937,3.198
2024-06-25,3.0787,3.1824
2024-06-26,3.0784,3.1877
