zaman,alis,satis
2024-05-02,32.1234,33.1609
2024-05-03,32.0307,33.0644
2024-05-04,30.4825,33.1589
2024-05-05,30.4827,33.1591
2024-05-06,32.01,33.0617
2024-05-07,31.4877,32.5533
2024-05-08,31.4822,32.5455
2024-05-09,31.4406,32.5038
2024-05-10,31.3631,32.4237
2024-05-11,29.9389,33.0747
2024-05-12,29.939,33.0747
2024-05-13,31.583,32.6462
2024-05-14,31.5525,32.6171
2024-05-15,31.5411,32.6066
2024-05-16,31.5051,32.5692
2024-05-17,31.6124,32.6757
2024-05-18,30.2659,32.7066
2024-05-19,30.2659,32.7066
2024-05-20,31.8057,32.7091
2024-05-21,31.8035,32.7058
2024-05-22,31.7894,32.6915
2024-05-23,31.813,32.7201
2024-05-24,31.7244,32.6266
2024-05-25,30.2555,32.713
2024-05-26,30.2555,32.713
2024-05-27,31.614,32.6848
2024-05-28,31.6278,32.6919
2024-05-29,31.6726,32.7371
2024-05-30,31.6972,32.7631
2024-05-31,31.5811,32.6438
2024-06-01,30.3171,32.7815
2024-06-02,30.3171,32.7815
2024-06-03,31.6467,32.7107
2024-06-04,31.8697,32.9403
2024-06-05,31.7818,32.865
2024-06-06,31.6792,32.7463
2024-06-07,31.6365,32.7011
2024-06-08,30.3091,32.9891
2024-06-09,30.3091,32.9891
2024-06-10,31.8485,32.9238
2024-06-11,31.8092,32.8784
2024-06-12,31.7445,32.811
2024-06-13,31.7427,32.8131
2024-06-14,31.9396,33.0151
2024-06-15,30.6798,33.2372
2024-06-16,30.6798,33.2372
2024-06-17,30.8056,33.2706
2024-06-18,30.5411,32.9851
2024-06-19,30.512,32.9578
2024-06-20,32.2477,33.3321
2024-06-21,32.1799,33.2633
2024-06-22,30.8563,33.4183
2024-06-23,30.8563,33.4183
2024-06-24,32.3406,33.4281
2024-06-25,32.3746,33.462
2024-06-26,32.3651,33.5017
2025-01-15,34.78669,36.03169
2025-01-16,34.73776,35.98085
2025-01-17,34.73912,35.99215
2025-01-18,33.14404,36.12373
2025-01-19,33.14404,36.12373
2025-01-20,34.86937,36.11791
2025-01-21,34.92634,36.17743
2025-01-22,34.9483,36.19961
2025-01-23,34.94087,36.19176
2025-01-24,34.91002,36.16535
2025-01-25,33.45428,36.2428
2025-01-26,33.45428,36.2428
