zaman,alis,satis
2024-05-02,27.1666,28.046
2024-05-03,27.1376,28.0251
2024-05-04,26.0131,28.3525
2024-05-05,26.0132,28.3526
2024-05-06,28.107,29.039
2024-05-07,27.7415,29.142
2024-05-08,27.5535,28.9405
2024-05-09,28.1812,29.5987
2024-05-10,28.632,30.0785
2024-05-11,26.2634,29.9616
2024-05-12,26.2635,29.9617
2024-05-13,28.7654,29.7381
2024-05-14,29.1348,30.1201
2024-05-15,29.1192,30.1061
2024-05-16,29.9824,30.9993
2024-05-17,30.9665,32.0155
2024-05-18,30.6416,33.1651
2024-05-19,30.6425,33.1661
2024-05-20,32.2735,33.2008
2024-05-21,32.8485,33.7884
2024-05-22,32.3142,33.2407
2024-05-23,31.3546,32.2578
2024-05-24,31.0426,31.9317
2024-05-25,29.4997,31.9484
2024-05-26,29.5005,31.9493
2024-05-27,31.9957,33.0909
2024-05-28,32.3868,33.485
2024-05-29,32.5479,33.6449
2024-05-30,32.2654,33.3569
2024-05-31,31.7898,32.8709
2024-06-01,29.6182,32.068
2024-06-02,29.6109,32.0601
2024-06-03,30.8739,31.9233
2024-06-04,30.2073,31.2326
2024-06-05,30.3225,31.3694
2024-06-06,31.0238,32.0815
2024-06-07,29.8693,30.887
2024-06-08,28.418,30.9732
2024-06-09,28.4243,30.9801
2024-06-10,30.2578,31.2889
2024-06-11,29.8574,30.8715
2024-06-12,30.3253,31.3484
2024-06-13,29.797,30.8123
2024-06-14,29.9233,30.9426
2024-06-15,29.1376,31.6198
2024-06-16,29.1356,31.6177
2024-06-17,29.1086,31.4463
2024-06-18,28.9185,31.2422
2024-06-19,28.9615,31.2941
2024-06-20,31.4624,32.53
2024-06-21,30.7051,31.7495
2024-06-22,29.2943,31.7697
2024-06-23,29.2874,31.7621
2024-06-24,30.7805,31.8241
2024-06-25,30.4272,31.4604
2024-06-26,30.0723,31.1413
2025-01-15,33.76503,34.99085
2025-01-16,34.35861,35.59854
2025-01-17,33.70993,34.94435
2025-01-18,32.27399,35.36129
2025-01-19,32.27399,35.36129
2025-01-20,33.83071,35.06297
2025-01-21,34.32729,35.56739
2025-01-22,34.57697,35.83244
2025-01-23,33.88099,35.10441
2025-01-24,34.71419,35.97643
2025-01-25,32.77636,35.7695
2025-01-26,32.77636,35.7695
2025-01-27,34.24,35.47908
2025-01-28,33.98648,35.21772
2025-01-29,34.41452,35.66269
2025-01-30,35.33244,36.61113
2025-01-31,35.66813,36.96588
2025-02-01,33.28554,37.04796
2025-02-02,33.28554,37.04796
2025-02-03,35.51644,36.81256
2025-02-04,36.02371,37.32224
2025-02-05,36.35174,37.65775
2025-02-06,36.15505,37.46523
2025-02-07,36.44381,37.7693
2025-02-08,34.40372,37.51984
2025-02-09,34.40372,37.51984
2025-02-10,36.4344,37.75745
2025-02-11,36.05439,36.86992
2025-02-12,36.5894,37.41675
2025-02-13,36.91299,37.74357
2025-02-14,37.83191,38.69014
2025-02-15,34.98796,38.13031
2025-02-16,34.98796,38.13031
2025-02-17,37.03379,37.89301
2025-02-18,37.37223,38.22077
2025-02-19,37.84364,38.68946
2025-02-20,38.03483,38.89087
2025-02-21,37.9719,38.82733
2025-02-22,35.55483,38.71806
2025-02-23,35.55483,38.71806
2025-02-24,37.72798,38.57285
2025-02-25,37.05478,37.88392
2025-02-26,36.71873,37.54487
2025-02-27,36.84291,37.68102
2025-02-28,36.02338,36.83985
2025-03-01,33.91608,37.41015
2025-03-02,33.91608,37.41015
2025-03-03,36.62992,37.46042
2025-03-04,36.84042,37.67143
2025-03-05,37.14133,37.97616
2025-03-06,37.49972,38.33477
2025-03-07,37.37498,38.22264
2025-03-08,35.59149,38.86883
2025-03-09,35.59149,38.86883
2025-03-10,37.52496,38.36895
2025-03-11,37.98782,38.83907
2025-03-12,38.30246,39.16379
2025-03-13,38.48444,39.35291
2025-03-14,39.36747,40.26063
2025-03-15,37.01721,40.50846
2025-03-16,37.01721,40.50846
2025-03-17,39.22174,40.01869
2025-03-18,39.75403,40.5758
2025-03-19,40.4721,41.81016
2025-03-20,40.21706,41.30401
2025-03-21,39.68957,40.75887
2025-03-22,37.63618,42.32353
2025-03-23,37.63618,42.32353
2025-03-24,40.06539,41.13728
2025-03-25,40.69447,41.78874
2025-03-26,40.61637,41.70544
2025-03-27,40.84703,41.93619
2025-03-28,41.36485,42.48916
2025-03-29,38.7808,42.42735
2025-03-30,38.7808,42.42735
2025-03-31,38.50083,41.8129
2025-04-01,38.5694,41.89038
2025-04-02,40.5867,41.68384
2025-04-03,38.58235,39.63135
2025-04-04,36.63717,37.62459
2025-04-05,33.65848,36.8046
2025-04-06,33.65848,36.8046
2025-04-07,36.50012,37.48434
2025-04-08,36.86059,37.84368
2025-04-09,36.80953,37.80185
2025-04-10,37.04182,38.05597
2025-04-11,38.25719,39.28714
2025-04-12,36.70434,40.04175
2025-04-13,36.70434,40.04175
2025-04-14,38.6186,39.66552
2025-04-15,38.91159,39.94949
2025-04-16,39.79185,40.86183
2025-04-17,39.20258,40.24488
2025-04-18,39.25324,40.37827
2025-04-19,37.37651,40.80402
2025-04-20,37.37651,40.80402
2025-04-21,39.70677,40.78077
2025-04-22,39.59532,40.65129
2025-04-23,37.90575,41.3844
2025-04-24,40.45555,41.53349
2025-04-25,39.92856,41.01098
2025-04-26,38.16655,41.77892
2025-04-27,38.18493,41.79838
2025-04-28,39.97564,41.05361
2025-04-29,40.54893,41.65276
2025-04-30,39.52248,40.59041
2025-05-01,37.50305,40.52195
2025-05-02,39.27439,40.33048
2025-05-03,37.01751,40.5295
2025-05-04,37.03316,40.54818
