zaman,kur,alis,satis
1714658296,CNH,4.4414,4.5849
1714744637,CNH,4.4583,4.6023
1714831122,CNH,4.2383,4.611
1714917480,CNH,4.2384,4.6112
1715003696,CNH,4.441,4.587
1715090276,CNH,4.3595,4.5787
1715176507,CNH,4.3538,4.5724
1715262911,CNH,4.3504,4.569
1715349379,CNH,4.3378,4.5557
1715435750,CNH,4.1378,4.5727
1715522081,CNH,4.1379,4.5728
1715608516,CNH,4.3733,4.5203
1715694867,CNH,4.3799,4.5272
1715781388,CNH,4.383,4.5306
1715867764,CNH,4.3797,4.5271
1715954343,CNH,4.3706,4.5177
1716040773,CNH,4.1843,4.5227
1716126903,CNH,4.1843,4.5228
1716213416,CNH,4.3918,4.5166
1716299851,CNH,4.3898,4.5144
1716386172,CNH,4.3837,4.5083
1716472757,CNH,4.3843,4.5095
1716558818,CNH,4.3695,4.4938
1716645523,CNH,4.166,4.5049
1716731755,CNH,4.1662,4.5059
1716818077,CNH,4.3562,4.5038
1716904477,CNH,4.3541,4.5007
1716990971,CNH,4.3543,4.5006
1717077525,CNH,4.368,4.5149
1717163708,CNH,4.3504,4.4968
1717250173,CNH,4.1737,4.5143
1717336539,CNH,4.1737,4.5145
1717423112,CNH,4.3598,4.5065
1717509383,CNH,4.3961,4.5439
1717595898,CNH,4.382,4.5314
1717682337,CNH,4.3638,4.5108
1717768637,CNH,4.355,4.5017
1717855080,CNH,4.1726,4.5428
1717941357,CNH,4.1726,4.543
1718027888,CNH,4.3827,4.5308
1718114188,CNH,4.3739,4.521
1718200457,CNH,4.3751,4.5221
1718286962,CNH,4.3687,4.5161
1718373333,CNH,4.3913,4.5392
1718459687,CNH,4.1296,4.8304
1718546270,CNH,4.1296,4.8306
1718632659,CNH,4.1463,4.8335
1718718990,CNH,4.1109,4.7922
1718805575,CNH,4.1024,4.783
1718891867,CNH,4.4248,4.5737
1718978110,CNH,4.4137,4.5625
1719064602,CNH,4.2319,4.585
1719150931,CNH,4.2319,4.5851
1719237438,CNH,4.4439,4.5935
1719323770,CNH,4.4411,4.5904
1719357998,CNH,2.8174,6.2272
1736949296,PLT,1054.47784,1095.03235
1737035989,PLT,1053.41911,1091.34702
1737122328,PLT,1053.3823,1094.46709
1737208640,PLT,1003.74704,1099.67597
1737295102,PLT,1003.74704,1099.67597
1737381416,PLT,1053.32944,1096.41013
