zaman,alis,satis
2025-01-15,4862.79539,5011.02161
2025-01-17,4900.96556,5051.27112
2025-01-19,4643.60594,5132.90978
2025-01-21,4950.88498,5101.73953
2025-01-23,4806.85688,5568.30584
2025-01-25,4806.08972,5275.62606
2025-01-27,5016.10363,5169.53434
2025-01-29,5033.63156,5187.32142
2025-02-02,4849.29181,5356.16786
2025-02-06,5232.92046,5392.22877
2025-02-08,4999.06255,5504.86407
2025-02-12,5337.58323,5459.61841
2025-02-18,5401.40174,5524.85693
2025-04-18,6519.52758,6890.99497
2025-04-23,6138.14476,6942.01401
2025-05-05,6495.34366,6826.21398
2025-05-18,6062.62592,6595.96317
2025-05-23,6592.04964,6930.16158
2025-05-24,6282.66207,6999.3098
2025-06-02,6655.47915,6994.54961
2025-06-08,6371.7217,6910.42525
2025-06-11,6653.09542,6992.06428
2025-06-17,6769.56828,7114.3688
2025-06-21,6568.18253,7118.25522
2025-06-22,6568.18253,7118.25522
