zaman,alis,satis
2024-04-24,33.945,35.343
2024-04-25,34.024,35.419
2024-04-26,33.778,35.16
2024-04-27,33.216,35.846
2024-04-28,33.216,35.846
2024-04-29,33.82,35.207
2024-04-30,33.812,35.205
2024-05-01,33.173,35.8
2024-05-02,33.904,35.146
2024-05-03,34.03,35.278
2024-05-04,33.371,35.964
2024-05-05,33.371,35.964
2024-05-06,34.044,35.306
2024-05-07,34.135,35.395
2024-05-08,34.058,35.306
2024-05-09,34.006,35.253
2024-05-10,33.884,35.119
2024-05-11,33.23,35.812
2024-05-12,33.23,35.812
2024-05-13,34.109,35.353
2024-05-14,34.195,35.438
2024-05-15,34.267,35.516
2024-05-16,34.283,35.539
2024-05-17,34.221,35.484
2024-05-18,33.545,36.175
2024-05-19,33.545,36.175
2024-05-20,34.29,35.547
2024-05-21,34.259,35.515
2024-05-22,34.2,35.453
2024-05-23,34.202,35.455
2024-05-24,34.13,35.399
2024-05-25,33.465,36.084
2024-05-26,33.465,36.084
2024-05-27,34.11,35.533
2024-05-28,34.179,35.596
2024-05-29,34.075,35.487
2024-05-30,34.156,35.572
2024-05-31,34.167,35.593
2024-06-01,33.47,36.239
2024-06-02,33.47,36.239
2024-06-03,34.246,35.659
2024-06-04,34.467,35.895
2024-06-05,34.289,35.742
2024-06-06,34.203,35.464
2024-06-07,34.003,35.249
2024-06-08,33.284,36.042
2024-06-09,33.284,36.042
2024-06-10,33.998,35.242
2024-06-11,33.944,35.187
2024-06-12,34.246,35.517
2024-06-13,34.065,35.313
2024-06-14,33.939,35.19
2024-06-15,33.201,35.96
2024-06-16,33.201,35.96
2024-06-17,33.201,35.96
2024-06-18,33.201,35.96
2024-06-19,33.201,35.96
2024-06-20,34.456,35.739
2024-06-21,34.285,35.529
2024-06-22,33.525,36.301
2024-06-23,33.525,36.301
2024-06-24,34.566,35.83
2024-06-25,34.524,35.785
2024-06-26,34.271,35.533
2024-06-27,34.39,35.648
2024-06-28,34.218,35.479
2024-06-29,33.458,36.246
2024-06-30,33.458,36.246
2024-07-01,34.297,35.551
2024-07-02,34.19,35.441
2024-07-03,34.307,35.563
2024-07-04,34.346,35.612
2024-07-05,34.466,35.736
2024-07-06,33.719,36.521
2024-07-07,33.719,36.521
2024-07-08,34.611,35.877
2024-07-09,34.847,36.121
2024-07-10,34.779,36.068
2024-07-11,34.888,36.153
2024-07-12,35.084,36.359
2024-07-13,34.319,37.16
2024-07-14,34.319,37.16
2024-07-15,34.319,37.16
2024-07-16,35.18,36.465
2024-07-17,35.37,36.652
2024-07-18,35.23,36.526
2024-07-19,35.051,36.602
2024-07-20,34.196,37.243
2024-07-21,34.196,37.243
2024-07-22,34.964,36.538
2024-07-23,34.78,36.332
2024-07-24,34.838,36.392
2024-07-25,35.069,36.629
2024-07-26,34.919,36.474
2024-07-27,34.108,37.365
2024-07-28,34.108,37.365
2024-07-29,34.907,36.45
2024-07-30,34.974,36.546
2024-07-31,35.146,36.709
2024-08-01,34.955,36.509
2024-08-02,35.356,36.918
2024-08-03,34.233,37.501
2024-08-04,34.233,37.501
2024-08-05,35.773,37.356
2024-08-06,35.869,37.452
2024-08-07,35.748,37.326
2024-08-08,35.627,37.209
2024-08-09,35.711,37.287
2024-08-10,34.852,38.21
2024-08-11,34.852,38.21
2024-08-12,35.836,37.35
2024-08-13,35.943,37.451
2024-08-14,36.234,37.753
2024-08-15,36.093,37.605
2024-08-16,36.114,37.62
2024-08-17,35.326,38.514
2024-08-18,35.326,38.514
2024-08-19,36.473,37.983
2024-08-20,36.793,38.34
2024-08-21,36.906,38.434
2024-08-22,36.824,38.355
2024-08-23,37.071,38.603
2024-08-24,36.24,39.511
2024-08-25,36.24,39.511
2024-08-26,37.147,38.691
2024-08-27,37.185,38.721
2024-08-28,37.05,38.582
2024-08-29,36.741,38.259
2024-08-30,35.861,39.097
2024-08-31,35.861,39.097
2024-09-01,35.861,39.097
2024-09-02,36.746,38.268
2024-09-03,36.773,38.295
2024-09-04,36.915,38.443
2024-09-05,36.84,38.366
2024-09-06,36.796,38.316
2024-09-07,35.945,39.207
2024-09-08,35.945,39.207
2024-09-09,36.761,38.268
2024-09-10,36.701,38.206
2024-09-11,36.601,38.115
2024-09-12,36.616,38.127
2024-09-13,36.703,38.208
2024-09-14,35.889,39.116
2024-09-15,35.889,39.116
2024-09-16,36.986,38.506
2024-09-17,37.078,38.608
2024-09-18,37.125,38.65
2024-09-19,37.048,38.567
2024-09-20,37.059,38.582
2024-09-21,36.21,39.465
2024-09-22,36.21,39.465
2024-09-23,37.182,38.707
2024-09-24,37.245,38.771
2024-09-25,37.363,38.895
2024-09-26,37.173,38.707
2024-09-27,37.257,38.784
2024-09-28,36.42,39.695
2024-09-29,36.42,39.695
2024-09-30,37.335,38.866
2024-10-01,37.096,38.616
2024-10-02,36.987,38.503
2024-10-03,36.849,38.369
2024-10-04,36.699,38.204
2024-10-05,35.839,39.071
2024-10-06,35.839,39.071
2024-10-07,36.802,38.311
2024-10-08,36.806,38.315
2024-10-09,36.671,38.187
2024-10-10,36.566,38.065
2024-10-11,36.557,38.056
2024-10-12,35.742,38.965
2024-10-13,35.742,38.965
2024-10-14,36.568,38.067
2024-10-15,36.532,38.039
2024-10-16,36.377,37.878
2024-10-17,36.112,37.593
2024-10-18,36.297,37.795
2024-10-19,35.459,38.657
2024-10-20,35.459,38.657
2024-10-21,36.358,37.848
2024-10-22,36.183,37.67
2024-10-23,36.173,37.656
2024-10-24,36.207,37.692
2024-10-25,36.26,37.746
2024-10-26,35.423,38.608
2024-10-27,35.423,38.608
2024-10-28,35.399,38.582
2024-10-29,35.399,38.582
2024-10-30,36.365,37.866
2024-10-31,36.428,37.922
2024-11-01,36.407,37.906
2024-11-02,35.553,38.749
2024-11-03,35.553,38.749
2024-11-04,36.646,38.148
2024-11-05,36.652,38.155
2024-11-06,35.895,37.367
2024-11-07,36.159,37.641
2024-11-08,36.062,37.543
2024-11-09,35.228,38.396
2024-11-10,35.228,38.396
2024-11-11,35.808,37.276
2024-11-12,35.709,37.173
2024-11-13,35.725,37.19
2024-11-14,35.472,36.926
2024-11-15,35.441,36.894
2024-11-16,34.753,37.877
2024-11-17,34.753,37.877
2024-11-18,35.692,37.156
2024-11-19,35.79,37.257
2024-11-20,35.548,37.018
2024-11-21,35.52,36.976
2024-11-22,35.156,36.597
2024-11-23,34.368,37.383
2024-11-24,34.368,37.383
2024-11-25,35.607,37.07
2024-11-26,35.575,37.036
2024-11-27,35.762,37.231
2024-11-28,35.679,37.145
2024-11-29,35.711,37.174
2024-11-30,34.985,38.054
2024-12-01,34.985,38.054
2024-12-02,35.67,37.135
2024-12-03,35.775,37.241
2024-12-04,35.625,37.089
2024-12-05,35.916,37.387
2024-12-06,35.947,37.424
2024-12-07,35.091,38.245
2024-12-08,35.091,38.245
2024-12-09,36.016,37.492
2024-12-10,35.89,37.361
2024-12-11,35.872,37.342
2024-12-12,35.745,37.214
2024-12-13,35.816,37.284
2024-12-14,34.99,38.135
2024-12-15,34.99,38.135
2024-12-16,35.913,37.388
2024-12-17,35.974,37.448
2024-12-18,35.949,37.425
2024-12-19,35.685,37.147
2024-12-20,35.701,37.163
2024-12-21,34.881,38.015
2024-12-22,34.881,38.015
2024-12-23,35.841,37.313
2024-12-24,35.848,37.32
2024-12-25,35.925,37.433
2024-12-26,35.793,37.263
2024-12-27,35.867,37.336
2024-12-28,35.035,38.184
2024-12-29,35.035,38.184
2024-12-30,35.938,37.41
2024-12-31,35.873,37.346
2025-01-01,35.104,38.258
2025-01-02,35.656,37.116
2025-01-03,35.533,36.992
2025-01-04,34.722,37.842
2025-01-05,34.722,37.842
2025-01-06,35.893,37.381
2025-01-07,35.979,37.453
2025-01-08,35.614,37.073
2025-01-09,35.635,37.095
2025-01-10,35.457,36.913
2025-01-11,34.693,37.735
2025-01-12,34.693,37.735
2025-01-13,35.442,36.894
2025-01-14,35.652,37.116
2025-01-15,35.853,37.325
2025-01-16,35.62,37.079
2025-01-17,35.607,37.065
2025-01-18,34.888,38.023
2025-01-19,34.888,38.023
2025-01-20,36.19,37.672
2025-01-21,36.225,37.708
2025-01-22,36.361,37.854
2025-01-23,36.307,37.794
2025-01-24,36.501,37.996
2025-01-25,35.647,38.85
2025-01-26,35.647,38.85
2025-01-27,36.768,38.273
2025-01-28,36.497,37.991
2025-01-29,36.395,37.889
2025-01-30,36.552,38.049
2025-01-31,36.323,37.814
2025-02-01,35.516,38.707
2025-02-02,35.516,38.707
2025-02-03,36.134,37.617
2025-02-04,36.385,37.878
2025-02-05,36.621,38.124
2025-02-06,36.411,37.902
2025-02-07,36.438,37.934
2025-02-08,35.617,38.739
2025-02-09,35.617,38.739
2025-02-10,36.331,37.818
2025-02-11,36.412,37.903
2025-02-12,36.527,38.026
2025-02-13,36.704,38.207
2025-02-14,37.044,38.564
2025-02-15,36.265,39.445
2025-02-16,36.265,39.445
2025-02-17,37.128,38.651
2025-02-18,37.095,38.613
2025-02-19,37.088,38.606
2025-02-20,37.155,38.676
2025-02-21,37.265,38.79
2025-02-22,36.453,39.648
2025-02-23,36.453,39.648
2025-02-24,37.343,38.871
2025-02-25,37.468,39.001
2025-02-26,37.416,38.947
2025-02-27,37.232,38.76
2025-02-28,37.129,38.648
2025-03-01,36.315,39.498
2025-03-02,36.315,39.498
2025-03-03,37.364,38.896
2025-03-04,37.615,39.154
2025-03-05,38.292,39.859
2025-03-06,38.598,40.181
2025-03-07,38.652,40.247
2025-03-08,37.831,41.239
2025-03-09,37.831,41.239
2025-03-10,38.78,40.37
2025-03-11,39.106,40.706
2025-03-12,39.032,40.629
2025-03-13,38.937,40.534
2025-03-14,39.005,40.584
2025-03-15,38.153,41.563
2025-03-16,38.153,41.563
2025-03-17,39.17,40.759
2025-03-18,39.191,40.781
2025-03-19,40.509,42.369
2025-03-20,40.323,41.994
2025-03-21,40.224,41.872
2025-03-22,39.298,42.826
2025-03-23,39.298,42.826
2025-03-24,40.246,41.895
2025-03-25,40.181,41.832
2025-03-26,40.162,41.804
2025-03-27,40.135,41.776
2025-03-28,40.128,41.769
2025-03-29,39.113,42.625
2025-03-30,39.113,42.625
2025-03-31,39.113,42.625
2025-04-01,39.113,42.625
2025-04-02,40.193,41.858
2025-04-03,41.245,42.947
2025-04-04,40.903,42.575
2025-04-05,39.882,43.463
2025-04-06,39.882,43.463
2025-04-07,40.78,42.43
2025-04-08,40.643,42.291
2025-04-09,41.115,42.783
2025-04-10,41.355,43.028
2025-04-11,42.314,44.04
2025-04-12,41.321,45.014
2025-04-13,41.321,45.014
2025-04-14,42.23,43.939
2025-04-15,42.115,43.823
2025-04-16,42.442,44.16
2025-04-17,42.403,44.118
2025-04-18,42.464,44.195
2025-04-19,41.464,45.179
2025-04-20,41.464,45.179
2025-04-21,43.038,44.783
2025-04-22,42.876,44.611
2025-04-23,41.913,45.658
2025-04-24,42.711,44.439
2025-04-25,42.633,44.357
2025-04-26,41.561,45.274
2025-04-27,41.561,45.274
2025-04-28,42.726,44.458
2025-04-29,42.857,44.591
2025-04-30,42.719,44.451
2025-05-01,41.76,45.491
2025-05-02,42.739,44.472
2025-05-03,41.648,45.369
2025-05-04,41.648,45.369
2025-05-05,42.818,44.55
2025-05-06,42.846,44.58
2025-05-07,42.926,44.662
2025-05-08,42.716,44.444
2025-05-09,42.618,44.342
2025-05-10,41.579,45.294
2025-05-11,41.579,45.294
2025-05-12,42.186,43.892
2025-05-13,42.223,43.931
2025-05-14,42.464,44.186
2025-05-15,42.385,44.103
2025-05-16,42.323,44.035
2025-05-17,41.409,45.108
2025-05-18,41.409,45.108
2025-05-19,41.409,45.108
2025-05-20,42.768,44.498
2025-05-21,43.058,44.81
2025-05-22,42.975,44.713
2025-05-23,43.143,44.892
2025-05-24,42.13,45.894
2025-05-25,42.13,45.894
2025-05-26,43.316,45.09
2025-05-27,43.327,45.089
2025-05-28,43.266,45.019
2025-05-29,43.45,45.207
2025-05-30,43.385,45.143
2025-05-31,42.383,46.169
2025-06-01,42.383,46.169
2025-06-02,43.854,45.631
2025-06-03,43.552,45.317
2025-06-04,43.714,45.482
2025-06-05,42.718,46.534
2025-06-06,42.718,46.534
2025-06-07,42.718,46.534
2025-06-08,42.718,46.534
2025-06-09,42.718,46.534
2025-06-10,43.884,45.662
2025-06-11,43.975,45.753
2025-06-12,44.558,46.374
2025-06-13,44.376,46.17
2025-06-14,43.407,47.285
2025-06-15,43.407,47.285
2025-06-16,44.727,46.535
2025-06-17,44.5,46.304
2025-06-18,44.466,46.263
2025-06-19,44.419,46.219
2025-06-20,44.591,46.398
2025-06-21,43.587,47.481
2025-06-22,43.587,47.481
2025-06-23,44.793,46.604
2025-06-24,45.022,46.843
2025-06-25,45.145,46.97
2025-06-26,45.561,47.402
2025-06-27,45.659,47.505
2025-06-28,44.57,48.552
2025-06-29,44.57,48.552
2025-06-30,45.663,47.509
2025-07-01,45.949,47.806
2025-07-02,45.768,47.618
