zaman,alis,satis
2024-04-24,39.476,41.099
2024-04-25,39.663,41.284
2024-04-26,39.441,41.064
2024-04-27,38.823,41.897
2024-04-28,38.823,41.897
2024-04-29,39.596,41.215
2024-04-30,39.54,41.167
2024-05-01,38.819,41.893
2024-05-02,39.616,41.068
2024-05-03,39.664,41.119
2024-05-04,38.935,41.96
2024-05-05,38.935,41.96
2024-05-06,39.724,41.205
2024-05-07,39.767,41.233
2024-05-08,39.561,41.008
2024-05-09,39.493,40.928
2024-05-10,39.368,40.81
2024-05-11,38.644,41.647
2024-05-12,38.644,41.647
2024-05-13,39.663,41.115
2024-05-14,39.758,41.213
2024-05-15,39.898,41.361
2024-05-16,39.952,41.417
2024-05-17,39.953,41.43
2024-05-18,39.19,42.263
2024-05-19,39.19,42.263
2024-05-20,40.096,41.563
2024-05-21,40.14,41.609
2024-05-22,40.203,41.674
2024-05-23,40.128,41.597
2024-05-24,40.05,41.536
2024-05-25,39.3,42.375
2024-05-26,39.3,42.375
2024-05-27,40.145,41.818
2024-05-28,40.199,41.863
2024-05-29,40.055,41.71
2024-05-30,40.119,41.783
2024-05-31,40.119,41.791
2024-06-01,39.331,42.584
2024-06-02,39.331,42.584
2024-06-03,40.246,41.902
2024-06-04,40.491,42.177
2024-06-05,40.276,41.977
2024-06-06,40.177,41.657
2024-06-07,40.0,41.462
2024-06-08,39.194,42.442
2024-06-09,39.194,42.442
2024-06-10,40.255,41.726
2024-06-11,40.241,41.715
2024-06-12,40.591,42.099
2024-06-13,40.369,41.848
2024-06-14,40.238,41.719
2024-06-15,39.396,42.67
2024-06-16,39.396,42.67
2024-06-17,39.396,42.67
2024-06-18,39.396,42.67
2024-06-19,39.396,42.67
2024-06-20,40.738,42.252
2024-06-21,40.509,41.987
2024-06-22,39.665,42.949
2024-06-23,39.665,42.949
2024-06-24,40.855,42.356
2024-06-25,40.918,42.422
2024-06-26,40.535,42.015
2024-06-27,40.618,42.1
2024-06-28,40.398,41.885
2024-06-29,39.509,42.801
2024-06-30,39.509,42.801
2024-07-01,40.432,41.92
2024-07-02,40.369,41.844
2024-07-03,40.532,42.013
2024-07-04,40.569,42.065
2024-07-05,40.759,42.252
2024-07-06,39.903,43.218
2024-07-07,39.903,43.218
2024-07-08,41.007,42.505
2024-07-09,41.245,42.744
2024-07-10,41.244,42.77
2024-07-11,41.43,42.942
2024-07-12,41.791,43.312
2024-07-13,40.89,44.275
2024-07-14,40.89,44.275
2024-07-15,40.89,44.275
2024-07-16,41.881,43.408
2024-07-17,42.117,43.642
2024-07-18,41.916,43.456
2024-07-19,41.59,43.439
2024-07-20,40.638,44.258
2024-07-21,40.638,44.258
2024-07-22,41.491,43.366
2024-07-23,41.377,43.239
2024-07-24,41.449,43.304
2024-07-25,41.664,43.516
2024-07-26,41.34,43.178
2024-07-27,40.419,44.278
2024-07-28,40.419,44.278
2024-07-29,41.451,43.283
2024-07-30,41.521,43.366
2024-07-31,41.644,43.495
2024-08-01,41.467,43.31
2024-08-02,41.573,43.41
2024-08-03,40.303,44.15
2024-08-04,40.303,44.15
2024-08-05,41.643,43.488
2024-08-06,41.755,43.597
2024-08-07,41.61,43.446
2024-08-08,41.563,43.408
2024-08-09,41.697,43.537
2024-08-10,40.719,44.642
2024-08-11,40.719,44.642
2024-08-12,41.885,43.655
2024-08-13,42.072,43.837
2024-08-14,42.205,43.975
2024-08-15,42.239,44.008
2024-08-16,42.342,44.127
2024-08-17,41.45,45.191
2024-08-18,41.45,45.191
2024-08-19,42.807,44.595
2024-08-20,43.162,44.956
2024-08-21,43.345,45.135
2024-08-22,43.404,45.232
2024-08-23,43.805,45.613
2024-08-24,42.847,46.713
2024-08-25,42.847,46.713
2024-08-26,43.899,45.722
2024-08-27,44.077,45.897
2024-08-28,43.999,45.817
2024-08-29,43.66,45.466
2024-08-30,42.666,46.516
2024-08-31,42.666,46.516
2024-09-01,42.666,46.516
2024-09-02,43.625,45.451
2024-09-03,43.611,45.426
2024-09-04,43.844,45.654
2024-09-05,43.755,45.562
2024-09-06,43.68,45.49
2024-09-07,42.69,46.564
2024-09-08,42.69,46.564
2024-09-09,43.586,45.372
2024-09-10,43.482,45.264
2024-09-11,43.278,45.063
2024-09-12,43.336,45.123
2024-09-13,43.492,45.275
2024-09-14,42.538,46.363
2024-09-15,42.538,46.363
2024-09-16,43.905,45.704
2024-09-17,43.978,45.805
2024-09-18,44.157,45.967
2024-09-19,44.071,45.877
2024-09-20,44.164,45.974
2024-09-21,43.171,47.052
2024-09-22,43.171,47.052
2024-09-23,44.583,46.414
2024-09-24,44.715,46.548
2024-09-25,44.731,46.564
2024-09-26,44.609,46.448
2024-09-27,44.657,46.487
2024-09-28,43.685,47.612
2024-09-29,43.685,47.612
2024-09-30,44.761,46.595
2024-10-01,44.555,46.38
2024-10-02,44.405,46.224
2024-10-03,43.806,45.613
2024-10-04,43.833,45.63
2024-10-05,42.813,46.674
2024-10-06,42.813,46.674
2024-10-07,43.844,45.64
2024-10-08,43.921,45.738
2024-10-09,43.781,45.6
2024-10-10,43.639,45.427
2024-10-11,43.69,45.48
2024-10-12,42.724,46.577
2024-10-13,42.724,46.577
2024-10-14,43.725,45.517
2024-10-15,43.851,45.659
2024-10-16,43.528,45.323
2024-10-17,43.36,45.137
2024-10-18,43.592,45.39
2024-10-19,42.628,46.472
2024-10-20,42.628,46.472
2024-10-21,43.639,45.427
2024-10-22,43.412,45.191
2024-10-23,43.467,45.248
2024-10-24,43.496,45.278
2024-10-25,43.484,45.266
2024-10-26,42.517,46.339
2024-10-27,42.517,46.339
2024-10-28,42.483,46.302
2024-10-29,42.483,46.302
2024-10-30,43.669,45.47
2024-10-31,43.299,45.073
2024-11-01,43.481,45.263
2024-11-02,42.513,46.334
2024-11-03,42.513,46.334
2024-11-04,43.582,45.368
2024-11-05,43.726,45.518
2024-11-06,43.089,44.855
2024-11-07,43.469,45.25
2024-11-08,43.373,45.15
2024-11-09,42.402,46.214
2024-11-10,42.402,46.214
2024-11-11,43.261,45.034
2024-11-12,43.035,44.819
2024-11-13,42.842,44.597
2024-11-14,42.659,44.407
2024-11-15,42.458,44.198
2024-11-16,41.661,45.406
2024-11-17,41.661,45.406
2024-11-18,42.649,44.397
2024-11-19,42.747,44.509
2024-11-20,42.686,44.457
2024-11-21,42.643,44.39
