zaman,alis,satis
2024-04-24,31.73,33.025
2024-04-25,31.75,33.046
2024-04-26,31.583,32.872
2024-04-27,31.014,33.47
2024-04-28,31.014,33.47
2024-04-29,31.598,32.888
2024-04-30,31.561,32.85
2024-05-01,30.988,33.442
2024-05-02,31.733,32.884
2024-05-03,31.633,32.78
2024-05-04,31.014,33.423
2024-05-05,31.014,33.423
2024-05-06,31.569,32.736
2024-05-07,31.68,32.837
2024-05-08,31.679,32.828
2024-05-09,31.566,32.711
2024-05-10,31.484,32.627
2024-05-11,30.868,33.267
2024-05-12,30.868,33.267
2024-05-13,31.577,32.722
2024-05-14,31.629,32.777
2024-05-15,31.597,32.743
2024-05-16,31.565,32.71
2024-05-17,31.516,32.668
2024-05-18,30.885,33.307
2024-05-19,30.885,33.307
2024-05-20,31.569,32.714
2024-05-21,31.567,32.712
2024-05-22,31.561,32.706
2024-05-23,31.575,32.72
2024-05-24,31.468,32.626
2024-05-25,30.852,33.267
2024-05-26,30.852,33.267
2024-05-27,31.434,32.734
2024-05-28,31.452,32.744
2024-05-29,31.489,32.783
2024-05-30,31.521,32.815
2024-05-31,31.446,32.747
2024-06-01,30.828,33.378
2024-06-02,30.828,33.378
2024-06-03,31.496,32.79
2024-06-04,31.717,33.028
2024-06-05,31.547,32.869
2024-06-06,31.457,32.614
2024-06-07,31.444,32.584
2024-06-08,30.75,33.298
2024-06-09,30.75,33.298
2024-06-10,31.667,32.814
2024-06-11,31.656,32.803
2024-06-12,31.586,32.747
2024-06-13,31.598,32.742
2024-06-14,31.781,32.94
2024-06-15,31.084,33.667
2024-06-16,31.084,33.667
2024-06-17,31.084,33.667
2024-06-18,31.084,33.667
2024-06-19,31.084,33.667
2024-06-20,32.118,33.301
2024-06-21,32.063,33.223
2024-06-22,31.358,33.955
2024-06-23,31.358,33.955
2024-06-24,32.202,33.367
2024-06-25,32.28,33.456
2024-06-26,32.074,33.243
2024-06-27,32.098,33.26
2024-06-28,31.971,33.137
2024-06-29,31.269,33.875
2024-06-30,31.269,33.875
2024-07-01,31.922,33.086
2024-07-02,31.87,33.024
2024-07-03,31.757,32.908
2024-07-04,31.799,32.959
2024-07-05,31.863,33.025
2024-07-06,31.152,33.741
2024-07-07,31.152,33.741
2024-07-08,31.932,33.088
2024-07-09,32.215,33.38
2024-07-10,32.129,33.307
2024-07-11,32.084,33.244
2024-07-12,32.201,33.366
2024-07-13,31.495,34.102
2024-07-14,31.495,34.102
2024-07-15,31.495,34.102
2024-07-16,32.338,33.507
2024-07-17,32.342,33.512
2024-07-18,32.303,33.48
2024-07-19,32.196,33.617
2024-07-20,31.422,34.221
2024-07-21,31.422,34.221
2024-07-22,32.151,33.586
2024-07-23,32.053,33.477
2024-07-24,32.064,33.489
2024-07-25,32.33,33.757
2024-07-26,32.169,33.589
2024-07-27,31.398,34.396
2024-07-28,31.398,34.396
2024-07-29,32.3,33.725
2024-07-30,32.377,33.814
2024-07-31,32.426,33.864
2024-08-01,32.366,33.802
2024-08-02,32.401,33.83
2024-08-03,31.605,34.622
2024-08-04,31.605,34.622
2024-08-05,32.628,34.065
2024-08-06,32.826,34.272
2024-08-07,32.727,34.169
2024-08-08,32.706,34.155
2024-08-09,32.675,34.115
2024-08-10,31.894,34.967
2024-08-11,31.894,34.967
2024-08-12,32.823,34.207
2024-08-13,32.81,34.183
2024-08-14,32.829,34.203
2024-08-15,32.886,34.261
2024-08-16,32.867,34.231
2024-08-17,32.129,35.029
2024-08-18,32.129,35.029
2024-08-19,33.007,34.368
2024-08-20,33.141,34.515
2024-08-21,33.189,34.557
2024-08-22,33.148,34.523
2024-08-23,33.185,34.553
2024-08-24,32.423,35.348
2024-08-25,32.423,35.348
2024-08-26,33.274,34.654
2024-08-27,33.293,34.665
2024-08-28,33.313,34.687
2024-08-29,33.186,34.554
2024-08-30,32.426,35.352
2024-08-31,32.426,35.352
2024-09-01,32.426,35.352
2024-09-02,33.215,34.585
2024-09-03,33.294,34.666
2024-09-04,33.314,34.687
2024-09-05,33.229,34.598
2024-09-06,33.188,34.557
2024-09-07,32.429,35.372
2024-09-08,32.429,35.372
2024-09-09,33.307,34.67
2024-09-10,33.307,34.67
2024-09-11,33.252,34.621
2024-09-12,33.184,34.551
2024-09-13,33.101,34.456
2024-09-14,32.339,35.246
2024-09-15,32.339,35.246
2024-09-16,33.249,34.609
2024-09-17,33.332,34.704
2024-09-18,33.361,34.726
2024-09-19,33.316,34.679
2024-09-20,33.261,34.622
2024-09-21,32.498,35.42
2024-09-22,32.498,35.42
2024-09-23,33.413,34.78
2024-09-24,33.382,34.748
2024-09-25,33.384,34.749
2024-09-26,33.402,34.777
2024-09-27,33.333,34.697
2024-09-28,32.569,35.497
2024-09-29,32.569,35.497
2024-09-30,33.449,34.817
2024-10-01,33.477,34.846
