zaman,alis,satis
2024-04-24,2390.503553,2616.963838
2024-04-25,2396.609287,2623.232511
2024-04-26,2397.736225,2623.351581
2024-04-27,2250.898664,2698.741634
2024-04-28,2250.898664,2698.741634
2024-04-29,2393.86479,2619.569178
2024-04-30,2356.608991,2581.944178
2024-05-01,2210.912004,2656.263415
2024-05-02,2363.775598,2589.710446
2024-05-03,2344.923365,2570.361202
2024-05-04,2208.503067,2650.19126
2024-05-05,2208.503067,2650.19126
2024-05-06,2378.736448,2605.218052
2024-05-07,2382.666928,2609.018101
2024-05-08,2378.367144,2604.02158
2024-05-09,2391.867538,2616.67323
2024-05-10,2411.472503,2635.830357
2024-05-11,2267.980755,2711.389175
2024-05-12,2267.980755,2711.389175
2024-05-13,2398.803058,2623.863424
2024-05-14,2409.784645,2635.06682
2024-05-15,2421.264419,2646.381212
2024-05-16,2430.147041,2655.229363
2024-05-17,2457.209258,2682.621853
2024-05-18,2322.59826,2771.098819
2024-05-19,2322.59826,2771.098819
2024-05-20,2474.530495,2699.782532
2024-05-21,2483.737353,2709.004834
2024-05-22,2448.642689,2673.682141
2024-05-23,2406.540779,2631.614763
2024-05-24,2384.094704,2609.526868
2024-05-25,2243.637824,2687.052744
2024-05-26,2243.637824,2687.052744
2024-05-27,2400.909801,2637.87327
2024-05-28,2407.258849,2632.50754
2024-05-29,2399.258134,2624.578783
2024-05-30,2407.3742,2632.907398
2024-05-31,2394.030195,2619.895518
2024-06-01,2239.809648,2693.661501
2024-06-02,2239.809648,2693.661501
2024-06-03,2394.985378,2620.479932
2024-06-04,2389.026526,2616.563024
2024-06-05,2404.632313,2632.434846
2024-06-06,2419.048877,2645.286881
2024-06-07,2367.973153,2592.630263
2024-06-08,2211.419685,2663.189145
2024-06-09,2211.419685,2663.189145
2024-06-10,2371.361067,2597.469002
2024-06-11,2382.632983,2609.308541
2024-06-12,2390.968258,2618.094604
2024-06-13,2374.58913,2600.324395
2024-06-14,2410.142545,2638.012081
2024-06-15,2252.484117,2710.94985
2024-06-16,2252.484117,2710.94985
2024-06-17,2252.484117,2710.94985
2024-06-18,2252.484117,2710.94985
2024-06-19,2252.484117,2710.94985
2024-06-20,2460.164276,2691.437408
2024-06-21,2430.540169,2659.558312
2024-06-22,2273.106818,2734.758427
2024-06-23,2273.106818,2734.758427
2024-06-24,2439.789952,2669.863997
2024-06-25,2441.320794,2672.599765
