zaman,alis,satis
2024-05-06,33.95924,35.4139175
2024-05-07,33.88674,35.32514
2024-05-08,33.91073,35.3468933
2024-05-09,33.8308868,35.2693138
2024-05-10,33.6706772,35.1162033
2024-05-11,33.695694,35.4268723
2024-05-12,33.74257,35.47176
2024-05-13,33.9397621,35.3809776
2024-05-14,34.13721,35.5809
2024-05-15,34.21834,35.6597366
2024-05-16,34.11942,35.5637321
2024-05-17,34.04692,35.5002937
2024-05-18,33.5138664,36.1527748
2024-05-19,33.56098,36.1981277
2024-05-20,34.1125031,35.5558434
2024-05-21,34.03606,35.69614
2024-05-22,33.9389572,35.4887543
2024-05-23,33.86744,35.4170036
2024-05-24,33.8601532,35.41701
2024-05-25,33.34885,36.0839653
2024-05-26,33.3957443,36.1289673
2024-05-27,34.0556,35.6138878
2024-05-28,34.1182861,35.6718941
2024-05-29,33.98127,35.52966
2024-05-30,34.0985527,35.6496124
2024-05-31,33.939724,35.5371437
2024-06-01,33.42476,36.1737
2024-06-02,33.471817,36.2188
2024-06-03,34.1406975,35.6942
2024-06-04,34.6170349,36.16953
2024-06-05,34.1320953,35.6910172
2024-06-06,34.16769,35.720993
2024-06-07,33.99309,35.5481
2024-06-08,33.4111824,36.2309952
2024-06-09,33.45846,36.276226
2024-06-10,33.94825,35.493454
2024-06-11,33.8711166,35.4181938
2024-06-12,34.222393,35.78038
2024-06-13,33.9268227,35.47355
2024-06-14,33.81096,35.3838043
2024-06-15,33.4511261,36.18195
2024-06-16,33.4983444,36.22719
2024-06-17,33.6368256,36.273243
2024-06-18,33.47382,36.1134529
2024-06-19,33.48175,36.1393
2024-06-20,34.2888947,35.86589
2024-06-21,34.0455322,35.63153
2024-06-22,33.5114822,36.2858353
2024-06-23,33.5590019,36.3314476
2024-06-24,34.53299,36.0757065
2024-06-25,34.50504,36.04843
2024-06-26,34.33683,35.88236
2024-06-27,34.389164,35.93479
2024-06-28,34.22317,35.7783623
2024-06-29,33.4313622,36.33458
2024-06-30,33.47892,36.38003
2024-07-01,34.219162,35.7643929
2024-07-02,34.127697,35.67282
2024-07-03,34.2189331,35.7732353
2024-07-04,34.3291664,35.88941
2024-07-05,34.3685379,35.95
2024-07-06,33.8430748,36.5987167
2024-07-07,33.89105,36.6447144
2024-07-08,34.6802979,36.12814
2024-07-09,34.86514,36.3113
2024-07-10,34.7610435,36.206543
2024-07-11,34.7916336,36.23867
2024-07-12,35.079937,36.53409
2024-07-13,34.440937,37.2038956
2024-07-14,34.49003,37.25093
2024-07-15,35.02169,36.992012
2024-07-16,35.11554,36.5582466
2024-07-17,35.4597435,36.6901932
2024-07-18,35.2116432,36.6600876
2024-07-19,35.0774345,36.52901
2024-07-20,34.3852234,37.1617355
2024-07-21,34.43398,37.2083855
2024-07-22,34.9536171,36.4015961
2024-07-23,34.7537079,36.2019958
2024-07-24,34.81868,36.2640572
2024-07-25,34.9866371,36.4408455
2024-07-26,34.8860245,36.3353539
2024-07-27,34.22288,36.97401
2024-07-28,34.2713,37.02052
2024-07-29,34.87506,36.31773
2024-07-30,34.9592743,36.3993645
2024-07-31,35.08153,36.41141
2024-08-01,34.92609,36.2556839
2024-08-02,35.4224052,36.76297
2024-08-03,34.7395,37.4726334
2024-08-04,34.78616,37.51737
2024-08-05,35.9132271,37.2570343
2024-08-06,35.9783478,37.3138428
2024-08-07,35.83791,37.1729965
2024-08-08,35.79425,37.1313438
2024-08-09,35.80979,37.1509247
2024-08-10,35.08468,37.85955
2024-08-11,35.1318359,37.9046936
2024-08-12,35.8873749,37.2244263
2024-08-13,36.12479,37.24275
2024-08-14,36.3044853,37.6459923
2024-08-15,36.3088722,37.4278374
2024-08-16,36.21116,37.55445
2024-08-17,35.6711426,38.4146271
2024-08-18,35.7189751,38.4605
2024-08-19,36.6333961,37.9775162
2024-08-20,36.97413,38.32413
2024-08-21,37.0038719,38.35321
2024-08-22,36.95918,38.3069153
2024-08-23,37.1781921,38.5350342
2024-08-24,36.57438,39.3058434
2024-08-25,36.623848,39.3530426
2024-08-26,37.2450752,38.5960045
2024-08-27,37.28876,38.6393356
2024-08-28,37.18712,38.5346832
2024-08-29,36.86733,38.21956
2024-08-30,36.28927,38.9187469
2024-08-31,36.21309,38.94272
2024-09-01,36.26158,38.9891739
2024-09-02,36.79363,38.1388855
2024-09-03,36.83769,38.18218
2024-09-04,36.9783974,38.3262978
2024-09-05,36.8757477,38.2191
2024-09-06,36.8866158,38.23806
2024-09-07,36.14373,38.8976364
2024-09-08,36.195076,38.946907
2024-09-09,36.79385,38.1365051
2024-09-10,36.7261162,38.0678558
2024-09-11,36.6633263,38.0043373
2024-09-12,36.6812172,38.02576
2024-09-13,36.75493,38.1043
2024-09-14,36.06215,38.8483963
2024-09-15,36.11291,38.8971138
2024-09-16,37.08667,38.4371376
2024-09-17,37.14109,38.49655
2024-09-18,37.14138,38.48806
2024-09-19,37.2050972,38.5515
2024-09-20,37.0997353,38.4510269
2024-09-21,36.5091133,39.24798
2024-09-22,36.556736,39.2936974
2024-09-23,37.22397,38.5717278
2024-09-24,37.3064041,38.6549835
2024-09-25,37.3578949,38.7092857
2024-09-26,37.37076,38.7206039
2024-09-27,37.3366737,38.69225
2024-09-28,36.6463661,39.3985558
2024-09-29,36.696125,39.44617
2024-09-30,37.38496,38.7340126
2024-10-01,37.1315155,38.4754066
2024-10-02,37.0324554,38.37451
2024-10-03,36.8872223,38.2260628
2024-10-04,36.7488,38.0900459
2024-10-05,36.1105881,38.84745
2024-10-06,36.1594772,38.8944664
2024-10-07,36.930294,38.04756
2024-10-08,36.88277,38.2213364
2024-10-09,36.8406868,37.9580269
2024-10-10,36.6118469,37.94782
2024-10-11,36.64208,37.986393
2024-10-12,35.97644,38.69875
2024-10-13,36.025032,38.7454834
2024-10-14,36.63073,37.9621
2024-10-15,36.63377,37.92296
2024-10-16,36.47077,37.7583847
2024-10-17,36.236,37.52103
2024-10-18,36.3858032,37.6774864
2024-10-19,35.69065,38.53031
2024-10-20,35.73729,38.5749855
2024-10-21,36.41914,37.7053223
2024-10-22,36.40693,37.473896
2024-10-23,36.3416519,37.4055519
2024-10-24,36.2536545,37.5378036
2024-10-25,36.2422523,37.5310135
2024-10-26,35.45963,38.18314
2024-10-27,35.5067024,38.22834
2024-10-28,35.63153,38.2395973
2024-10-29,35.61261,38.2173538
2024-10-30,36.4552155,37.74141
2024-10-31,36.5102577,37.798584
2024-11-01,36.46462,37.754055
2024-11-02,35.7295723,38.4442444
2024-11-03,35.77825,38.4909134
2024-11-04,36.7426949,38.0305977
2024-11-05,36.7447929,38.0348358
2024-11-06,35.9417,37.22276
2024-11-07,36.3181953,37.60176
2024-11-08,36.1159821,37.4020958
2024-11-09,35.33579,38.04807
2024-11-10,35.3833923,38.093792
2024-11-11,35.8518829,37.12598
2024-11-12,35.81893,37.090416
