zaman,alis,satis
2024-05-06,31.5078068,32.84623
2024-05-07,31.4555054,32.779274
2024-05-08,31.5553379,32.8781128
2024-05-09,31.4046135,32.7282677
2024-05-10,31.2911167,32.62218
2024-05-11,31.2202282,32.9539642
2024-05-12,31.26236,32.99452
2024-05-13,31.41586,32.74011
2024-05-14,31.5420017,32.8685
2024-05-15,31.5113468,32.83364
2024-05-16,31.3958645,32.72067
2024-05-17,31.31038,32.6430664
2024-05-18,30.7568436,33.32267
2024-05-19,30.7989388,33.3631554
2024-05-20,31.3967838,32.72017
2024-05-21,31.3406143,32.8644
2024-05-22,31.3311768,32.75481
2024-05-23,31.2940178,32.71853
2024-05-24,31.2315655,32.66168
2024-05-25,30.6739712,33.3299332
2024-05-26,30.71601,33.3702469
2024-05-27,31.3651562,32.7949181
2024-05-28,31.3744335,32.7996
2024-05-29,31.430027,32.853363
2024-05-30,31.4497337,32.8744
2024-05-31,31.27956,32.7457924
2024-06-01,30.7377262,33.40619
2024-06-02,30.7799282,33.44665
2024-06-03,31.3985462,32.82321
2024-06-04,31.8167915,33.24058
2024-06-05,31.42018,32.85075
2024-06-06,31.41387,32.8388672
2024-06-07,31.4444847,32.87396
2024-06-08,30.8740215,33.61113
2024-06-09,30.9164867,33.65176
2024-06-10,31.630579,33.0554161
2024-06-11,31.5893059,33.01656
2024-06-12,31.5464382,32.9767151
2024-06-13,31.5288372,32.95351
2024-06-14,31.67285,33.12727
2024-06-15,31.193697,33.85358
2024-06-16,31.2362728,33.89441
2024-06-17,31.4116364,33.8408127
2024-06-18,31.1915531,33.62324
2024-06-19,31.159874,33.6070557
2024-06-20,32.00521,33.4299126
2024-06-21,31.8822975,33.31754
2024-06-22,31.3074455,33.9784775
2024-06-23,31.3503723,34.01964
2024-06-24,32.19669,33.61985
2024-06-25,32.2611923,33.68648
2024-06-26,32.13455,33.56256
2024-06-27,32.1181641,33.5455055
2024-06-28,31.9418125,33.37703
2024-06-29,31.1600151,33.9808273
2024-06-30,31.2029533,34.0218124
2024-07-01,31.8930073,33.3183746
2024-07-02,31.7871227,33.2110176
2024-07-03,31.66882,33.0969925
2024-07-04,31.7670422,33.2015457
2024-07-05,31.75728,33.21024
2024-07-06,31.15273,33.8276443
2024-07-07,31.19547,33.86862
2024-07-08,32.0088577,33.33803
2024-07-09,32.2431259,33.5718727
2024-07-10,32.1189,33.44655
2024-07-11,31.9869366,33.3132057
2024-07-12,32.1623726,33.4935341
2024-07-13,31.5103188,34.1879234
2024-07-14,31.55376,34.22958
2024-07-15,32.0744553,33.91244
2024-07-16,32.283165,33.6061325
2024-07-17,32.432373,33.5573349
2024-07-18,32.26449,33.5896072
2024-07-19,32.2163429,33.5462761
2024-07-20,31.5391827,34.23106
2024-07-21,31.5824356,34.27252
2024-07-22,32.1127663,33.4399338
2024-07-23,32.04562,33.3746567
2024-07-24,32.0808258,33.40735
2024-07-25,32.2380066,33.5728836
2024-07-26,32.1426,33.47163
2024-07-27,31.45416,34.1238174
2024-07-28,31.4972744,34.16517
2024-07-29,32.2543449,33.5803452
2024-07-30,32.3600731,33.684433
2024-07-31,32.42595,33.6522827
2024-08-01,32.3690453,33.5969353
2024-08-02,32.44333,33.6739769
2024-08-03,31.7638416,34.41414
2024-08-04,31.8050652,34.45366
2024-08-05,32.7123375,33.9427261
2024-08-06,32.90689,34.1323357
2024-08-07,32.7938347,34.0190163
2024-08-08,32.8232422,34.0516663
2024-08-09,32.78095,34.0116539
2024-08-10,32.0620155,34.7501259
2024-08-11,32.103653,34.79
2024-08-12,32.8495636,34.07693
2024-08-13,32.973877,33.9987373
