zaman,alis,satis
2024-05-06,2354.56641,2461.87744
2024-05-07,2335.42383,2455.762
2024-05-08,2340.47583,2460.76929
2024-05-09,2330.04053,2450.38672
2024-05-10,2351.32349,2472.56836
2024-05-11,2354.82861,2501.559
2024-05-12,2358.35376,2505.00073
2024-05-13,2356.92749,2471.43042
2024-05-14,2375.86719,2490.862
2024-05-15,2390.717,2505.514
2024-05-16,2382.21143,2497.24634
2024-05-17,2417.27173,2533.43628
2024-05-18,2386.02222,2591.45972
2024-05-19,2389.64014,2594.982
2024-05-20,2434.81274,2540.074
2024-05-21,2437.69434,2558.78784
2024-05-22,2394.71582,2507.048
2024-05-23,2344.40625,2456.00537
2024-05-24,2334.14038,2445.96362
2024-05-25,2293.92261,2494.29639
2024-05-26,2297.407,2497.671
2024-05-27,2378.233,2476.46
2024-05-28,2380.17041,2477.7417
2024-05-29,2370.78613,2468.01025
2024-05-30,2372.995,2470.3772
2024-05-31,2352.643,2452.873
2024-06-01,2308.16162,2495.10083
2024-06-02,2311.671,2498.48242
2024-06-03,2367.2,2466.55518
2024-06-04,2372.238,2471.19751
2024-06-05,2370.90332,2474.874
2024-06-06,2386.27417,2490.16
2024-06-07,2335.20459,2438.477
2024-06-08,2273.62866,2471.04126
2024-06-09,2277.09424,2474.38232
2024-06-10,2326.66528,2437.681
2024-06-11,2337.69556,2449.0415
2024-06-12,2344.47388,2456.233
2024-06-13,2328.53735,2439.66846
2024-06-14,2358.5835,2470.31128
2024-06-15,2330.64,2529.5332
2024-06-16,2334.168,2532.94751
2024-06-17,2328.70142,2522.5437
2024-06-18,2315.08643,2509.02661
2024-06-19,2314.86035,2509.91479
2024-06-20,2414.827,2527.19434
2024-06-21,2373.7937,2486.33447
2024-06-22,2326.31226,2527.98755
2024-06-23,2329.84985,2531.41357
2024-06-24,2416.86377,2509.76758
2024-06-25,2416.4856,2509.56226
2024-06-26,2379.51538,2472.21313
2024-06-27,2407.88159,2501.11523
2024-06-28,2391.004,2484.71118
2024-06-29,2338.09741,2532.24683
2024-06-30,2341.66455,2535.66724
2024-07-01,2373.51514,2476.75171
2024-07-02,2367.83716,2471.00073
2024-07-03,2398.42725,2502.59277
2024-07-04,2401.299,2505.93335
2024-07-05,2424.589,2531.03027
2024-07-06,2391.02734,2585.94775
2024-07-07,2394.66,2589.45483
2024-07-08,2437.21948,2536.419
2024-07-09,2437.82227,2536.80249
2024-07-10,2446.59741,2545.68579
2024-07-11,2476.985,2576.76685
2024-07-12,2483.14014,2583.1748
2024-07-13,2444.42822,2642.37354
2024-07-14,2448.13525,2645.954
2024-07-15,2510.70532,2635.5188
2024-07-16,2540.70239,2638.925
2024-07-17,2565.20532,2648.065
2024-07-18,2559.086,2657.879
2024-07-19,2479.27417,2577.021
2024-07-20,2435.864,2632.71533
2024-07-21,2439.56372,2636.28662
2024-07-22,2471.25635,2551.65039
2024-07-23,2482.16382,2562.90723
2024-07-24,2507.21313,2603.134
2024-07-25,2449.59839,2545.03052
2024-07-26,2458.5542,2558.04
2024-07-27,2415.55029,2612.41724
2024-07-28,2419.21826,2615.96216
2024-07-29,2464.7998,2566.183
2024-07-30,2483.82666,2585.313
2024-07-31,2513.68945,2629.54932
2024-08-01,2535.33057,2651.86646
2024-08-02,2523.79443,2640.34814
2024-08-03,2491.998,2690.81958
2024-08-04,2495.599,2694.29956
2024-08-05,2508.94263,2622.83887
2024-08-06,2516.04468,2629.34717
2024-08-07,2518.58252,2632.1
2024-08-08,2536.47949,2650.54077
2024-08-09,2548.131,2662.696
2024-08-10,2507.531,2707.077
2024-08-11,2511.15674,2710.57568
2024-08-12,2580.893,2697.816
2024-08-13,2609.084,2710.11255
2024-08-14,2581.09082,2697.79126
2024-08-15,2597.7915,2698.815
2024-08-16,2625.565,2743.431
2024-08-17,2607.52832,2808.17139
2024-08-18,2611.291,2811.80762
2024-08-19,2655.77051,2769.34
2024-08-20,2693.8103,2808.20386
2024-08-21,2668.27856,2781.96118
2024-08-22,2643.50854,2756.69165
2024-08-23,2670.867,2784.92
2024-08-24,2637.788,2832.689
2024-08-25,2641.59033,2836.3606
2024-08-26,2688.59058,2802.51587
2024-08-27,2693.18384,2807.06738
2024-08-28,2685.256,2799.04761
2024-08-29,2691.3252,2805.82739
2024-08-30,2643.77954,2833.97485
2024-08-31,2635.55151,2830.89453
2024-09-01,2639.34375,2834.56079
2024-09-02,2665.21387,2778.89282
2024-09-03,2649.23584,2762.44067
2024-09-04,2668.82275,2782.543
2024-09-05,2677.05615,2790.7312
2024-09-06,2669.143,2783.27
2024-09-07,2615.39331,2812.10132
2024-09-08,2619.37183,2815.9458
2024-09-09,2667.19263,2780.78662
2024-09-10,2678.231,2792.00757
2024-09-11,2679.73364,2793.55737
2024-09-12,2715.44263,2830.24731
2024-09-13,2741.10034,2856.701
2024-09-14,2705.47021,2906.42456
2024-09-15,2709.545,2910.3623
2024-09-16,2757.74243,2873.24072
2024-09-17,2756.674,2872.37817
2024-09-18,2754.60254,2869.59546
2024-09-19,2767.781,2883.0166
2024-09-20,2789.58569,2905.63745
2024-09-21,2759.39331,2957.117
2024-09-22,2763.24756,2960.83862
2024-09-23,2830.77759,2929.376
2024-09-24,2847.184,2945.93921
2024-09-25,2857.21631,2963.10938
2024-09-26,2868.18115,2976.24219
2024-09-27,2850.526,2958.97266
2024-09-28,2809.14844,2999.83276
2024-09-29,2813.21021,3003.74731
2024-09-30,2832.48242,2942.34546
2024-10-01,2863.246,2977.949
2024-10-02,2857.03516,2971.65015
2024-10-03,2848.82715,2963.419
2024-10-04,2854.45142,2969.23828
2024-10-05,2812.947,3010.29224
2024-10-06,2817.015,3014.22021
2024-10-07,2858.084,2953.13525
2024-10-08,2829.523,2941.38354
2024-10-09,2819.06152,2913.75415
2024-10-10,2821.78516,2933.676
2024-10-11,2850.40942,2963.31567
2024-10-12,2817.442,3011.50244
2024-10-13,2821.509,3015.428
2024-10-14,2848.188,2964.46313
2024-10-15,2867.99634,2981.3894
2024-10-16,2870.48975,2984.01978
2024-10-17,2892.59229,3006.63159
2024-10-18,2917.32935,3032.44238
2024-10-19,2878.54224,3088.067
2024-10-20,2882.57031,3091.946
2024-10-21,2943.83862,3054.195
2024-10-22,2968.77661,3061.661
2024-10-23,2945.27856,3037.8147
2024-10-24,2944.95947,3055.45923
2024-10-25,2943.977,3054.73584
2024-10-26,2909.72729,3106.38428
2024-10-27,2913.83057,3110.337
2024-10-28,2920.52832,3097.464
2024-10-29,2949.82739,3127.06079
2024-10-30,3004.22583,3102.34131
2024-10-31,2962.05322,3059.46313
2024-11-01,2957.80029,3070.89258
2024-11-02,2908.2085,3105.96558
2024-11-03,2912.41138,3110.02051
2024-11-04,2964.23022,3081.40771
2024-11-05,2965.47363,3082.84
2024-11-06,2861.33472,2977.21631
2024-11-07,2900.14526,3020.88574
2024-11-08,2900.961,3022.296
2024-11-09,2855.989,3062.23438
2024-11-10,2860.094,3066.20361
2024-11-11,2844.08276,2939.1853
2024-11-12,2823.42139,2938.0437
2024-11-13,2815.57764,2930.195
2024-11-14,2770.24365,2884.081
2024-11-15,2777.94214,2892.19165
2024-11-16,2727.504,2926.375
2024-11-17,2731.355,2930.094
2024-11-18,2838.04834,2952.82959
2024-11-19,2857.48267,2972.63159
2024-11-20,2869.245,2984.98535
2024-11-21,2895.47681,3011.941
2024-11-22,2927.60425,3045.194
2024-11-23,2901.93115,3103.60669
2024-11-24,2906.105,3107.6377
2024-11-25,2878.53149,2993.938
2024-11-26,2860.49048,2975.659
2024-11-27,2890.62158,3006.386
2024-11-28,2878.55078,2994.01782
2024-11-29,2896.18262,3012.13647
2024-11-30,2825.09033,3088.03467
2024-12-01,2829.12378,3091.99731
2024-12-02,2888.73071,3008.59741
2024-12-03,2902.73267,3022.74731
2024-12-04,2897.84326,3018.10962
2024-12-05,2888.43213,3008.67554
2024-12-06,2874.18286,2994.3728
2024-12-07,2834.17,3041.11963
2024-12-08,2838.21118,3045.02515
2024-12-09,2930.62036,3046.86328
2024-12-10,2946.16675,3063.08472
2024-12-11,2964.784,3082.9856
2024-12-12,2945.90552,3062.978
2024-12-13,2914.91821,3030.99463
2024-12-14,2867.53735,3068.34155
2024-12-15,2871.62134,3072.28613
2024-12-16,2917.367,3035.27539
2024-12-17,2900.61646,3018.515
2024-12-18,2902.88232,3020.52637
2024-12-19,2875.19727,2973.77026
2024-12-20,2891.68286,3007.81226
2024-12-21,2863.152,3063.92651
2024-12-22,2867.23071,3067.86548
2024-12-23,2895.75171,3010.93457
2024-12-24,2889.3252,3005.04932
2024-12-25,2880.908,3030.905
2024-12-26,2901.954,3018.45166
2024-12-27,2888.92,3004.67651
2024-12-28,2852.28,3052.894
2024-12-29,2856.14,3056.61768
2024-12-30,2900.33838,3013.43774
2024-12-31,2914.60742,3011.3042
2025-01-01,2887.568,3069.25024
2025-01-02,2941.9873,3056.028
2025-01-03,2936.817,3051.02222
2025-01-04,2885.32422,3085.01758
2025-01-05,2889.26831,3088.82
2025-01-06,2921.29614,3037.355
2025-01-07,2967.75146,3066.07813
2025-01-08,2972.68384,3087.951
2025-01-09,2978.86475,3094.4563
2025-01-10,2991.49585,3107.83325
2025-01-11,2952.159,3153.26343
2025-01-12,2956.192,3157.15454
2025-01-13,2981.606,3095.01758
2025-01-14,2976.42969,3089.63257
2025-01-15,2993.95166,3107.32983
2025-01-16,3031.35474,3145.57715
2025-01-17,3023.39331,3137.76
2025-01-18,2968.468,3166.63843
2025-01-19,2972.47485,3170.50024
2025-01-20,3029.32983,3149.0752
2025-01-21,3065.63037,3184.66357
2025-01-22,3091.03271,3210.265
2025-01-23,3077.12964,3196.50073
2025-01-24,3112.51563,3232.81787
2025-01-25,3068.7583,3273.16455
