zaman,kur,alis,satis
1715007438,XAU,2354.56641,2461.87744
1715093593,XAU,2335.42383,2455.762
1715179992,XAU,2340.47583,2460.76929
1715266400,XAU,2330.04053,2450.38672
1715353009,XAU,2351.32349,2472.56836
1715439166,XAU,2354.82861,2501.559
1715525895,XAU,2358.35376,2505.00073
1715611991,XAU,2356.92749,2471.43042
1715698338,XAU,2375.86719,2490.862
1715784945,XAU,2390.717,2505.514
1715871510,XAU,2382.21143,2497.24634
1715957601,XAU,2417.27173,2533.43628
1716044006,XAU,2386.02222,2591.45972
1716130634,XAU,2389.64014,2594.982
1716217152,XAU,2434.81274,2540.074
1716303500,XAU,2437.69434,2558.78784
1716389860,XAU,2394.71582,2507.048
1716475987,XAU,2344.40625,2456.00537
1716562393,XAU,2334.14038,2445.96362
1716648925,XAU,2293.92261,2494.29639
1716735502,XAU,2297.407,2497.671
1716821667,XAU,2378.233,2476.46
1716908134,XAU,2380.17041,2477.7417
1716994632,XAU,2370.78613,2468.01025
1717080791,XAU,2372.995,2470.3772
1717167195,XAU,2352.643,2452.873
1717253835,XAU,2308.16162,2495.10083
1717340060,XAU,2311.671,2498.48242
1717426468,XAU,2367.2,2466.55518
1717513160,XAU,2372.238,2471.19751
1717599268,XAU,2370.90332,2474.874
1717685787,XAU,2386.27417,2490.16
1717772119,XAU,2335.20459,2438.477
1717858633,XAU,2273.62866,2471.04126
1717944928,XAU,2277.09424,2474.38232
1718031500,XAU,2326.66528,2437.681
1718117655,XAU,2337.69556,2449.0415
1718204130,XAU,2344.47388,2456.233
1718290458,XAU,2328.53735,2439.66846
1718376737,XAU,2358.5835,2470.31128
1718463498,XAU,2330.64,2529.5332
1718549834,XAU,2334.168,2532.94751
1718636130,XAU,2328.70142,2522.5437
1718722403,XAU,2315.08643,2509.02661
1718808859,XAU,2314.86035,2509.91479
1718895328,XAU,2414.827,2527.19434
1718981737,XAU,2373.7937,2486.33447
1719068144,XAU,2326.31226,2527.98755
1719154342,XAU,2329.84985,2531.41357
1719240741,XAU,2416.86377,2509.76758
1719327334,XAU,2416.4856,2509.56226
1719413531,XAU,2379.51538,2472.21313
1719500296,XAU,2407.88159,2501.11523
1719586464,XAU,2391.004,2484.71118
1719672926,XAU,2338.09741,2532.24683
1719759434,XAU,2341.66455,2535.66724
1719845732,XAU,2373.51514,2476.75171
1719932179,XAU,2367.83716,2471.00073
1720018532,XAU,2398.42725,2502.59277
1720104740,XAU,2401.299,2505.93335
1720191269,XAU,2424.589,2531.03027
1720277843,XAU,2391.02734,2585.94775
1720364064,XAU,2394.66,2589.45483
1720450400,XAU,2437.21948,2536.419
1720536868,XAU,2437.82227,2536.80249
1720623562,XAU,2446.59741,2545.68579
1720709670,XAU,2476.985,2576.76685
1720796074,XAU,2483.14014,2583.1748
1720882514,XAU,2444.42822,2642.37354
1720968786,XAU,2448.13525,2645.954
1721055188,XAU,2510.70532,2635.5188
1721141656,XAU,2540.70239,2638.925
1721228295,XAU,2565.20532,2648.065
1721314525,XAU,2559.086,2657.879
1721401036,XAU,2479.27417,2577.021
1721487375,XAU,2435.864,2632.71533
1721573893,XAU,2439.56372,2636.28662
1721660174,XAU,2471.25635,2551.65039
1721746576,XAU,2482.16382,2562.90723
1721833111,XAU,2507.21313,2603.134
1721919388,XAU,2449.59839,2545.03052
1722005440,XAU,2458.5542,2558.04
1722092228,XAU,2415.55029,2612.41724
1722178583,XAU,2419.21826,2615.96216
1722264978,XAU,2464.7998,2566.183
1722351491,XAU,2483.82666,2585.313
1722437834,XAU,2513.68945,2629.54932
1722524297,XAU,2535.33057,2651.86646
1722610336,XAU,2523.79443,2640.34814
1722696923,XAU,2491.998,2690.81958
1722783438,XAU,2495.599,2694.29956
1722869842,XAU,2508.94263,2622.83887
1722956301,XAU,2516.04468,2629.34717
1723042534,XAU,2518.58252,2632.1
1723129047,XAU,2536.47949,2650.54077
1723215341,XAU,2548.131,2662.696
1723301829,XAU,2507.531,2707.077
1723388184,XAU,2511.15674,2710.57568
1723474338,XAU,2580.893,2697.816
1723561039,XAU,2609.084,2710.11255
1723647441,XAU,2581.09082,2697.79126
1723733665,XAU,2597.7915,2698.815
1723820066,XAU,2625.565,2743.431
1723906465,XAU,2607.52832,2808.17139
1723992931,XAU,2611.291,2811.80762
1724079272,XAU,2655.77051,2769.34
1724165734,XAU,2693.8103,2808.20386
1724252250,XAU,2668.27856,2781.96118
1724338519,XAU,2643.50854,2756.69165
1724424788,XAU,2670.867,2784.92
1724511546,XAU,2637.788,2832.689
1724597610,XAU,2641.59033,2836.3606
1724684364,XAU,2688.59058,2802.51587
1724770405,XAU,2693.18384,2807.06738
1724857155,XAU,2685.256,2799.04761
1724943324,XAU,2691.3252,2805.82739
1725029656,XAU,2643.77954,2833.97485
1725116123,XAU,2635.55151,2830.89453
1725202403,XAU,2639.34375,2834.56079
1725288788,XAU,2665.21387,2778.89282
1725375136,XAU,2649.23584,2762.44067
1725461773,XAU,2668.82275,2782.543
1725548236,XAU,2677.05615,2790.7312
1725634703,XAU,2669.143,2783.27
1725721141,XAU,2615.39331,2812.10132
1725807148,XAU,2619.37183,2815.9458
1725893850,XAU,2667.19263,2780.78662
1725979955,XAU,2678.231,2792.00757
1726066649,XAU,2679.73364,2793.55737
1726152874,XAU,2715.44263,2830.24731
1726239389,XAU,2741.10034,2856.701
1726325786,XAU,2705.47021,2906.42456
1726411988,XAU,2709.545,2910.3623
1726498642,XAU,2757.74243,2873.24072
1726584935,XAU,2756.674,2872.37817
1726671332,XAU,2754.60254,2869.59546
1726757602,XAU,2767.781,2883.0166
1726844242,XAU,2789.58569,2905.63745
1726930708,XAU,2759.39331,2957.117
1727016647,XAU,2763.24756,2960.83862
1727103504,XAU,2830.77759,2929.376
1727189832,XAU,2847.184,2945.93921
1727276176,XAU,2857.21631,2963.10938
1727362635,XAU,2868.18115,2976.24219
1727448861,XAU,2850.526,2958.97266
1727535334,XAU,2809.14844,2999.83276
1727621911,XAU,2813.21021,3003.74731
1727708308,XAU,2832.48242,2942.34546
1727794651,XAU,2863.246,2977.949
1727880809,XAU,2857.03516,2971.65015
1727967510,XAU,2848.82715,2963.419
1728053543,XAU,2854.45142,2969.23828
1728140129,XAU,2812.947,3010.29224
1728226580,XAU,2817.015,3014.22021
1728312934,XAU,2858.084,2953.13525
1728399437,XAU,2829.523,2941.38354
1728485522,XAU,2819.06152,2913.75415
1728572065,XAU,2821.78516,2933.676
1728658400,XAU,2850.40942,2963.31567
1728744866,XAU,2817.442,3011.50244
1728831325,XAU,2821.509,3015.428
1728917602,XAU,2848.188,2964.46313
1729004142,XAU,2867.99634,2981.3894
1729090467,XAU,2870.48975,2984.01978
1729176866,XAU,2892.59229,3006.63159
1729263150,XAU,2917.32935,3032.44238
1729349965,XAU,2878.54224,3088.067
1729436229,XAU,2882.57031,3091.946
1729522631,XAU,2943.83862,3054.195
1729608927,XAU,2968.77661,3061.661
1729695343,XAU,2945.27856,3037.8147
1729781788,XAU,2944.95947,3055.45923
1729868365,XAU,2943.977,3054.73584
1729954648,XAU,2909.72729,3106.38428
1730041149,XAU,2913.83057,3110.337
1730127432,XAU,2920.52832,3097.464
1730213720,XAU,2949.82739,3127.06079
1730300062,XAU,3004.22583,3102.34131
1730386461,XAU,2962.05322,3059.46313
1730472743,XAU,2957.80029,3070.89258
1730559196,XAU,2908.2085,3105.96558
1730645597,XAU,2912.41138,3110.02051
1730731877,XAU,2964.23022,3081.40771
1730818405,XAU,2965.47363,3082.84
1730904934,XAU,2861.33472,2977.21631
1730991507,XAU,2900.14526,3020.88574
1731077846,XAU,2900.961,3022.296
1731164307,XAU,2855.989,3062.23438
1731250468,XAU,2860.094,3066.20361
1731336938,XAU,2844.08276,2939.1853
1731423431,XAU,2823.42139,2938.0437
1731509591,XAU,2815.57764,2930.195
1731596055,XAU,2770.24365,2884.081
1731682465,XAU,2777.94214,2892.19165
1731768859,XAU,2727.504,2926.375
1731855379,XAU,2731.355,2930.094
1731941665,XAU,2838.04834,2952.82959
1732028305,XAU,2857.48267,2972.63159
1732114528,XAU,2869.245,2984.98535
1732201041,XAU,2895.47681,3011.941
1732287501,XAU,2927.60425,3045.194
1732373584,XAU,2901.93115,3103.60669
1732460132,XAU,2906.105,3107.6377
1732546702,XAU,2878.53149,2993.938
1732632851,XAU,2860.49048,2975.659
1732719374,XAU,2890.62158,3006.386
1732805589,XAU,2878.55078,2994.01782
1732892170,XAU,2896.18262,3012.13647
1732978747,XAU,2825.09033,3088.03467
1733064428,XAU,2829.12378,3091.99731
1733151191,XAU,2888.73071,3008.59741
1733237733,XAU,2902.73267,3022.74731
1733324178,XAU,2897.84326,3018.10962
1733410455,XAU,2888.43213,3008.67554
1733497105,XAU,2874.18286,2994.3728
1733583441,XAU,2834.17,3041.11963
1733669733,XAU,2838.21118,3045.02515
1733756059,XAU,2930.62036,3046.86328
1733842638,XAU,2946.16675,3063.08472
1733929039,XAU,2964.784,3082.9856
1734015269,XAU,2945.90552,3062.978
1734101841,XAU,2914.91821,3030.99463
1734188301,XAU,2867.53735,3068.34155
1734274694,XAU,2871.62134,3072.28613
1734360872,XAU,2917.367,3035.27539
1734447145,XAU,2900.61646,3018.515
1734533949,XAU,2902.88232,3020.52637
1734620357,XAU,2875.19727,2973.77026
1734706756,XAU,2891.68286,3007.81226
1734792736,XAU,2863.152,3063.92651
1734879330,XAU,2867.23071,3067.86548
1734965666,XAU,2895.75171,3010.93457
1735051935,XAU,2889.3252,3005.04932
1735138642,XAU,2880.908,3030.905
1735224987,XAU,2901.954,3018.45166
1735311195,XAU,2888.92,3004.67651
1735397903,XAU,2852.28,3052.894
1735484132,XAU,2856.14,3056.61768
1735570705,XAU,2900.33838,3013.43774
1735657032,XAU,2914.60742,3011.3042
1735743387,XAU,2887.568,3069.25024
1735829773,XAU,2941.9873,3056.028
1735916057,XAU,2936.817,3051.02222
1736002393,XAU,2885.32422,3085.01758
1736089150,XAU,2889.26831,3088.82
1736175263,XAU,2921.29614,3037.355
1736256192,XAU,2967.75146,3066.07813
1736348056,XAU,2972.68384,3087.951
