zaman,alis,satis
2024-05-03,20.92427,21.78142
2024-05-04,20.65085,22.12847
2024-05-05,20.65085,22.12847
2024-05-06,20.95713,21.81562
2024-05-07,20.88741,21.74304
2024-05-08,20.74991,21.59991
2024-05-09,20.82937,21.68262
2024-05-10,20.80952,21.66196
2024-05-11,20.52754,21.99634
2024-05-12,20.52754,21.99634
2024-05-13,20.86212,21.71673
2024-05-14,20.92003,21.77701
2024-05-15,20.92175,21.80293
2024-05-16,20.96487,21.84786
2024-05-17,21.00971,21.89458
2024-05-18,20.80789,22.29674
2024-05-19,20.80789,22.29674
2024-05-20,20.95809,21.8408
2024-05-21,20.95489,21.83747
2024-05-22,20.84602,21.72401
2024-05-23,20.81715,21.69393
2024-05-24,20.81872,21.69557
2024-05-25,20.61425,22.08924
2024-05-26,20.61425,22.08924
2024-05-27,20.89412,21.77413
2024-05-28,20.92164,21.80282
2024-05-29,20.80092,21.67701
2024-05-30,20.88674,21.76644
2024-05-31,20.8826,21.71932
2024-06-01,20.67879,22.1584
2024-06-02,20.67879,22.1584
2024-06-03,20.98545,21.8263
2024-06-04,21.03734,21.88027
2024-06-05,20.89052,21.72756
2024-06-06,20.9162,21.75428
2024-06-07,20.76779,21.59992
2024-06-08,20.5576,22.02855
2024-06-09,20.5576,22.02855
2024-06-10,20.86005,21.69589
2024-06-11,20.81963,21.65383
2024-06-12,21.08704,21.93196
2024-06-13,20.91694,21.75505
2024-06-14,21.06648,21.91058
2024-06-15,20.85703,22.34939
2024-06-16,20.85703,22.34939
2024-06-18,20.85703,22.34939
2024-06-19,20.85703,22.34939
2024-06-20,21.35814,22.21393
2024-06-21,21.25093,22.10243
2024-06-22,21.03095,22.53577
2024-06-23,21.03095,22.53577
2024-06-24,21.36651,22.22263
2024-06-25,21.40675,22.26179
2024-06-26,21.39489,22.24945
2024-06-27,21.38687,22.24111
2024-06-28,21.43757,22.29383
2024-06-29,21.14489,22.65786
2024-06-30,21.14489,22.65786
2024-07-01,21.27714,22.12701
2024-07-02,21.23926,22.08762
2024-07-03,21.42525,22.28104
2024-07-04,21.44842,22.30512
2024-07-05,21.52564,22.38543
2024-07-06,21.25268,22.77337
2024-07-07,21.25268,22.77337
2024-07-08,21.59755,22.46021
2024-07-09,21.67493,22.54068
2024-07-10,21.69458,22.56112
2024-07-11,21.78697,22.65719
2024-07-12,21.94946,22.82618
2024-07-13,21.65412,23.20352
2024-07-14,21.65412,23.20352
2024-07-15,21.65412,23.20352
2024-07-16,21.75715,22.55952
2024-07-17,21.78098,22.58423
2024-07-18,21.78055,22.58378
2024-07-19,21.65206,22.45054
2024-07-20,21.36252,22.89107
2024-07-21,21.36252,22.89107
2024-07-22,21.38266,22.17121
2024-07-23,21.22304,22.0057
2024-07-24,21.21564,21.99803
2024-07-25,21.17159,21.95236
2024-07-26,21.14407,21.92382
2024-07-27,20.87883,22.37275
2024-07-28,20.87883,22.37275
2024-07-29,21.09181,21.86964
2024-07-30,21.1628,21.94324
2024-07-31,21.16497,21.94549
2024-08-01,21.12535,21.90441
2024-08-02,21.18182,21.96296
2024-08-03,20.89815,22.39347
2024-08-04,20.89815,22.39347
2024-08-05,21.17849,21.9595
2024-08-06,21.40807,22.19755
2024-08-07,21.63994,22.27852
2024-08-08,21.65273,22.31433
2024-08-09,21.71014,22.39555
2024-08-10,21.29935,22.82338
2024-08-11,21.29935,22.82338
2024-08-12,21.78758,22.51968
2024-08-13,21.82952,22.56303
2024-08-14,21.864,22.59867
2024-08-15,21.92298,22.68188
2024-08-16,22.00418,22.76589
2024-08-17,21.59126,23.13616
2024-08-18,21.59126,23.13616
2024-08-19,22.31718,23.08972
2024-08-20,22.50096,23.27987
2024-08-21,22.51179,23.29108
2024-08-22,22.40634,23.18197
2024-08-23,22.64848,23.43251
2024-08-24,22.22183,23.81185
2024-08-25,22.22183,23.81185
2024-08-26,22.70484,23.4908
2024-08-27,22.71328,23.49955
2024-08-28,22.77841,23.56692
2024-08-29,22.79176,23.58074
2024-08-30,22.34509,23.94394
2024-08-31,22.34509,23.94394
2024-09-01,22.34509,23.94394
2024-09-02,22.6578,23.44214
2024-09-03,22.49501,23.27372
2024-09-04,22.5741,23.35554
2024-09-05,22.46122,23.23876
2024-09-06,22.43948,23.21626
2024-09-07,21.99729,23.57125
2024-09-08,21.99729,23.57125
2024-09-09,22.30536,23.07749
2024-09-10,22.25187,23.02215
2024-09-11,22.19958,22.96805
2024-09-12,22.33047,23.10348
2024-09-13,22.43486,23.21148
2024-09-14,21.99049,23.56398
2024-09-15,21.99049,23.56398
2024-09-16,22.52844,23.3083
2024-09-17,22.68599,23.47131
2024-09-18,22.72781,23.51458
2024-09-19,22.79981,23.58907
2024-09-20,22.82991,23.62021
2024-09-21,22.37896,23.98023
2024-09-22,22.37896,23.98023
2024-09-23,23.00525,23.80162
2024-09-24,23.09029,23.8896
2024-09-25,23.05715,23.85531
2024-09-26,23.14124,23.94232
2024-09-27,23.29184,24.09813
2024-09-28,22.85704,24.49252
2024-09-29,22.85704,24.49252
2024-09-30,23.34904,24.1573
2024-10-01,23.21115,24.01465
2024-10-02,23.18343,23.98596
2024-10-03,22.98294,23.77853
2024-10-04,22.92316,23.62359
2024-10-05,22.47305,24.10321
2024-10-06,22.47305,24.10321
2024-10-07,22.7952,23.49172
2024-10-08,22.69561,23.38908
2024-10-09,22.60775,23.29855
2024-10-10,22.61902,23.31015
2024-10-11,22.76894,23.46466
2024-10-12,22.32343,23.92074
2024-10-13,22.32343,23.92074
2024-10-14,22.68557,23.37874
2024-10-15,22.62307,23.31434
2024-10-16,22.41778,23.10277
2024-10-17,22.50021,23.18771
2024-10-18,22.59809,23.28858
2024-10-19,22.15801,23.74347
2024-10-20,22.15801,23.74347
2024-10-21,22.50832,23.19607
2024-10-22,22.51745,23.20549
2024-10-23,22.39195,23.07614
2024-10-24,22.34414,23.02688
2024-10-25,22.3938,23.07805
2024-10-26,21.97217,23.54433
2024-10-27,21.97217,23.54433
2024-10-28,21.85291,23.41654
2024-10-29,21.85291,23.41654
2024-10-30,22.18546,22.86335
2024-10-31,22.08121,22.75592
2024-11-01,22.22053,22.89948
2024-11-02,21.78935,23.34842
2024-11-03,21.78935,23.34842
2024-11-04,22.32227,23.00434
2024-11-05,22.42391,23.10908
2024-11-06,22.07378,22.74826
2024-11-07,22.49657,23.18397
2024-11-08,22.34843,23.03129
2024-11-09,21.93199,23.50129
2024-11-10,21.93199,23.50129
2024-11-11,22.20983,22.88847
2024-11-12,22.14173,22.81828
2024-11-13,21.98227,22.65394
2024-11-14,21.89386,22.56283
2024-11-15,21.84664,22.51419
2024-11-16,21.4748,23.03255
2024-11-17,21.4748,23.03255
2024-11-18,21.9893,22.6612
2024-11-19,22.14597,22.82266
2024-11-20,22.02939,22.70251
2024-11-21,22.14417,22.8208
2024-11-22,22.09624,22.7714
2024-11-23,21.66665,23.21697
2024-11-24,21.66665,23.21697
2024-11-25,22.16462,22.84187
2024-11-26,22.05408,22.72796
2024-11-27,22.15425,22.83118
2024-11-28,22.13939,22.81587
2024-11-29,22.2181,22.89697
2024-11-30,21.79926,23.35905
2024-12-01,21.79926,23.35905
2024-12-02,22.07077,22.74515
2024-12-03,22.17072,22.84816
2024-12-04,21.96023,22.60827
2024-12-05,22.05336,22.70413
2024-12-06,21.9892,22.63809
2024-12-07,21.58038,23.0321
2024-12-08,21.58038,23.0321
2024-12-09,22.17079,22.82504
2024-12-10,21.91745,22.56421
2024-12-11,21.85277,22.49763
2024-12-12,21.97716,22.62569
2024-12-13,21.91935,22.56616
2024-12-14,21.51605,22.96343
2024-12-15,21.51605,22.96343
2024-12-16,21.86005,22.50512
2024-12-17,21.86201,22.50714
2024-12-18,21.82325,22.46724
2024-12-19,21.64497,22.2837
2024-12-20,21.61401,22.25183
2024-12-21,21.33638,22.79264
2024-12-22,21.33638,22.79264
2024-12-23,21.62213,22.26019
2024-12-24,21.66669,22.30606
2024-12-25,21.69296,22.33311
2024-12-26,21.56349,22.19982
2024-12-27,21.56028,22.19651
2024-12-28,21.16205,22.58563
2024-12-29,21.16205,22.58563
2024-12-30,21.63916,22.27772
2024-12-31,21.67889,22.31595
2025-01-01,21.19273,22.61836
2025-01-02,21.61025,22.24795
2025-01-03,21.66799,22.3074
2025-01-04,21.27352,22.70459
2025-01-05,21.27352,22.70459
2025-01-06,21.80696,22.45046
2025-01-07,21.88322,22.52897
2025-01-08,21.61836,22.2563
2025-01-09,21.57714,22.21386
