zaman,alis,satis
2024-05-03,23.1417,24.0897
2024-05-04,22.8317,24.4653
2024-05-05,22.8317,24.4653
2024-05-06,23.1649,24.1138
2024-05-07,23.0645,24.0094
2024-05-08,23.0009,23.9431
2024-05-09,23.0339,23.9775
2024-05-10,23.0762,24.0215
2024-05-11,22.7647,24.3936
2024-05-12,22.7647,24.3936
2024-05-13,23.0576,24.0021
2024-05-14,23.1402,24.0881
2024-05-15,23.0502,24.021
2024-05-16,23.0655,24.037
2024-05-17,23.0976,24.0704
2024-05-18,22.8646,24.5006
2024-05-19,22.8646,24.5006
2024-05-20,23.0905,24.063
2024-05-21,23.0265,23.9963
2024-05-22,22.9695,23.9369
2024-05-23,22.9402,23.9064
2024-05-24,22.9858,23.9539
2024-05-25,22.7562,24.3845
2024-05-26,22.7562,24.3845
2024-05-27,23.0213,23.9909
2024-05-28,23.0283,23.9982
2024-05-29,22.943,23.9093
2024-05-30,23.0211,23.9907
2024-05-31,23.0243,23.9469
2024-06-01,22.8165,24.4491
2024-06-02,22.8165,24.4491
2024-06-03,23.0442,23.9676
2024-06-04,23.147,24.0744
2024-06-05,22.9755,23.896
2024-06-06,22.9556,23.8753
2024-06-07,22.9336,23.8526
2024-06-08,22.7072,24.332
2024-06-09,22.7072,24.332
2024-06-10,22.9611,23.8811
2024-06-11,22.911,23.829
2024-06-12,23.0326,23.9555
2024-06-13,22.9122,23.8302
2024-06-14,23.1921,24.1213
2024-06-15,22.9525,24.5948
2024-06-16,22.9525,24.5948
2024-06-18,22.9525,24.5948
2024-06-19,22.9525,24.5948
2024-06-20,23.4038,24.3415
2024-06-21,23.3657,24.3019
2024-06-22,23.1246,24.7792
2024-06-23,23.1246,24.7792
2024-06-24,23.4943,24.4357
2024-06-25,23.6003,24.5429
2024-06-26,23.4834,24.4214
2024-06-27,23.4844,24.4224
2024-06-28,23.4441,24.3805
2024-06-29,23.1257,24.7805
2024-06-30,23.1257,24.7805
2024-07-01,23.3024,24.2331
2024-07-02,23.2909,24.2213
2024-07-03,23.3802,24.3141
2024-07-04,23.4165,24.3518
2024-07-05,23.4387,24.3749
2024-07-06,23.1416,24.7974
2024-07-07,23.1416,24.7974
2024-07-08,23.4833,24.4213
2024-07-09,23.606,24.5489
2024-07-10,23.6198,24.5632
2024-07-11,23.594,24.5364
2024-07-12,23.7381,24.6862
2024-07-13,23.4178,25.0935
2024-07-14,23.4178,25.0935
2024-07-15,23.4178,25.0935
2024-07-16,23.6408,24.5126
2024-07-17,23.6598,24.5323
2024-07-18,23.6411,24.5129
2024-07-19,23.5667,24.4359
2024-07-20,23.2556,24.9196
2024-07-21,23.2556,24.9196
2024-07-22,23.4045,24.2675
2024-07-23,23.303,24.1624
2024-07-24,23.3068,24.1663
2024-07-25,23.3841,24.2464
2024-07-26,23.3203,24.1803
2024-07-27,23.0165,24.6633
2024-07-28,23.0165,24.6633
2024-07-29,23.3129,24.1727
2024-07-30,23.3791,24.2413
2024-07-31,23.4812,24.3472
2024-08-01,23.3969,24.2597
2024-08-02,23.4558,24.3208
2024-08-03,23.1472,24.8034
2024-08-04,23.1472,24.8034
2024-08-05,23.6215,24.4925
2024-08-06,23.834,24.7129
2024-08-07,24.0477,24.7572
2024-08-08,23.9753,24.7079
2024-08-09,24.0387,24.7976
2024-08-10,23.5798,25.267
2024-08-11,23.5798,25.267
2024-08-12,24.0337,24.8412
2024-08-13,24.0616,24.8701
2024-08-14,24.133,24.9439
2024-08-15,24.145,24.9808
2024-08-16,24.183,25.0201
2024-08-17,23.722,25.4194
2024-08-18,23.722,25.4194
2024-08-19,24.3573,25.2005
2024-08-20,24.4754,25.3226
2024-08-21,24.557,25.4071
2024-08-22,24.5508,25.4006
2024-08-23,24.7488,25.6055
2024-08-24,24.2837,26.0213
2024-08-25,24.2837,26.0213
2024-08-26,24.871,25.732
2024-08-27,24.896,25.7578
2024-08-28,24.9279,25.7907
2024-08-29,24.8912,25.7528
2024-08-30,24.416,26.1632
2024-08-31,24.416,26.1632
2024-09-01,24.416,26.1632
2024-09-02,24.7553,25.6122
2024-09-03,24.7126,25.568
2024-09-04,24.7932,25.6515
2024-09-05,24.7271,25.583
2024-09-06,24.7459,25.6025
2024-09-07,24.26,25.9958
2024-09-08,24.26,25.9958
2024-09-09,24.7098,25.5651
2024-09-10,24.6187,25.4709
2024-09-11,24.5917,25.443
2024-09-12,24.5603,25.4105
2024-09-13,24.6029,25.4546
2024-09-14,24.1253,25.8515
2024-09-15,24.1253,25.8515
2024-09-16,24.6224,25.4748
2024-09-17,24.6899,25.5445
2024-09-18,24.6982,25.5531
2024-09-19,24.6784,25.5327
2024-09-20,24.7528,25.6096
2024-09-21,24.2675,26.0039
2024-09-22,24.2675,26.0039
2024-09-23,24.893,25.7547
2024-09-24,24.934,25.797
2024-09-25,24.9596,25.8236
2024-09-26,24.9675,25.8318
2024-09-27,24.943,25.8064
2024-09-28,24.4588,26.2089
2024-09-29,24.4588,26.2089
2024-09-30,24.9153,25.7777
2024-10-01,24.947,25.8106
2024-10-02,24.9865,25.8514
2024-10-03,24.8426,25.7027
2024-10-04,24.8292,25.5878
2024-10-05,24.3488,26.115
2024-10-06,24.3488,26.115
2024-10-07,24.7697,25.5266
2024-10-08,24.6792,25.4333
2024-10-09,24.6163,25.3685
2024-10-10,24.4663,25.2139
2024-10-11,24.5035,25.2522
2024-10-12,24.0298,25.7491
2024-10-13,24.0298,25.7491
2024-10-14,24.4597,25.2071
2024-10-15,24.4122,25.1582
2024-10-16,24.4147,25.1607
2024-10-17,24.3656,25.1101
2024-10-18,24.4184,25.1646
2024-10-19,23.943,25.6562
2024-10-20,23.943,25.6562
2024-10-21,24.3896,25.1348
2024-10-22,24.3899,25.1351
2024-10-23,24.3742,25.1189
2024-10-24,24.3399,25.0837
2024-10-25,24.3379,25.0816
2024-10-26,23.873,25.5812
2024-10-27,23.873,25.5812
2024-10-28,23.8269,25.5317
2024-10-29,23.8269,25.5317
2024-10-30,24.2218,24.962
2024-10-31,24.2445,24.9853
2024-11-01,24.2926,25.0348
2024-11-02,23.8212,25.5257
2024-11-03,23.8212,25.5257
2024-11-04,24.3453,25.0892
2024-11-05,24.3968,25.1422
2024-11-06,24.1495,24.8874
2024-11-07,24.3222,25.0654
2024-11-08,24.3337,25.0773
2024-11-09,23.8736,25.5818
2024-11-10,23.8736,25.5818
2024-11-11,24.2521,24.9931
2024-11-12,24.2841,25.0261
2024-11-13,24.1834,24.9223
2024-11-14,24.1187,24.8557
2024-11-15,24.0683,24.8037
2024-11-16,23.6026,25.3147
2024-11-17,23.6026,25.3147
2024-11-18,24.1541,24.8921
2024-11-19,24.3221,25.0653
2024-11-20,24.2438,24.9846
2024-11-21,24.3346,25.0782
2024-11-22,24.3336,25.0772
2024-11-23,23.8572,25.5642
2024-11-24,23.8572,25.5642
2024-11-25,24.364,25.1084
2024-11-26,24.1999,24.9393
2024-11-27,24.2915,25.0337
2024-11-28,24.3263,25.0697
2024-11-29,24.3442,25.0881
2024-11-30,23.8828,25.5916
2024-12-01,23.8828,25.5916
2024-12-02,24.3069,25.0497
2024-12-03,24.3622,25.1066
2024-12-04,24.3565,25.0752
2024-12-05,24.4024,25.1224
2024-12-06,24.2718,24.9881
2024-12-07,23.8363,25.4398
2024-12-08,23.8363,25.4398
2024-12-09,24.3225,25.0402
2024-12-10,24.2118,24.9262
2024-12-11,24.3093,25.0266
2024-12-12,24.259,24.9749
2024-12-13,24.2051,24.9193
2024-12-14,23.7624,25.3608
2024-12-15,23.7624,25.3608
2024-12-16,24.1599,24.8728
2024-12-17,24.119,24.8307
2024-12-18,24.1243,24.8362
