zaman,alis,satis
2024-05-03,34.9842,36.4172
2024-05-04,34.5204,36.9905
2024-05-05,34.5204,36.9905
2024-05-06,34.9299,36.3608
2024-05-07,34.8172,36.2434
2024-05-08,34.7678,36.1919
2024-05-09,34.7818,36.2066
2024-05-10,34.745,36.1683
2024-05-11,34.2784,36.7311
2024-05-12,34.2784,36.7311
2024-05-13,34.7938,36.219
2024-05-14,34.8561,36.284
2024-05-15,34.7456,36.2089
2024-05-16,34.7386,36.2016
2024-05-17,34.6485,36.1079
2024-05-18,34.2911,36.7446
2024-05-19,34.2911,36.7446
2024-05-20,34.5715,36.0275
2024-05-21,34.5379,35.9925
2024-05-22,34.3432,35.7896
2024-05-23,34.3859,35.8342
2024-05-24,34.3546,35.8015
2024-05-25,34.0078,36.4412
2024-05-26,34.0078,36.4412
2024-05-27,34.3502,35.797
2024-05-28,34.4892,35.9418
2024-05-29,34.4383,35.8888
2024-05-30,34.8174,36.2838
2024-05-31,34.8441,36.2402
2024-06-01,34.4906,36.9585
2024-06-02,34.4906,36.9585
2024-06-03,35.0436,36.4477
2024-06-04,35.5727,36.998
2024-06-05,35.2296,36.6411
2024-06-06,35.2772,36.6907
2024-06-07,35.1455,36.5537
2024-06-08,34.8004,37.2904
2024-06-09,34.8004,37.2904
2024-06-10,35.2463,36.6585
2024-06-11,35.1125,36.5194
2024-06-12,35.4054,36.824
2024-06-13,35.2413,36.6533
2024-06-14,35.812,37.2469
2024-06-15,35.4398,37.9756
2024-06-16,35.4398,37.9756
2024-06-18,35.4398,37.9756
2024-06-19,35.4398,37.9756
2024-06-20,35.9983,37.4407
2024-06-21,35.8565,37.2932
2024-06-22,35.4791,38.0177
2024-06-23,35.4791,38.0177
2024-06-24,35.919,37.3582
2024-06-25,36.0666,37.5071
2024-06-26,35.8543,37.2864
2024-06-27,35.8436,37.2752
2024-06-28,35.6929,37.1185
2024-06-29,35.2347,37.7559
2024-06-30,35.2347,37.7559
2024-07-01,35.4063,36.8205
2024-07-02,35.3073,36.7176
2024-07-03,35.3814,36.7946
2024-07-04,35.4434,36.859
2024-07-05,35.5906,37.0121
2024-07-06,35.1351,37.649
2024-07-07,35.1351,37.649
2024-07-08,35.7095,37.1358
2024-07-09,35.8645,37.297
2024-07-10,35.7732,37.2021
2024-07-11,35.9376,37.373
2024-07-12,36.1554,37.5995
2024-07-13,35.6661,38.2181
2024-07-14,35.6661,38.2181
2024-07-15,35.6661,38.2181
2024-07-16,36.1185,37.4505
2024-07-17,36.5392,37.8868
2024-07-18,36.6121,37.9623
2024-07-19,36.4055,37.7481
2024-07-20,35.9232,38.4936
2024-07-21,35.9232,38.4936
2024-07-22,36.2217,37.5574
2024-07-23,35.975,37.3017
2024-07-24,36.382,37.7236
2024-07-25,36.7357,38.0905
2024-07-26,36.5572,37.9054
2024-07-27,36.085,38.667
2024-07-28,36.085,38.667
2024-07-29,36.4491,37.7932
2024-07-30,36.549,37.8969
2024-07-31,36.8517,38.2108
2024-08-01,37.0353,38.4011
2024-08-02,37.8191,39.2138
2024-08-03,37.3215,39.9919
2024-08-04,37.3215,39.9919
2024-08-05,38.5044,39.9244
2024-08-06,38.5477,39.9693
2024-08-07,38.1611,39.2873
2024-08-08,38.0973,39.2614
2024-08-09,38.1814,39.3867
2024-08-10,37.4137,40.0906
2024-08-11,37.4137,40.0906
2024-08-12,38.0108,39.288
2024-08-13,38.1431,39.4248
2024-08-14,38.3042,39.5913
2024-08-15,38.0058,39.3214
2024-08-16,38.1838,39.5055
2024-08-17,37.4578,40.1379
2024-08-18,37.4578,40.1379
2024-08-19,38.4956,39.8283
2024-08-20,38.907,40.2538
2024-08-21,39.1321,40.4868
2024-08-22,39.1797,40.536
2024-08-23,39.4199,40.7845
2024-08-24,38.6827,41.4506
2024-08-25,38.6827,41.4506
2024-08-26,39.5644,40.934
2024-08-27,39.7277,41.1029
2024-08-28,39.8047,41.1825
2024-08-29,39.5247,40.8929
2024-08-30,38.776,41.5505
2024-08-31,38.776,41.5505
2024-09-01,38.776,41.5505
2024-09-02,39.2298,40.5878
2024-09-03,39.4258,40.7906
2024-09-04,39.5339,40.9024
2024-09-05,39.4045,40.7685
2024-09-06,39.7604,41.1368
2024-09-07,39.0086,41.7999
2024-09-08,39.0086,41.7999
2024-09-09,39.5528,40.922
2024-09-10,39.5386,40.9073
2024-09-11,39.4637,40.8299
2024-09-12,39.1227,40.477
2024-09-13,39.4058,40.7699
2024-09-14,38.6287,41.3927
2024-09-15,38.6287,41.3927
2024-09-16,39.5909,40.9614
2024-09-17,39.6239,40.9955
2024-09-18,39.6961,41.0702
2024-09-19,39.507,40.8746
2024-09-20,39.5236,40.8918
2024-09-21,38.7538,41.5267
2024-09-22,38.7538,41.5267
2024-09-23,39.6225,40.9941
2024-09-24,39.7239,41.099
2024-09-25,39.5704,40.9402
2024-09-26,39.6578,41.0306
2024-09-27,39.9405,41.3231
2024-09-28,39.1816,41.9851
2024-09-29,39.1816,41.9851
2024-09-30,39.8578,41.2376
2024-10-01,39.8477,41.2271
2024-10-02,39.6193,40.9908
2024-10-03,39.414,40.7784
2024-10-04,39.2603,40.4599
2024-10-05,38.4957,41.2882
2024-10-06,38.4957,41.2882
2024-10-07,39.3853,40.5887
2024-10-08,39.3549,40.5573
2024-10-09,39.2082,40.4062
2024-10-10,39.2303,40.429
2024-10-11,39.3758,40.579
2024-10-12,38.6173,41.3805
2024-10-13,38.6173,41.3805
2024-10-14,39.0726,40.2664
2024-10-15,39.1407,40.3366
2024-10-16,38.9109,40.0998
2024-10-17,38.8337,40.0203
2024-10-18,38.9505,40.1407
2024-10-19,38.2027,40.9363
2024-10-20,38.2027,40.9363
2024-10-21,38.9981,40.1897
2024-10-22,38.9534,40.1436
2024-10-23,38.9287,40.1182
2024-10-24,38.9333,40.1229
2024-10-25,38.9773,40.1683
2024-10-26,38.2112,40.9454
2024-10-27,38.2112,40.9454
2024-10-28,38.173,40.9044
2024-10-29,38.173,40.9044
2024-10-30,38.9273,40.1167
2024-10-31,39.0309,40.2236
2024-11-01,38.8998,40.0884
2024-11-02,38.1335,40.862
2024-11-03,38.1335,40.862
2024-11-04,39.1928,40.3904
2024-11-05,39.1693,40.3661
2024-11-06,38.4781,39.6539
2024-11-07,38.6431,39.8239
2024-11-08,38.7318,39.9153
2024-11-09,37.9693,40.6861
2024-11-10,37.9693,40.6861
2024-11-11,38.412,39.5857
2024-11-12,38.4002,39.5735
2024-11-13,38.2848,39.4545
2024-11-14,38.0832,39.2469
2024-11-15,38.1046,39.2689
2024-11-16,37.483,40.202
2024-11-17,37.483,40.202
2024-11-18,38.3909,39.564
2024-11-19,38.6119,39.7916
2024-11-20,38.3494,39.5212
2024-11-21,38.4117,39.5854
2024-11-22,37.995,39.1559
2024-11-23,37.2725,39.9394
2024-11-24,37.2725,39.9394
2024-11-25,38.4029,39.5763
2024-11-26,38.4521,39.627
2024-11-27,38.678,39.8598
2024-11-28,38.5751,39.7539
2024-11-29,38.7533,39.9374
2024-11-30,37.9953,40.7139
2024-12-01,37.9953,40.7139
2024-12-02,38.5218,39.6989
2024-12-03,38.7012,39.8837
2024-12-04,38.6287,39.7686
2024-12-05,38.8691,40.016
2024-12-06,39.1398,40.2949
2024-12-07,38.4027,40.9859
2024-12-08,38.4027,40.9859
