zaman,alis,satis
2024-05-03,4.56867,4.75582
2024-05-04,4.50861,4.83122
2024-05-05,4.50861,4.83122
2024-05-06,4.56943,4.75661
2024-05-07,4.55979,4.74657
2024-05-08,4.54869,4.73503
2024-05-09,4.5553,4.74191
2024-05-10,4.54832,4.73464
2024-05-11,4.48674,4.80779
2024-05-12,4.48674,4.80779
2024-05-13,4.56392,4.75087
2024-05-14,4.5814,4.76907
2024-05-15,4.57297,4.76558
2024-05-16,4.57522,4.76793
2024-05-17,4.5801,4.77299
2024-05-18,4.53359,4.85799
2024-05-19,4.53359,4.85799
2024-05-20,4.57444,4.76711
2024-05-21,4.57115,4.76368
2024-05-22,4.55795,4.74992
2024-05-23,4.55765,4.7496
2024-05-24,4.56708,4.75943
2024-05-25,4.52154,4.84507
2024-05-26,4.52154,4.84507
2024-05-27,4.56732,4.75969
2024-05-28,4.57683,4.76959
2024-05-29,4.55757,4.74952
2024-05-30,4.57403,4.76669
2024-05-31,4.57144,4.75461
2024-06-01,4.52641,4.85028
2024-06-02,4.52641,4.85028
2024-06-03,4.5788,4.76226
2024-06-04,4.61975,4.80486
2024-06-05,4.59076,4.7747
2024-06-06,4.58831,4.77215
2024-06-07,4.5665,4.74947
2024-06-08,4.5211,4.84459
2024-06-09,4.5211,4.84459
2024-06-10,4.55239,4.73479
2024-06-11,4.536,4.71774
2024-06-12,4.58407,4.76775
2024-06-13,4.55003,4.73234
2024-06-14,4.56891,4.75198
2024-06-15,4.52184,4.84539
2024-06-16,4.52184,4.84539
2024-06-18,4.52184,4.84539
2024-06-19,4.52184,4.84539
2024-06-20,4.60819,4.79282
2024-06-21,4.5884,4.77225
2024-06-22,4.54041,4.86528
2024-06-23,4.54041,4.86528
2024-06-24,4.61682,4.80182
2024-06-25,4.62576,4.81053
2024-06-26,4.60617,4.79016
2024-06-27,4.61581,4.80017
2024-06-28,4.61167,4.79587
2024-06-29,4.54924,4.87475
2024-06-30,4.54924,4.87475
2024-07-01,4.60604,4.79001
2024-07-02,4.59239,4.77582
2024-07-03,4.61615,4.80053
2024-07-04,4.61934,4.80385
2024-07-05,4.63684,4.82205
2024-07-06,4.57839,4.90598
2024-07-07,4.57839,4.90598
2024-07-08,4.65139,4.83717
2024-07-09,4.6675,4.85394
2024-07-10,4.66745,4.85388
2024-07-11,4.68101,4.86798
2024-07-12,4.72743,4.91626
2024-07-13,4.66375,4.99745
2024-07-14,4.66375,4.99745
2024-07-15,4.66375,4.99745
2024-07-16,4.71975,4.89381
2024-07-17,4.74623,4.92127
2024-07-18,4.73328,4.90783
2024-07-19,4.72072,4.89481
2024-07-20,4.65854,4.99188
2024-07-21,4.65854,4.99188
2024-07-22,4.69891,4.8722
2024-07-23,4.66459,4.83661
2024-07-24,4.67582,4.84825
2024-07-25,4.69975,4.87307
2024-07-26,4.69476,4.86789
2024-07-27,4.63519,4.96685
2024-07-28,4.63519,4.96685
2024-07-29,4.68095,4.85358
2024-07-30,4.68657,4.85941
2024-07-31,4.70272,4.87615
2024-08-01,4.68168,4.85434
2024-08-02,4.7564,4.93181
2024-08-03,4.6937,5.02955
2024-08-04,4.6937,5.02955
2024-08-05,4.80607,4.98331
2024-08-06,4.81484,4.9924
2024-08-07,4.83584,4.97855
2024-08-08,4.81488,4.962
2024-08-09,4.83025,4.98274
2024-08-10,4.73706,5.076
2024-08-11,4.73706,5.076
2024-08-12,4.83285,4.99525
2024-08-13,4.84976,5.01271
2024-08-14,4.89026,5.05457
2024-08-15,4.87126,5.03989
2024-08-16,4.88561,5.05472
2024-08-17,4.79266,5.1356
2024-08-18,4.79266,5.1356
2024-08-19,4.92894,5.09956
2024-08-20,4.96718,5.13913
2024-08-21,4.97775,5.15006
2024-08-22,4.97122,5.1433
2024-08-23,5.0125,5.18602
2024-08-24,4.92004,5.27209
2024-08-25,4.92004,5.27209
2024-08-26,5.01817,5.19188
2024-08-27,5.01477,5.18836
2024-08-28,5.00688,5.18021
2024-08-29,4.97969,5.15207
2024-08-30,4.88388,5.23332
2024-08-31,4.88388,5.23332
2024-09-01,4.88388,5.23332
2024-09-02,4.95742,5.12903
2024-09-03,4.95634,5.12791
2024-09-04,4.97832,5.15065
2024-09-05,4.96305,5.13486
2024-09-06,4.98526,5.15784
2024-09-07,4.88732,5.23702
2024-09-08,4.88732,5.23702
2024-09-09,4.96033,5.13204
2024-09-10,4.94662,5.11786
2024-09-11,4.93783,5.10876
2024-09-12,4.94257,5.11367
2024-09-13,4.96363,5.13546
2024-09-14,4.86627,5.21447
2024-09-15,4.86627,5.21447
2024-09-16,4.98795,5.16063
2024-09-17,5.00231,5.17547
2024-09-18,5.0019,5.17505
2024-09-19,4.99812,5.17113
2024-09-20,5.02262,5.19649
2024-09-21,4.92269,5.27492
2024-09-22,4.92269,5.27492
2024-09-23,5.01839,5.19211
2024-09-24,5.02489,5.19884
2024-09-25,5.03138,5.20555
2024-09-26,5.03723,5.2116
2024-09-27,5.0403,5.21478
2024-09-28,4.94476,5.29857
2024-09-29,4.94476,5.29857
2024-09-30,5.0371,5.21147
2024-10-01,5.00074,5.17385
2024-10-02,4.98502,5.15759
2024-10-03,4.96495,5.13682
2024-10-04,4.9617,5.11331
2024-10-05,4.86338,5.21616
2024-10-06,4.86338,5.21616
2024-10-07,4.96204,5.11367
2024-10-08,4.96337,5.11504
2024-10-09,4.9445,5.09558
2024-10-10,4.92664,5.07717
2024-10-11,4.9511,5.10238
2024-10-12,4.85613,5.20361
2024-10-13,4.85613,5.20361
2024-10-14,4.93436,5.08513
2024-10-15,4.92632,5.07684
2024-10-16,4.90498,5.05485
2024-10-17,4.87413,5.02307
