zaman,alis,satis
2024-05-03,34.0667,35.4622
2024-05-04,33.6209,36.0264
2024-05-05,33.6209,36.0264
2024-05-06,34.0783,35.4742
2024-05-07,34.0052,35.3982
2024-05-08,33.9193,35.3089
2024-05-09,33.974,35.3657
2024-05-10,33.9264,35.3161
2024-05-11,33.4677,35.8624
2024-05-12,33.4677,35.8624
2024-05-13,34.0431,35.4376
2024-05-14,34.1746,35.5745
2024-05-15,34.1149,35.5516
2024-05-16,34.1265,35.5638
2024-05-17,34.1677,35.6068
2024-05-18,33.8198,36.2398
2024-05-19,33.8198,36.2398
2024-05-20,34.1241,35.5613
2024-05-21,34.1031,35.5393
2024-05-22,34.0065,35.4389
2024-05-23,34.0017,35.4338
2024-05-24,34.0671,35.5019
2024-05-25,33.7278,36.1411
2024-05-26,33.7278,36.1411
2024-05-27,34.0723,35.5073
2024-05-28,34.1421,35.58
2024-05-29,33.9943,35.426
2024-05-30,34.1096,35.5462
2024-05-31,34.0901,35.456
2024-06-01,33.7542,36.1695
2024-06-02,33.7542,36.1695
2024-06-03,34.1442,35.5124
2024-06-04,34.448,35.8283
2024-06-05,34.2329,35.6046
2024-06-06,34.22,35.5911
2024-06-07,34.0614,35.4262
2024-06-08,33.7215,36.1344
2024-06-09,33.7215,36.1344
2024-06-10,33.9496,35.3099
2024-06-11,33.8268,35.1822
2024-06-12,34.1846,35.5543
2024-06-13,33.933,35.2927
2024-06-14,34.0799,35.4454
2024-06-15,33.7276,36.1409
2024-06-16,33.7276,36.1409
2024-06-18,33.7276,36.1409
2024-06-19,33.7276,36.1409
2024-06-20,34.3648,35.7417
2024-06-21,34.216,35.587
2024-06-22,33.8545,36.2768
2024-06-23,33.8545,36.2768
2024-06-24,34.4308,35.8104
2024-06-25,34.4968,35.8746
2024-06-26,34.3501,35.7221
2024-06-27,34.4189,35.7937
2024-06-28,34.3857,35.7591
2024-06-29,33.9171,36.344
2024-06-30,33.9171,36.344
2024-07-01,34.3446,35.7164
2024-07-02,34.2467,35.6146
2024-07-03,34.4251,35.8001
2024-07-04,34.4495,35.8255
2024-07-05,34.5808,35.962
2024-07-06,34.1449,36.588
2024-07-07,34.1449,36.588
2024-07-08,34.6865,36.072
2024-07-09,34.8109,36.2013
2024-07-10,34.8114,36.2018
2024-07-11,34.9173,36.312
2024-07-12,35.2668,36.6755
2024-07-13,34.7904,37.2796
2024-07-14,34.7904,37.2796
