zaman,alis,satis
2024-05-03,39.6944,41.3204
2024-05-04,39.1788,41.9821
2024-05-05,39.1788,41.9821
2024-05-06,39.761,41.3898
2024-05-07,39.6173,41.2402
2024-05-08,39.4295,41.0448
2024-05-09,39.4459,41.0618
2024-05-10,39.4324,41.0477
2024-05-11,38.8932,41.6761
2024-05-12,38.8932,41.6761
2024-05-13,39.5933,41.2151
2024-05-14,39.7442,41.3723
2024-05-15,39.7244,41.3974
2024-05-16,39.7664,41.4412
2024-05-17,39.8885,41.5686
2024-05-18,39.4847,42.3098
2024-05-19,39.4847,42.3098
2024-05-20,39.9087,41.5896
2024-05-21,39.9557,41.6384
2024-05-22,39.9418,41.624
2024-05-23,39.9256,41.6072
2024-05-24,40.0054,41.6903
2024-05-25,39.6072,42.4413
2024-05-26,39.6072,42.4413
2024-05-27,40.0896,41.7782
2024-05-28,40.1387,41.8291
2024-05-29,39.976,41.6597
2024-05-30,40.067,41.7546
2024-05-31,40.0015,41.6043
2024-06-01,39.5842,42.4165
2024-06-02,39.5842,42.4165
2024-06-03,40.103,41.7099
2024-06-04,40.4844,42.1066
2024-06-05,40.2177,41.829
2024-06-06,40.1783,41.7881
2024-06-07,40.0801,41.686
2024-06-08,39.6818,42.5212
2024-06-09,39.6818,42.5212
2024-06-10,40.2037,41.8146
2024-06-11,40.114,41.7214
2024-06-12,40.473,42.0947
2024-06-13,40.2246,41.8363
2024-06-14,40.4029,42.0218
2024-06-15,39.979,42.8397
2024-06-16,39.979,42.8397
2024-06-18,39.979,42.8397
2024-06-19,39.979,42.8397
2024-06-20,40.6333,42.2614
2024-06-21,40.4463,42.0669
2024-06-22,40.0206,42.8843
2024-06-23,40.0206,42.8843
2024-06-24,40.713,42.3443
2024-06-25,40.8631,42.4952
2024-06-26,40.5993,42.221
2024-06-27,40.668,42.2923
2024-06-28,40.551,42.1708
2024-06-29,39.9904,42.8519
2024-06-30,39.9904,42.8519
2024-07-01,40.477,42.0937
2024-07-02,40.4227,42.0373
2024-07-03,40.6686,42.293
2024-07-04,40.6702,42.2947
2024-07-05,40.8879,42.521
2024-07-06,40.3693,43.2578
2024-07-07,40.3693,43.2578
2024-07-08,41.0937,42.7351
2024-07-09,41.182,42.827
2024-07-10,41.27,42.9183
2024-07-11,41.4774,43.134
2024-07-12,41.9937,43.671
2024-07-13,41.4299,44.3943
2024-07-14,41.4299,44.3943
2024-07-15,41.4299,44.3943
2024-07-16,41.898,43.4431
2024-07-17,42.1305,43.6842
2024-07-18,41.9873,43.5358
2024-07-19,41.7692,43.3096
2024-07-20,41.2187,44.168
2024-07-21,41.2187,44.168
2024-07-22,41.5857,43.1193
2024-07-23,41.4147,42.942
2024-07-24,41.5083,43.039
2024-07-25,41.6187,43.1535
2024-07-26,41.4752,43.0047
2024-07-27,40.9463,43.8761
2024-07-28,40.9463,43.8761
2024-07-29,41.4785,43.0081
2024-07-30,41.5247,43.0561
2024-07-31,41.6017,43.1359
2024-08-01,41.419,42.9465
2024-08-02,41.615,43.1497
2024-08-03,41.0572,43.9949
2024-08-04,41.0572,43.9949
2024-08-05,41.6915,43.2289
2024-08-06,41.7752,43.3158
2024-08-07,41.9857,43.2247
2024-08-08,41.9034,43.1837
2024-08-09,42.117,43.4466
2024-08-10,41.2984,44.2534
2024-08-11,41.2984,44.2534
2024-08-12,42.1951,43.6129
2024-08-13,42.3653,43.7888
2024-08-14,42.4945,43.9225
2024-08-15,42.5361,44.0084
2024-08-16,42.7493,44.2291
2024-08-17,41.9301,44.9303
2024-08-18,41.9301,44.9303
2024-08-19,43.151,44.6448
2024-08-20,43.4835,44.9887
2024-08-21,43.6168,45.1266
2024-08-22,43.737,45.251
2024-08-23,44.13,45.6576
2024-08-24,43.3057,46.4042
2024-08-25,43.3057,46.4042
2024-08-26,44.2235,45.7544
2024-08-27,44.3347,45.8695
2024-08-28,44.3542,45.8896
2024-08-29,44.1457,45.6739
2024-08-30,43.2823,46.3793
2024-08-31,43.2823,46.3793
2024-09-01,43.2823,46.3793
2024-09-02,43.9252,45.4458
2024-09-03,43.8503,45.3682
2024-09-04,44.0835,45.6095
2024-09-05,43.9713,45.4936
2024-09-06,44.1004,45.6269
2024-09-07,43.2144,46.3064
2024-09-08,43.2144,46.3064
2024-09-09,43.8339,45.3512
2024-09-10,43.7286,45.2424
2024-09-11,43.5494,45.057
2024-09-12,43.6713,45.1831
2024-09-13,43.93,45.4508
2024-09-14,43.0693,46.1511
2024-09-15,43.0693,46.1511
2024-09-16,44.1583,45.687
2024-09-17,44.236,45.7674
2024-09-18,44.3586,45.8941
2024-09-19,44.3967,45.9337
2024-09-20,44.6396,46.1848
2024-09-21,43.7496,46.8799
2024-09-22,43.7496,46.8799
2024-09-23,44.8453,46.3977
2024-09-24,44.9905,46.5479
2024-09-25,44.9082,46.4628
2024-09-26,45.0322,46.5911
2024-09-27,45.0777,46.6381
2024-09-28,44.2189,47.383
2024-09-29,44.2189,47.383
2024-09-30,45.0883,46.6491
2024-10-01,44.7499,46.299
2024-10-02,44.6624,46.2085
2024-10-03,44.0635,45.5888
2024-10-04,44.1891,45.5393
2024-10-05,43.33,46.4731
2024-10-06,43.33,46.4731
2024-10-07,44.0948,45.4422
2024-10-08,44.1629,45.5124
2024-10-09,44.0466,45.3924
2024-10-10,43.9063,45.2479
2024-10-11,44.1263,45.4746
2024-10-12,43.2711,46.3673
2024-10-13,43.2711,46.3673
2024-10-14,44.0214,45.3666
2024-10-15,44.0987,45.4461
2024-10-16,43.7596,45.0967
2024-10-17,43.653,44.9868
2024-10-18,43.9334,45.2758
2024-10-19,43.0786,46.161
2024-10-20,43.0786,46.161
2024-10-21,43.8584,45.1985
2024-10-22,43.7201,45.0561
2024-10-23,43.7244,45.0604
2024-10-24,43.6949,45.0301
2024-10-25,43.8318,45.1711
2024-10-26,42.995,46.0714
2024-10-27,42.995,46.0714
2024-10-28,42.9472,46.0203
2024-10-29,42.9472,46.0203
2024-10-30,43.8355,45.1748
2024-10-31,43.4932,44.8222
2024-11-01,43.8322,45.1715
2024-11-02,42.9749,46.0499
2024-11-03,42.9749,46.0499
2024-11-04,43.8661,45.2064
2024-11-05,43.9774,45.3212
2024-11-06,43.2876,44.6103
2024-11-07,43.7941,45.1323
2024-11-08,43.7526,45.0895
2024-11-09,42.9164,45.9871
2024-11-10,42.9164,45.9871
2024-11-11,43.5093,44.8387
2024-11-12,43.2784,44.6008
2024-11-13,42.9851,44.2985
2024-11-14,42.9205,44.232
2024-11-15,42.8206,44.1291
2024-11-16,41.9593,45.0029
2024-11-17,41.9593,45.0029
2024-11-18,42.9313,44.243
2024-11-19,43.0357,44.3506
2024-11-20,42.9316,44.2434
2024-11-21,42.8711,44.1811
2024-11-22,42.574,43.8748
2024-11-23,41.7451,44.7321
2024-11-24,41.7451,44.7321
2024-11-25,42.8514,44.1607
2024-11-26,42.8844,44.1948
2024-11-27,43.1384,44.4565
2024-11-28,43.1655,44.4845
2024-11-29,43.3113,44.6347
2024-11-30,42.4807,45.5203
2024-12-01,42.4807,45.5203
2024-12-02,43.2306,44.5515
2024-12-03,43.3019,44.6251
2024-12-04,43.3836,44.6639
2024-12-05,43.6576,44.9458
2024-12-06,43.7566,45.0478
2024-12-07,42.9392,45.8278
2024-12-08,42.9392,45.8278
2024-12-09,43.8421,45.1357
2024-12-10,43.7541,45.0453
2024-12-11,43.8192,45.1123
2024-12-12,43.7417,45.0325
2024-12-13,43.5255,44.8099
2024-12-14,42.7273,45.6017
2024-12-15,42.7273,45.6017
2024-12-16,43.5453,44.8303
2024-12-17,43.7432,45.034
2024-12-18,43.8356,45.129
2024-12-19,43.5105,44.7945
2024-12-20,43.5024,44.7862
2024-12-21,42.8837,45.8106
2024-12-22,42.8837,45.8106
2024-12-23,43.4631,44.7457
2024-12-24,43.6575,44.9457
2024-12-25,43.6308,44.9182
2024-12-26,43.3506,44.63
2024-12-27,43.6362,44.9238
2024-12-28,42.8221,45.7028
2024-12-29,42.8221,45.7028
2024-12-30,43.693,44.9824
2024-12-31,43.8298,45.1177
2025-01-01,42.8478,45.7303
2025-01-02,43.1155,44.3879
2025-01-03,43.2546,44.531
2025-01-04,42.4726,45.3298
2025-01-05,42.4726,45.3298
2025-01-06,43.5445,44.8295
2025-01-07,43.6834,44.9724
2025-01-08,42.9945,44.2631
2025-01-09,42.8261,44.0899
2025-01-10,42.6774,43.9368
2025-01-11,41.9232,44.7433
2025-01-12,41.9232,44.7433
2025-01-13,42.4842,43.738
2025-01-14,42.5066,43.761
2025-01-15,42.9091,44.1753
2025-01-16,42.5839,43.8405
2025-01-17,42.7269,43.9879
2025-01-18,41.9346,44.7555
2025-01-19,41.9346,44.7555
2025-01-20,43.1376,44.4106
2025-01-21,43.1502,44.4236
2025-01-22,43.3613,44.6409
2025-01-23,43.2676,44.5444
2025-01-24,43.7455,45.0365
2025-01-25,42.9335,45.8217
2025-01-26,42.9335,45.8217
2025-01-27,44.0214,45.3205
2025-01-28,43.8021,45.0946
2025-01-29,43.7236,45.0138
2025-01-30,43.9149,45.2107
2025-01-31,43.8192,45.1123
2025-02-01,43.0178,45.9117
2025-02-02,43.0178,45.9117
2025-02-03,43.7799,45.0719
2025-02-04,44.0581,45.3581
2025-02-05,44.2724,45.5788
2025-02-06,43.8466,45.1404
2025-02-07,44.186,45.49
2025-02-08,43.0075,45.9428
2025-02-09,43.0075,45.9428
2025-02-10,43.9091,45.2049
2025-02-11,44.0793,45.3799
2025-02-12,44.0841,45.3849
2025-02-13,44.3952,45.7054
2025-02-14,45.0478,46.3772
2025-02-15,44.2292,47.2046
2025-02-16,44.2292,47.2046
2025-02-17,44.9651,46.2919
2025-02-18,45.0416,46.3708
2025-02-19,45.0334,46.3624
2025-02-20,45.1386,46.4706
2025-02-21,45.3989,46.7385
2025-02-22,44.5636,47.5614
2025-02-23,44.5636,47.5614
2025-02-24,45.2894,46.6259
2025-02-25,45.5008,46.8435
2025-02-26,45.4806,46.8228
2025-02-27,45.3336,46.6713
2025-02-28,45.3276,46.6653
2025-03-01,44.522,47.517
2025-03-02,44.522,47.517
2025-03-03,45.5666,46.9112
2025-03-04,45.6528,47.0
2025-03-05,46.1832,47.5461
2025-03-06,46.2857,47.6515
2025-03-07,46.3927,47.7618
2025-03-08,45.5483,48.6124
2025-03-09,45.5483,48.6124
2025-03-10,46.5086,47.881
2025-03-11,46.6068,47.9821
2025-03-12,46.6578,48.0346
2025-03-13,46.7309,48.1099
2025-03-14,46.7253,48.1041
2025-03-15,45.8653,48.9507
2025-03-16,45.8653,48.9507
2025-03-17,46.8721,48.2553
2025-03-18,46.8494,48.1368
2025-03-19,47.8331,50.7451
2025-03-20,48.4484,49.8781
2025-03-21,48.6645,50.093
2025-03-22,46.77,50.6675
2025-03-23,46.77,50.6675
2025-03-24,48.6416,49.9222
2025-03-25,48.7117,49.9942
2025-03-26,48.5546,49.833
2025-03-27,48.7343,50.0174
2025-03-28,48.4861,49.7693
2025-03-29,47.2533,51.1441
2025-03-30,47.2533,51.1441
2025-03-31,47.2533,51.1441
2025-04-01,47.2533,51.1441
2025-04-02,48.6756,49.9571
2025-04-03,49.4623,50.7646
2025-04-04,48.4643,49.747
2025-04-05,47.0305,50.9497
2025-04-06,47.0305,50.9497
2025-04-07,48.0987,49.3651
2025-04-08,48.0291,49.2936
2025-04-09,48.0238,49.2882
2025-04-10,48.5929,49.8722
2025-04-11,49.2292,50.5253
2025-04-12,47.7533,51.7327
2025-04-13,47.7533,51.7327
2025-04-14,49.6671,50.9748
2025-04-15,49.9705,51.2861
2025-04-16,50.072,51.3902
2025-04-17,49.9573,51.2726
2025-04-18,50.2204,51.5426
