zaman,alis,satis
2024-05-03,20.7057,21.554
2024-05-04,20.4289,21.8906
2024-05-05,20.4289,21.8906
2024-05-06,20.5411,21.3827
2024-05-07,20.4447,21.2822
2024-05-08,20.2922,21.1235
2024-05-09,20.2649,21.095
2024-05-10,20.2287,21.0573
2024-05-11,19.9498,21.3772
2024-05-12,19.9498,21.3772
2024-05-13,20.2163,21.0445
2024-05-14,20.2034,21.031
2024-05-15,20.2202,21.0718
2024-05-16,20.2226,21.0743
2024-05-17,20.2138,21.0652
2024-05-18,20.0192,21.4517
2024-05-19,20.0192,21.4517
2024-05-20,20.1257,20.9732
2024-05-21,20.1426,20.9908
2024-05-22,20.059,20.9039
2024-05-23,20.0134,20.8563
2024-05-24,20.0149,20.8579
2024-05-25,19.8142,21.2319
2024-05-26,19.8142,21.2319
2024-05-27,20.0165,20.8595
2024-05-28,20.0143,20.8572
2024-05-29,19.967,20.8079
2024-05-30,20.0943,20.9407
2024-05-31,20.0323,20.8349
2024-06-01,19.7941,21.2104
2024-06-02,19.7941,21.2104
2024-06-03,20.1107,20.9166
2024-06-04,20.4589,21.2786
2024-06-05,20.1557,20.9633
2024-06-06,20.1586,20.9663
2024-06-07,20.0766,20.881
2024-06-08,19.8895,21.3126
2024-06-09,19.8895,21.3126
2024-06-10,20.1511,20.9586
2024-06-11,20.0673,20.8714
2024-06-12,20.2389,21.0498
2024-06-13,20.0792,20.8838
2024-06-14,20.2594,21.0711
2024-06-15,20.0553,21.4904
2024-06-16,20.0553,21.4904
2024-06-18,20.0553,21.4904
2024-06-19,20.0553,21.4904
2024-06-20,20.1947,21.0038
2024-06-21,20.0867,20.8916
2024-06-22,19.8752,21.2973
2024-06-23,19.8752,21.2973
2024-06-24,20.1002,20.9057
2024-06-25,20.1933,20.9998
2024-06-26,20.0193,20.8189
2024-06-27,20.0117,20.811
2024-06-28,19.9604,20.7576
2024-06-29,19.6829,21.0914
2024-06-30,19.6829,21.0914
2024-07-01,19.8041,20.5951
2024-07-02,19.7565,20.5455
2024-07-03,19.762,20.5512
2024-07-04,19.7951,20.5858
2024-07-05,19.8528,20.6458
2024-07-06,19.5991,21.0014
2024-07-07,19.5991,21.0014
2024-07-08,19.9351,20.7313
2024-07-09,19.9527,20.7497
2024-07-10,19.9038,20.6988
2024-07-11,20.237,21.0453
2024-07-12,20.51,21.3293
2024-07-13,20.2254,21.6725
2024-07-14,20.2254,21.6725
2024-07-15,20.2254,21.6725
2024-07-16,20.4038,21.1563
2024-07-17,20.6957,21.4589
2024-07-18,20.6502,21.4117
2024-07-19,20.5602,21.3184
2024-07-20,20.2888,21.7405
