zaman,alis,satis
2024-05-03,2.91513,3.03455
2024-05-04,2.87688,3.08272
2024-05-05,2.87688,3.08272
2024-05-06,2.92312,3.04286
2024-05-07,2.9012,3.02005
2024-05-08,2.89539,3.01399
2024-05-09,2.90256,3.02146
2024-05-10,2.9061,3.02514
2024-05-11,2.86659,3.0717
2024-05-12,2.86659,3.0717
2024-05-13,2.91813,3.03767
2024-05-14,2.92017,3.0398
2024-05-15,2.92418,3.04734
2024-05-16,2.93347,3.05701
2024-05-17,2.94184,3.06575
2024-05-18,2.91181,3.12015
2024-05-19,2.91181,3.12015
2024-05-20,2.94068,3.06454
2024-05-21,2.94691,3.07104
2024-05-22,2.93548,3.05911
2024-05-23,2.94916,3.07337
2024-05-24,2.97263,3.09783
2024-05-25,2.9427,3.15326
2024-05-26,2.9427,3.15326
2024-05-27,2.9914,3.11739
2024-05-28,2.99517,3.12131
2024-05-29,2.97477,3.10005
2024-05-30,2.99135,3.11734
2024-05-31,2.99513,3.11514
2024-06-01,2.96164,3.17356
2024-06-02,2.96164,3.17356
2024-06-03,2.9995,3.11967
2024-06-04,2.99422,3.11419
2024-06-05,2.9747,3.09389
2024-06-06,2.96796,3.08689
2024-06-07,2.94914,3.0673
2024-06-08,2.91901,3.12787
2024-06-09,2.91901,3.12787
2024-06-10,2.9597,3.07828
2024-06-11,2.94322,3.06115
2024-06-12,3.00309,3.12342
2024-06-13,2.96435,3.08312
2024-06-14,2.9811,3.10054
2024-06-15,2.95116,3.16232
2024-06-16,2.95116,3.16232
2024-06-18,2.95116,3.16232
2024-06-19,2.95116,3.16232
2024-06-20,3.04615,3.1682
2024-06-21,3.02817,3.14951
2024-06-22,2.99655,3.21095
2024-06-23,2.99655,3.21095
2024-06-24,3.04338,3.16532
2024-06-25,3.04225,3.16376
2024-06-26,3.00998,3.13021
2024-06-27,3.01887,3.13946
2024-06-28,3.01484,3.13526
2024-06-29,2.97346,3.18622
2024-06-30,2.97346,3.18622
2024-07-01,2.99877,3.11855
2024-07-02,2.97987,3.09889
2024-07-03,3.02166,3.14235
2024-07-04,3.01837,3.13894
2024-07-05,3.02287,3.14361
2024-07-06,2.98469,3.19825
2024-07-07,2.98469,3.19825
2024-07-08,3.02717,3.14808
2024-07-09,3.03347,3.15465
2024-07-10,3.00335,3.12331
2024-07-11,3.00246,3.12238
2024-07-12,3.01462,3.13503
2024-07-13,2.97309,3.18581
2024-07-14,2.97309,3.18581
2024-07-15,2.97309,3.18581
2024-07-16,2.9886,3.09882
2024-07-17,3.01263,3.12372
2024-07-18,3.00646,3.11734
2024-07-19,2.97246,3.08207
2024-07-20,2.93405,3.14399
2024-07-21,2.93405,3.14399
2024-07-22,2.93426,3.04247
2024-07-23,2.90582,3.01298
2024-07-24,2.91622,3.02377
2024-07-25,2.93065,3.03872
2024-07-26,2.92634,3.03425
2024-07-27,2.88888,3.09559
2024-07-28,2.88888,3.09559
2024-07-29,2.93039,3.03845
2024-07-30,2.95268,3.06157
2024-07-31,2.96195,3.07119
2024-08-01,2.96913,3.07862
2024-08-02,2.96586,3.07524
2024-08-03,2.92755,3.13702
2024-08-04,2.92755,3.13702
2024-08-05,2.96488,3.07422
2024-08-06,3.01207,3.12316
2024-08-07,3.07103,3.16166
2024-08-08,3.03716,3.12996
2024-08-09,3.05378,3.15019
2024-08-10,2.99698,3.21142
2024-08-11,2.99698,3.21142
2024-08-12,3.0651,3.16809
2024-08-13,3.06805,3.17114
2024-08-14,3.0996,3.20375
2024-08-15,3.0931,3.20018
2024-08-16,3.09052,3.19751
2024-08-17,3.03231,3.24928
2024-08-18,3.03231,3.24928
2024-08-19,3.14259,3.25138
2024-08-20,3.17635,3.2863
2024-08-21,3.17956,3.28964
2024-08-22,3.15312,3.26228
2024-08-23,3.17959,3.28967
2024-08-24,3.1251,3.3487
2024-08-25,3.1251,3.3487
2024-08-26,3.18326,3.29346
2024-08-27,3.196,3.30663
2024-08-28,3.19828,3.309
2024-08-29,3.19218,3.30268
2024-08-30,3.13073,3.35475
2024-08-31,3.13073,3.35475
2024-09-01,3.13073,3.35475
2024-09-02,3.15456,3.26376
2024-09-03,3.13064,3.23901
2024-09-04,3.1592,3.26857
2024-09-05,3.1395,3.24819
2024-09-06,3.1424,3.25118
2024-09-07,3.07873,3.29901
