zaman,alis,satis
2024-05-03,2.9277,3.04763
2024-05-04,2.88977,3.09653
2024-05-05,2.88977,3.09653
2024-05-06,2.92902,3.04901
2024-05-07,2.91724,3.03674
2024-05-08,2.896,3.01464
2024-05-09,2.90578,3.02482
2024-05-10,2.90503,3.02403
2024-05-11,2.86552,3.07055
2024-05-12,2.86552,3.07055
2024-05-13,2.91386,3.03322
2024-05-14,2.91931,3.0389
2024-05-15,2.93204,3.05553
2024-05-16,2.93591,3.05956
2024-05-17,2.93443,3.05802
2024-05-18,2.90508,3.11295
2024-05-19,2.90508,3.11295
2024-05-20,2.93641,3.06009
2024-05-21,2.93768,3.06141
2024-05-22,2.9256,3.04882
2024-05-23,2.92816,3.05149
2024-05-24,2.95005,3.0743
2024-05-25,2.92059,3.12957
2024-05-26,2.92059,3.12957
2024-05-27,2.95823,3.08283
2024-05-28,2.9781,3.10353
2024-05-29,2.95097,3.07525
2024-05-30,2.96998,3.09507
2024-05-31,2.98456,3.10415
2024-06-01,2.95718,3.16878
2024-06-02,2.95718,3.16878
2024-06-03,3.01428,3.13505
2024-06-04,3.03138,3.15285
2024-06-05,3.02248,3.14358
2024-06-06,3.01807,3.139
2024-06-07,2.99246,3.11236
2024-06-08,2.96199,3.17393
2024-06-09,2.96199,3.17393
2024-06-10,3.00741,3.12792
2024-06-11,3.00321,3.12354
2024-06-12,3.05889,3.18146
2024-06-13,3.01298,3.1337
2024-06-14,3.02105,3.1421
2024-06-15,2.99106,3.20506
2024-06-16,2.99106,3.20506
2024-06-18,2.99106,3.20506
2024-06-19,2.99106,3.20506
2024-06-20,3.06623,3.18909
2024-06-21,3.04191,3.16379
2024-06-22,3.0099,3.22528
2024-06-23,3.0099,3.22528
2024-06-24,3.06649,3.18936
2024-06-25,3.06752,3.19004
2024-06-26,3.04478,3.16639
2024-06-27,3.03151,3.1526
2024-06-28,3.03119,3.15227
2024-06-29,2.99025,3.20423
2024-06-30,2.99025,3.20423
2024-07-01,3.01129,3.13158
2024-07-02,3.00379,3.12377
2024-07-03,3.04131,3.16278
2024-07-04,3.03505,3.15627
2024-07-05,3.04272,3.16425
2024-07-06,3.00471,3.21971
2024-07-07,3.00471,3.21971
2024-07-08,3.03698,3.15828
2024-07-09,3.04717,3.16888
2024-07-10,3.04935,3.17115
2024-07-11,3.06694,3.18944
2024-07-12,3.0732,3.19596
2024-07-13,3.02995,3.24675
2024-07-14,3.02995,3.24675
2024-07-15,3.02995,3.24675
2024-07-16,3.04701,3.15938
2024-07-17,3.06967,3.18288
2024-07-18,3.06647,3.17956
2024-07-19,3.02957,3.14129
2024-07-20,2.99123,3.20525
2024-07-21,2.99123,3.20525
2024-07-22,3.00273,3.11346
2024-07-23,2.9777,3.08751
2024-07-24,2.98539,3.0955
2024-07-25,2.99156,3.10187
2024-07-26,2.98597,3.0961
2024-07-27,2.9473,3.15819
2024-07-28,2.9473,3.15819
2024-07-29,2.98058,3.0905
2024-07-30,3.00014,3.11078
2024-07-31,3.02408,3.13561
2024-08-01,3.0277,3.13937
2024-08-02,3.07374,3.18709
2024-08-03,3.0341,3.25118
2024-08-04,3.0341,3.25118
2024-08-05,3.10502,3.21953
2024-08-06,3.11925,3.23429
2024-08-07,3.16182,3.25513
2024-08-08,3.12625,3.22177
2024-08-09,3.14183,3.24102
2024-08-10,3.08203,3.30255
2024-08-11,3.08203,3.30255
2024-08-12,3.13615,3.24153
2024-08-13,3.1455,3.25118
2024-08-14,3.17311,3.27973
2024-08-15,3.15256,3.26169
2024-08-16,3.15952,3.2689
2024-08-17,3.09871,3.32044
2024-08-18,3.09871,3.32044
2024-08-19,3.21657,3.32792
2024-08-20,3.25822,3.371
2024-08-21,3.26801,3.38113
2024-08-22,3.25823,3.37101
2024-08-23,3.28119,3.39478
2024-08-24,3.22224,3.45279
2024-08-25,3.22224,3.45279
2024-08-26,3.2873,3.4011
2024-08-27,3.28933,3.40319
2024-08-28,3.29525,3.40932
