zaman,alis,satis
2024-05-03,31.6475,32.9438
2024-05-04,31.2249,33.4591
2024-05-05,31.2249,33.4591
2024-05-06,31.6161,32.9113
2024-05-07,31.5633,32.8563
2024-05-08,31.5621,32.855
2024-05-09,31.535,32.8268
2024-05-10,31.5257,32.8171
2024-05-11,31.0994,33.3246
2024-05-12,31.0994,33.3246
2024-05-13,31.4179,32.7412
2024-05-14,31.4763,32.802
2024-05-15,31.4334,32.7572
2024-05-16,31.407,32.7298
2024-05-17,31.4221,32.7455
2024-05-18,31.0998,33.3252
2024-05-19,31.0998,33.3252
2024-05-20,31.4099,32.7328
2024-05-21,31.4036,32.7262
2024-05-22,31.3945,32.7168
2024-05-23,31.415,32.7381
2024-05-24,31.4204,32.7437
2024-05-25,31.1011,33.3264
2024-05-26,31.1011,33.3264
2024-05-27,31.3845,32.7064
2024-05-28,31.397,32.7193
2024-05-29,31.4356,32.7595
2024-05-30,31.4634,32.7885
2024-05-31,31.4155,32.6743
2024-06-01,31.0953,33.3202
2024-06-02,31.0953,33.3202
2024-06-03,31.4114,32.67
2024-06-04,31.6733,32.9424
2024-06-05,31.5165,32.7793
2024-06-06,31.4604,32.7209
2024-06-07,31.5058,32.7681
2024-06-08,31.1932,33.4252
2024-06-09,31.1932,33.4252
2024-06-10,31.6145,32.8813
2024-06-11,31.5506,32.8148
2024-06-12,31.518,32.7808
2024-06-13,31.528,32.7912
2024-06-14,31.9021,33.1803
2024-06-15,31.5722,33.8312
2024-06-16,31.5722,33.8312
2024-06-18,31.5722,33.8312
2024-06-19,31.5722,33.8312
2024-06-20,32.0539,33.3384
2024-06-21,32.0176,33.3006
2024-06-22,31.6893,33.9567
2024-06-23,31.6893,33.9567
2024-06-24,32.0935,33.3794
2024-06-25,32.2509,33.5392
2024-06-26,32.1519,33.4361
2024-06-27,32.1399,33.4236
2024-06-28,32.081,33.3623
2024-06-29,31.65,33.9145
2024-06-30,31.65,33.9145
2024-07-01,31.9963,33.2743
2024-07-02,31.8963,33.1702
2024-07-03,31.8502,33.1225
2024-07-04,31.8789,33.1522
2024-07-05,31.9525,33.2288
