zaman,alis,satis
2024-05-03,2326.213957,2443.062695
2024-05-04,2290.127555,2621.481696
2024-05-05,2290.127555,2621.481696
2024-05-06,2354.553611,2472.825888
2024-05-07,2346.728187,2464.607381
2024-05-08,2343.85209,2461.586815
2024-05-09,2357.008674,2475.404272
2024-05-10,2386.963051,2506.863295
2024-05-11,2346.090519,2685.541834
2024-05-12,2346.090519,2685.541834
2024-05-13,2366.809606,2485.697517
2024-05-14,2382.190232,2501.850731
2024-05-15,2395.388707,2515.712182
2024-05-16,2395.00312,2515.307228
2024-05-17,2438.424352,2560.909564
2024-05-18,2400.238508,2747.524393
2024-05-19,2400.238508,2747.524393
2024-05-20,2445.004181,2567.819906
2024-05-21,2453.641111,2576.89068
2024-05-22,2412.484752,2533.666985
2024-05-23,2367.266344,2486.177198
2024-05-24,2362.438271,2481.106604
2024-05-25,2324.593703,2660.934685
2024-05-26,2324.593703,2660.934685
2024-05-27,2376.206834,2495.566778
2024-05-28,2391.349314,2486.467697
2024-05-29,2380.581439,2475.271518
2024-05-30,2382.40678,2477.169464
2024-05-31,2371.777077,2466.116954
2024-06-01,2321.964053,2657.924556
2024-06-02,2321.964053,2657.924556
2024-06-03,2378.351348,2472.952724
2024-06-04,2374.600293,2469.052466
2024-06-05,2391.024769,2486.130243
2024-06-06,2403.983959,2499.604898
2024-06-07,2354.012897,2447.646186
2024-06-08,2305.238225,2638.778701
2024-06-09,2305.238225,2638.778701
2024-06-10,2352.92854,2446.518697
2024-06-11,2361.680091,2455.61835
2024-06-12,2368.668944,2462.885192
2024-06-13,2357.159745,2450.918202
2024-06-14,2400.738649,2496.230502
2024-06-15,2351.71506,2691.98018
2024-06-16,2351.71506,2691.98018
2024-06-18,2351.71506,2691.98018
2024-06-19,2351.71506,2691.98018
2024-06-20,2447.466878,2544.817395
2024-06-21,2412.861735,2508.835796
2024-06-22,2362.202812,2703.985384
2024-06-23,2362.202812,2703.985384
2024-06-24,2429.597763,2525.734633
2024-06-25,2429.400478,2525.529543
2024-06-26,2393.617883,2488.331063
2024-06-27,2424.291511,2520.218418
2024-06-28,2423.048795,2503.927885
2024-06-29,2353.701979,2694.254582
2024-06-30,2353.701979,2694.254582
2024-07-01,2414.313812,2494.901336
2024-07-02,2408.048583,2488.426979
2024-07-03,2446.16771,2527.818486
2024-07-04,2443.273853,2524.828037
2024-07-05,2472.846951,2555.388257
2024-07-06,2403.684925,2751.469464
2024-07-07,2403.684925,2751.469464
2024-07-08,2469.553836,2551.98522
2024-07-09,2458.463616,2530.808606
2024-07-10,2476.325499,2549.196109
2024-07-11,2510.358624,2584.230724
2024-07-12,2521.646102,2595.850357
2024-07-13,2457.352296,2812.901863
2024-07-14,2457.352296,2812.901863
2024-07-15,2457.352296,2812.901863
2024-07-16,2569.118637,2644.719863
2024-07-17,2587.0702,2663.199683
2024-07-18,2585.730348,2661.820405
2024-07-19,2511.140486,2585.035593
2024-07-20,2447.408088,2801.518848
2024-07-21,2447.408088,2801.518848
2024-07-22,2491.173841,2564.481393
2024-07-23,2496.642767,2570.111251
2024-07-24,2530.096357,2604.549277
2024-07-25,2475.303105,2548.143629
2024-07-26,2489.010328,2562.254213
2024-07-27,2428.080194,2779.394438
2024-07-28,2428.080194,2779.394438
2024-07-29,2490.806698,2564.103444
2024-07-30,2508.100964,2581.906627
2024-07-31,2563.603556,2622.939512
2024-08-01,2584.658123,2644.481397
2024-08-02,2586.420978,2635.772249
2024-08-03,2493.20898,2853.946583
2024-08-04,2493.20898,2853.946583
2024-08-05,2559.598449,2608.437921
2024-08-06,2568.450566,2617.458946
2024-08-07,2571.695976,2620.76628
2024-08-08,2589.438603,2638.847452
2024-08-09,2605.197675,2654.907221
2024-08-10,2513.793849,2877.509836
2024-08-11,2513.793849,2877.509836
2024-08-12,2633.744881,2683.999135
2024-08-13,2652.199387,2702.80577
2024-08-14,2633.197836,2683.441651
2024-08-15,2641.893722,2692.303463
2024-08-16,2681.741673,2732.911749
2024-08-17,2588.974754,2963.568521
2024-08-18,2588.974754,2963.568521
2024-08-19,2704.371365,2755.973236
2024-08-20,2739.345922,2791.61514
2024-08-21,2716.548553,2768.382777
2024-08-22,2692.028604,2743.394963
2024-08-23,2725.740308,2777.749918
2024-08-24,2632.111002,3012.946069
2024-08-25,2632.111002,3012.946069
2024-08-26,2736.053798,2799.381204
2024-08-27,2735.640354,2798.958191
2024-08-28,2726.354102,2789.457004
2024-08-29,2743.994332,2807.505526
2024-08-30,2653.46646,3037.391409
2024-08-31,2653.46646,3037.391409
2024-09-01,2653.46646,3037.391409
2024-09-02,2711.764411,2774.529627
2024-09-03,2694.66269,2757.032077
2024-09-04,2716.588893,2779.465774
2024-09-05,2723.768752,2786.811815
2024-09-06,2728.407957,2791.558397
2024-09-07,2635.074213,3016.338022
2024-09-08,2635.074213,3016.338022
2024-09-09,2714.941691,2777.780447
2024-09-10,2725.358848,2788.438715
2024-09-11,2724.583926,2787.645857
2024-09-12,2766.047844,2830.069478
2024-09-13,2794.229923,2858.903847
2024-09-14,2700.771335,3091.540734
2024-09-15,2700.771335,3091.540734
2024-09-16,2799.972199,2864.779031
2024-09-17,2801.13171,2865.965379
2024-09-18,2801.473817,2866.315404
2024-09-19,2807.751439,2872.738325
2024-09-20,2849.907152,2915.869755
2024-09-21,2755.382205,3154.053146
2024-09-22,2755.382205,3154.053146
2024-09-23,2870.326282,2936.761497
2024-09-24,2883.121609,2949.852978
2024-09-25,2896.451555,2963.491453
2024-09-26,2908.005798,2975.313125
2024-09-27,2896.234695,2963.269573
2024-09-28,2798.605075,3203.52985
2024-09-29,2798.605075,3203.52985
2024-09-30,2876.228633,2942.80046
2024-10-01,2907.418508,2974.712242
2024-10-02,2897.684582,2964.753019
2024-10-03,2891.634326,2958.562726
2024-10-04,2908.39443,2975.710752
2024-10-05,2815.075815,3225.607704
2024-10-06,2815.075815,3225.607704
2024-10-07,2894.423253,2961.416204
2024-10-08,2871.252534,2937.709187
2024-10-09,2854.523069,2920.59251
2024-10-10,2866.417513,2932.762256
2024-10-11,2905.037105,2972.27572
2024-10-12,2807.520936,3213.735729
2024-10-13,2807.520936,3213.735729
2024-10-14,2896.296596,2963.332906
2024-10-15,2912.145515,2979.548657
2024-10-16,2915.827935,2983.31631
2024-10-17,2937.911131,3005.910632
2024-10-18,2970.735998,3039.495248
2024-10-19,2872.484842,3288.099137
2024-10-20,2872.484842,3288.099137
2024-10-21,2983.369947,3052.421616
2024-10-22,2997.1088,3066.478464
2024-10-23,2976.748971,3045.647395
2024-10-24,2983.724086,3052.783952
2024-10-25,2999.817423,3069.249778
2024-10-26,2899.130386,3318.599974
2024-10-27,2899.130386,3318.599974
2024-10-28,2890.137792,3308.306258
2024-10-29,2890.137792,3308.306258
2024-10-30,3040.06599,3110.429919
2024-10-31,2997.966794,3067.356316
2024-11-01,3008.212098,3077.838753
2024-11-02,2910.559047,3331.682226
2024-11-03,2910.559047,3331.682226
2024-11-04,3009.541733,3079.199162
2024-11-05,3009.735806,3079.397727
2024-11-06,2901.263284,2968.414551
2024-11-07,2944.100708,3012.24347
2024-11-08,2954.090413,3022.464393
2024-11-09,2857.120992,3270.512321
2024-11-10,2857.120992,3270.512321
2024-11-11,2877.252027,2943.847541
2024-11-12,2868.125568,2934.509846
2024-11-13,2856.000086,2922.103713
2024-11-14,2807.194305,2872.168296
2024-11-15,2830.683344,2896.201001
2024-11-16,2723.231802,3120.369773
2024-11-17,2723.231802,3120.369773
2024-11-18,2875.204574,2941.752699
2024-11-19,2900.720405,2967.859107
2024-11-20,2908.991473,2976.321614
2024-11-21,2931.476215,2999.326776
2024-11-22,2974.756469,3043.608774
2024-11-23,2876.032339,3292.159914
2024-11-24,2876.032339,3292.159914
2024-11-25,2920.259162,2987.8501
2024-11-26,2902.416182,2969.594133
2024-11-27,2935.256813,3003.194879
2024-11-28,2921.001489,2988.609608
2024-11-29,2942.880483,3010.995002
2024-11-30,2845.394811,3257.089503
2024-12-01,2845.394811,3257.089503
2024-12-02,2934.091256,3002.002345
2024-12-03,2938.292224,3006.300545
2024-12-04,2941.683535,3009.77035
2024-12-05,2932.963665,3000.848654
2024-12-06,2927.137772,2994.887918
2024-12-07,2829.371592,3238.747914
2024-12-08,2829.371592,3238.747914
2024-12-09,2974.403657,3043.247796
2024-12-10,2994.215335,3063.518028
2024-12-11,3010.647188,3080.330204
2024-12-12,2994.361853,3063.667936
2024-12-13,2968.346079,3037.050013
2024-12-14,2870.984917,3286.382191
2024-12-15,2870.984917,3286.382191
2024-12-16,2965.525676,3034.164331
2024-12-17,2946.134344,3014.324176
2024-12-18,2951.459935,3019.773031
2024-12-19,2908.27338,2975.5869
2024-12-20,2938.232332,3006.239267
2024-12-21,2852.063352,3267.989258
2024-12-22,2852.063352,3267.989258
2024-12-23,2943.395479,3011.521919
2024-12-24,2941.037207,3009.109063
2024-12-25,2945.838998,3014.021994
2024-12-26,2953.204398,3021.55787
2024-12-27,2944.623533,3012.778396
2024-12-28,2845.153321,3256.813072
2024-12-29,2845.153321,3256.813072
2024-12-30,2942.518453,3010.624594
2024-12-31,2951.032948,3019.336161
2025-01-01,2853.602201,3266.484403
2025-01-02,2986.808258,3055.939509
2025-01-03,2992.902577,3062.174885
2025-01-04,2891.584124,3309.961858
2025-01-05,2891.584124,3309.961858
2025-01-06,2970.431791,3039.184
2025-01-07,3004.19254,3073.726158
2025-01-08,3011.262714,3080.959976
2025-01-09,3018.246171,3088.105069
2025-01-10,3040.830453,3111.212077
2025-01-11,2939.022973,3364.264543
2025-01-12,2939.022973,3364.264543
2025-01-13,3028.270726,3098.361647
2025-01-14,3019.740199,3089.633676
2025-01-15,3038.870629,3109.206891
2025-01-16,3077.19406,3148.417338
2025-01-17,3079.775607,3151.058637
2025-01-18,2977.127865,3407.882758
2025-01-19,2977.127865,3407.882758
2025-01-20,3075.642309,3146.829671
2025-01-21,3112.518653,3184.559537
2025-01-22,3139.835994,3212.509153
2025-01-23,3123.32308,3195.614039
2025-01-24,3165.930066,3239.207185
2025-01-25,3060.94566,3503.827989
2025-01-26,3060.94566,3503.827989
2025-01-27,3140.752526,3213.446899
2025-01-28,3145.640134,3218.447632
2025-01-29,3152.702066,3225.673017
2025-01-30,3182.240816,3255.895457
2025-01-31,3216.98626,3291.445102
2025-02-01,3110.853075,3560.956411
2025-02-02,3110.853075,3560.956411
2025-02-03,3249.834319,3325.053447
2025-02-04,3260.260096,3335.720534
2025-02-05,3294.224989,3370.471563
2025-02-06,3269.259878,3344.928621
2025-02-07,3302.375121,3378.810334
2025-02-08,3165.717238,3627.384335
2025-02-09,3165.717238,3627.384335
2025-02-10,3343.495533,3420.882499
2025-02-11,3338.269446,3415.535451
2025-02-12,3334.994365,3412.184566
2025-02-13,3363.260664,3441.105105
2025-02-14,3379.77558,3458.002267
2025-02-15,3268.622394,3741.55307
2025-02-16,3268.622394,3741.55307
2025-02-17,3357.39719,3435.105917
2025-02-18,3388.026424,3466.444081
2025-02-19,3407.967406,3486.846608
2025-02-20,3406.47802,3485.322749
2025-02-21,3412.768669,3491.758997
2025-02-22,3298.747928,3776.037408
2025-02-23,3298.747928,3776.037408
2025-02-24,3422.418129,3501.6318
2025-02-25,3418.482097,3497.604666
2025-02-26,3379.621821,3457.844949
2025-02-27,3341.125361,3418.457467
2025-02-28,3308.559721,3385.138079
2025-03-01,3196.077768,3658.5121
2025-03-02,3196.077768,3658.5121
2025-03-03,3349.669553,3427.199419
2025-03-04,3388.511256,3466.940135
2025-03-05,3391.829562,3470.335244
2025-03-06,3389.33621,3467.784183
2025-03-07,3403.369105,3482.141877
2025-03-08,3294.964872,3771.706989
2025-03-09,3294.964872,3771.706989
2025-03-10,3391.201968,3469.693124
2025-03-11,3406.082231,3484.917799
2025-03-12,3413.100688,3492.098703
2025-03-13,3468.523535,3548.80434
2025-03-14,3496.046968,3576.964817
2025-03-15,3381.425893,3870.677888
2025-03-16,3381.425893,3870.677888
2025-03-17,3511.504329,3592.779946
2025-03-18,3547.247009,3629.34991
2025-03-19,3628.095745,3846.375756
2025-03-20,3671.789713,3779.274903
2025-03-21,3646.085106,3752.817838
2025-03-22,3509.769807,4021.611237
2025-03-23,3509.769807,4021.611237
2025-03-24,3653.131978,3737.685643
2025-03-25,3672.745981,3757.753622
2025-03-26,3663.519267,3748.313352
2025-03-27,3710.32834,3796.205845
2025-03-28,3727.852116,3814.135216
2025-03-29,3603.607354,4125.006357
2025-03-30,3603.607354,4125.006357
2025-03-31,3603.607354,4125.006357
2025-04-01,3603.607354,4125.006357
2025-04-02,3786.325443,3873.96194
2025-04-03,3794.450673,3882.275233
2025-04-04,3701.89571,3787.578037
2025-04-05,3546.007132,4063.133172
2025-04-06,3546.007132,4063.133172
2025-04-07,3642.82189,3727.136921
2025-04-08,3654.858855,3739.452489
2025-04-09,3727.339598,3813.610838
2025-04-10,3814.757625,3903.0522
2025-04-11,3925.517382,4016.375551
2025-04-12,3795.636549,4349.166879
2025-04-13,3795.636549,4349.166879
2025-04-14,3905.524697,3995.920124
2025-04-15,3920.90026,4011.651563
2025-04-16,4031.730302,4125.046824
2025-04-17,4001.855775,4094.480835
2025-04-18,4025.045476,4151.654643
2025-04-19,3922.886962,4490.481916
2025-04-20,3922.886962,4490.481916
2025-04-21,4163.92583,4260.302087
2025-04-22,4185.428911,4282.302868
2025-04-23,4050.658508,4636.74048
2025-04-24,4071.222949,4165.453549
2025-04-25,4020.645826,4113.705793
2025-04-26,3886.966387,4449.364062
2025-04-27,3886.966387,4449.364062
2025-04-28,4085.001552,4179.551066
2025-04-29,4071.814062,4166.058344
2025-04-30,4061.092687,4155.088816
2025-05-01,3929.470337,4498.017827
2025-05-02,4016.310243,4109.269859
2025-05-03,3885.007678,4447.121952
2025-05-04,3885.007678,4447.121952
2025-05-05,4086.847189,4181.439421
2025-05-06,4169.959686,4266.4756
2025-05-07,4178.602122,4275.31807
2025-05-08,4141.024812,4236.871013
2025-05-09,4131.253203,4226.873236
2025-05-10,3994.270626,4572.193944
2025-05-11,3994.270626,4572.193944
2025-05-12,4007.858908,4100.622914
2025-05-13,4017.718539,4110.710752
2025-05-14,3940.245377,4031.444433
2025-05-15,3958.024315,4049.634874
2025-05-16,3939.98872,4031.181835
2025-05-17,3809.675948,4360.890618
2025-05-18,3809.675948,4360.890618
2025-05-19,3809.675948,4360.890618
2025-05-20,4070.74122,4164.960671
2025-05-21,4098.890263,4193.761237
2025-05-22,4102.412984,4197.365495
2025-05-23,4184.036118,4280.877838
2025-05-24,4048.190831,4633.91576
2025-05-25,4048.190831,4633.91576
2025-05-26,4150.446283,4246.51055
2025-05-27,4110.890444,4206.039169
2025-05-28,4120.634137,4216.008386
2025-05-29,4135.808558,4231.534027
2025-05-30,4111.782358,4206.951728
2025-05-31,3974.646803,4549.730789
2025-06-01,3974.646803,4549.730789
2025-06-02,4225.609088,4323.413037
2025-06-03,4163.645386,4260.523914
2025-06-04,4206.356645,4304.228967
2025-06-05,4117.075444,4712.767156
2025-06-06,4117.075444,4712.767156
2025-06-07,4117.075444,4712.767156
2025-06-08,4117.075444,4712.767156
2025-06-09,4117.075444,4712.767156
2025-06-10,4148.396627,4244.920351
2025-06-11,4155.279905,4251.963788
2025-06-12,4233.898137,4332.411287
2025-06-13,4295.935161,4395.89177
2025-06-14,4174.382164,4778.365473
2025-06-15,4174.382164,4778.365473
2025-06-16,4250.028679,4348.917151
2025-06-17,4238.03058,4336.639881
2025-06-18,4252.966421,4351.923246
2025-06-19,4231.254326,4329.70596
2025-06-20,4248.861629,4347.722945
2025-06-21,4129.256338,4726.710479
2025-06-22,4129.256338,4726.710479
2025-06-23,4274.125803,4373.574959
2025-06-24,4161.22274,4258.044899
