zaman,kur,alis,satis
1714748360,XAU,2326.213957,2443.062695
1714834782,XAU,2290.127555,2621.481696
1714921089,XAU,2290.127555,2621.481696
1715007532,XAU,2354.553611,2472.825888
1715093815,XAU,2346.728187,2464.607381
1715180132,XAU,2343.85209,2461.586815
1715266557,XAU,2357.008674,2475.404272
1715353099,XAU,2386.963051,2506.863295
1715439341,XAU,2346.090519,2685.541834
1715525675,XAU,2346.090519,2685.541834
1715612195,XAU,2366.809606,2485.697517
1715698565,XAU,2382.190232,2501.850731
1715784869,XAU,2395.388707,2515.712182
1715871592,XAU,2395.00312,2515.307228
1715957752,XAU,2438.424352,2560.909564
1716044290,XAU,2400.238508,2747.524393
1716130796,XAU,2400.238508,2747.524393
1716216911,XAU,2445.004181,2567.819906
1716303600,XAU,2453.641111,2576.89068
1716389987,XAU,2412.484752,2533.666985
1716476134,XAU,2367.266344,2486.177198
1716562560,XAU,2362.438271,2481.106604
1716649126,XAU,2324.593703,2660.934685
1716735314,XAU,2324.593703,2660.934685
1716821735,XAU,2376.206834,2495.566778
1716908195,XAU,2391.349314,2486.467697
1716994470,XAU,2380.581439,2475.271518
1717081025,XAU,2382.40678,2477.169464
1717167367,XAU,2371.777077,2466.116954
1717253983,XAU,2321.964053,2657.924556
1717340168,XAU,2321.964053,2657.924556
1717426651,XAU,2378.351348,2472.952724
1717512911,XAU,2374.600293,2469.052466
1717599521,XAU,2391.024769,2486.130243
1717685895,XAU,2403.983959,2499.604898
1717772197,XAU,2354.012897,2447.646186
1717858461,XAU,2305.238225,2638.778701
1717945110,XAU,2305.238225,2638.778701
1718031598,XAU,2352.92854,2446.518697
1718117745,XAU,2361.680091,2455.61835
1718204248,XAU,2368.668944,2462.885192
1718290548,XAU,2357.159745,2450.918202
1718376965,XAU,2400.738649,2496.230502
1718463314,XAU,2351.71506,2691.98018
1718537960,XAU,2351.71506,2691.98018
1718722530,XAU,2351.71506,2691.98018
1718808949,XAU,2351.71506,2691.98018
1718895598,XAU,2447.466878,2544.817395
1718981806,XAU,2412.861735,2508.835796
1719068355,XAU,2362.202812,2703.985384
1719154565,XAU,2362.202812,2703.985384
1719240988,XAU,2429.597763,2525.734633
1719327473,XAU,2429.400478,2525.529543
1719413737,XAU,2393.617883,2488.331063
1719500082,XAU,2424.291511,2520.218418
1719586609,XAU,2423.048795,2503.927885
1719672981,XAU,2353.701979,2694.254582
1719759597,XAU,2353.701979,2694.254582
