zaman,kur,alis,satis
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
1746212295,GBP,49.546,52.201
1746212295,CHF,45.129,47.547
1746212295,AUD,24.05,25.338
1746212295,CAD,27.019,28.467
1746212295,CNY,5.0611,5.5584
1746212295,DKK,5.652,5.9548
1746212295,JPY,25.736,27.115
1746212295,NOK,3.5844,3.7765
1746212295,SAR,9.9128,10.528
1746212295,SEK,3.8651,4.0722
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
1746212295,GBP,49.546,52.201
1746212295,CHF,45.129,47.547
1746212295,AUD,24.05,25.338
1746212295,CAD,27.019,28.467
1746212295,CNY,5.0611,5.5584
1746212295,DKK,5.652,5.9548
1746212295,JPY,25.736,27.115
1746212295,NOK,3.5844,3.7765
1746212295,SAR,9.9128,10.528
1746212295,SEK,3.8651,4.0722
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
1746212295,GBP,49.546,52.201
1746212295,CHF,45.129,47.547
1746212295,AUD,24.05,25.338
1746212295,CAD,27.019,28.467
1746212295,CNY,5.0611,5.5584
1746212295,DKK,5.652,5.9548
1746212295,JPY,25.736,27.115
1746212295,NOK,3.5844,3.7765
1746212295,SAR,9.9128,10.528
1746212295,SEK,3.8651,4.0722
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
1746212295,GBP,49.546,52.201
1746212295,CHF,45.129,47.547
1746212295,AUD,24.05,25.338
1746212295,CAD,27.019,28.467
1746212295,CNY,5.0611,5.5584
1746212295,DKK,5.652,5.9548
1746212295,JPY,25.736,27.115
1746212295,NOK,3.5844,3.7765
1746212295,SAR,9.9128,10.528
1746212295,SEK,3.8651,4.0722
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
1746212295,GBP,49.546,52.201
1746212295,CHF,45.129,47.547
1746212295,AUD,24.05,25.338
1746212295,CAD,27.019,28.467
1746212295,CNY,5.0611,5.5584
1746212295,DKK,5.652,5.9548
1746212295,JPY,25.736,27.115
1746212295,NOK,3.5844,3.7765
1746212295,SAR,9.9128,10.528
1746212295,SEK,3.8651,4.0722
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
1746212295,GBP,49.546,52.201
1746212295,CHF,45.129,47.547
1746212295,AUD,24.05,25.338
1746212295,CAD,27.019,28.467
1746212295,CNY,5.0611,5.5584
1746212295,DKK,5.652,5.9548
1746212295,JPY,25.736,27.115
1746212295,NOK,3.5844,3.7765
1746212295,SAR,9.9128,10.528
1746212295,SEK,3.8651,4.0722
1746212295,USD,37.324,39.324
1746212295,GMS,38.449,40.382
1746212295,EUR,42.178,44.438
1746212295,XAU,3851.276,4101.947
