zaman,kur,alis,satis
1746565794,USD,37.9197,39.5197
1746565794,EUR,42.9413,45.1304
1746565794,GBP,50.542,53.0415
1746565794,JPY,0.2665,0.2808
1746565794,SAR,10.2,10.6271
1746565794,CHF,46.19,48.5905
1746565794,NOK,3.7066,3.8865
1746565794,SEK,3.9572,4.1908
1746565794,CAD,27.4785,29.1211
1746565794,AUD,24.3489,26.3
1746565794,DKK,5.796,6.0824
1746565794,XAU,4165.3492,4359.0335
1746565794,XAG,40.1016,42.7584
1746565794,XPD,1134.9138,1311.4626
1746565794,XPT,1184.3382,1287.7279
1746566826,USD,37.9497,39.5197
1746566826,EUR,42.9867,45.146
1746566826,GBP,50.5436,53.0298
1746566826,JPY,0.2665,0.2806
1746566826,SAR,10.208,10.6271
1746566826,CHF,46.2038,48.6315
1746566826,NOK,3.711,3.8874
1746566826,SEK,3.9624,4.1922
1746566826,CAD,27.5199,29.1399
1746566826,AUD,24.3603,26.3078
1746566826,DKK,5.8016,6.0848
1746566826,XAU,4168.6276,4359.0335
1746566826,XAG,40.1833,42.8093
1746566826,XPD,1135.8069,1311.4626
1746566826,XPT,1185.2683,1287.7279
1746567433,USD,37.9497,39.5197
1746567433,EUR,42.9867,45.1382
1746567433,GBP,50.5743,53.0884
1746567433,JPY,0.2665,0.2807
1746567433,SAR,10.208,10.6271
1746567433,CHF,46.1702,48.6668
1746567433,NOK,3.7146,3.8851
1746567433,SEK,3.9639,4.1874
1746567433,CAD,27.5258,29.1358
1746567433,AUD,24.368,26.3078
1746567433,DKK,5.8015,6.0841
1746567433,XAU,4168.6276,4359.0335
1746567433,XAG,40.1833,42.8093
1746567433,XPD,1135.8069,1311.4626
1746567433,XPT,1185.2683,1287.7279
1746567799,USD,37.9497,39.5197
1746567799,EUR,42.9906,45.1343
1746567799,GBP,50.5819,53.0923
1746567799,JPY,0.2666,0.2806
1746567799,SAR,10.208,10.6271
1746567799,CHF,46.1758,48.6609
1746567799,NOK,3.7181,3.8865
1746567799,SEK,3.9635,4.1872
1746567799,CAD,27.5199,29.1379
1746567799,AUD,24.3641,26.3078
1746567799,DKK,5.8016,6.0841
1746567799,XAU,4167.6914,4358.6504
1746567799,XAG,40.1833,42.8093
1746567799,XPD,1135.83,1311.486
1746567799,XPT,1185.2683,1287.7279
1746568125,USD,37.9497,39.5197
1746568125,EUR,42.9867,45.1343
1746568125,GBP,50.5896,53.0572
1746568125,JPY,0.2666,0.2806
1746568125,SAR,10.208,10.6271
1746568125,CHF,46.1311,48.6609
1746568125,NOK,3.718,3.8869
1746568125,SEK,3.9632,4.1869
1746568125,CAD,27.5139,29.1337
1746568125,AUD,24.3641,26.3
1746568125,DKK,5.8016,6.0843
1746568125,XAU,4168.0099,4358.4159
1746568125,XAG,40.1833,42.8093
1746568125,XPD,1135.83,1311.486
1746568125,XPT,1185.2683,1287.7279
1746568472,USD,37.9497,39.5197
1746568472,EUR,42.9944,45.1499
1746568472,GBP,50.605,53.065
1746568472,JPY,0.2666,0.2807
1746568472,SAR,10.208,10.6271
1746568472,CHF,46.1814,48.6609
1746568472,NOK,3.7175,3.8875
1746568472,SEK,3.9629,4.1865
1746568472,CAD,27.5139,29.1358
1746568472,AUD,24.3603,26.3
1746568472,DKK,5.8021,6.0852
1746568472,XAU,4166.525,4357.2276
1746568472,XAG,40.1833,42.8093
1746568472,XPD,1135.83,1311.486
1746568472,XPT,1185.1116,1287.5608
1746568806,USD,37.9497,39.5197
1746568806,EUR,42.9944,45.1421
1746568806,GBP,50.5819,53.065
1746568806,JPY,0.2667,0.2807
1746568806,SAR,10.208,10.6271
1746568806,CHF,46.2206,48.6257
1746568806,NOK,3.7155,3.8868
1746568806,SEK,3.963,4.1867
1746568806,CAD,27.5298,29.1399
1746568806,AUD,24.3565,26.3
1746568806,DKK,5.8019,6.085
1746568806,XAU,4168.336,4359.1038
1746568806,XAG,40.1833,42.8093
1746568806,XPD,1135.83,1311.486
1746568806,XPT,1185.1116,1287.5608
1746569880,USD,37.9497,39.5197
1746569880,EUR,42.8524,45.0052
1746569880,GBP,50.5013,52.9711
1746569880,JPY,0.2655,0.2795
1746569880,SAR,10.208,10.6271
1746569880,CHF,46.0754,48.4271
1746569880,NOK,3.7002,3.874
1746569880,SEK,3.9491,4.1785
1746569880,CAD,27.5238,29.1379
1746569880,AUD,24.4294,26.3626
1746569880,DKK,5.784,6.0653
1746569880,XAU,4132.637,4321.4101
1746569880,XAG,39.9722,42.5942
1746569880,XPD,1134.1762,1313.7141
1746569880,XPT,1185.4531,1288.3426
1746570908,USD,37.9497,39.5197
1746570908,EUR,42.887,45.0287
1746570908,GBP,50.5129,52.9594
1746570908,JPY,0.2654,0.2794
1746570908,SAR,10.208,10.6271
1746570908,CHF,46.0531,48.3981
1746570908,NOK,3.7122,3.87
1746570908,SEK,3.9489,4.1829
1746570908,CAD,27.5278,29.1379
1746570908,AUD,24.4217,26.3665
1746570908,DKK,5.7883,6.0695
1746570908,XAU,4124.3876,4314.0574
1746570908,XAG,40.0106,42.6099
1746570908,XPD,1135.0396,1311.873
